AARP Advocates,55483,138707
Progress News Network,28327,70818
Vote For Hoosier Values,23468,46935
AARP Ohio,19709,39417
realtor.com,19226,38452
Freedom Finance Group,16613,33225
Marsy's Law for Oklahoma SQ 794,11814,29534
Home Builders Association of Central Arizona,11513,23026
California Rifle and Pistol Association,10655,21310
International House of Prayer,9250,18499
NRA Institute for Legislative Action,9035,18069
Brian Kemp,7326,14652
American Update,7126,14251
Faith and Freedom Coalition,6239,12478
Kansans For Life Political Action Committee,5753,11506
Double Talk Ducey,5743,14358
No Prop 8 - Stop the Dangerous Dialysis Prop,5717,11433
Alabama Political Reporter,5637,11274
Scott Wagner,5569,11138
David Stringer,5514,11027
Remember Mississippi,5000,9999
Catharine Baker,4545,11363
NV People’s Lawyer Project,4472,8944
Bizarre Multi-Millionaire Scott Wallace,4157,8314
Priorities USA Action,4085,8170
Noble Energy Colorado,4063,8126
Lincoln PAC,3938,7876
Progressive Turnout Project,3892,7783
Tedra Cobb for Congress,3779,7559
Yes On 10,3377,6754
NY Health Care Voter,3369,8421
Orman for Kansas,3275,6550
Financial Advisory for a better Tomorrow,3164,15822
The Committee to Defend the President,3088,6176
CreditRepair.com,2986,5972
Securing Ohio,2892,5784
Minnesota DFL Party,2863,7156
Gold Asset Information Group,2808,14040
Trusted Conservative,2632,13159
Financial Security Today,2631,13154
Chad Benson Show,2583,12915
Chari Kelly,2547,6367
The Family Leader,2525,5050
4ocean,2501,5003
California Democratic Party,2442,4885
Mel Hall,2414,4828
Upstream Ideas,2348,11738
Wind Energy Foundation,2293,11466
Roman McAllen for Railroad Commission of Texas,2291,4583
Mel Martin for Florida Senate District 14,2289,4578
Donnie Harrison for Wake County Sheriff,2220,4439
Romney for Utah,2132,4264
No On 185,2125,4249
Ending Spending Action Fund,2074,4148
UnitedVoice.com,2040,10202
Xochitl for Congress,1990,3980
The Nature Conservancy in WA,1958,9790
Yes On 793,1840,3679
Abigail Spanberger,1821,3642
Working Michigan,1821,3641
Lorina Rummel - District Court Judge,1794,3588
Just Facts,1724,8618
Everybody Is For Amendment 2,1709,3417
Bill Nelson,1668,8340
Gary Palmer for Alabama,1663,8316
Solar Energy Today,1562,7812
Ralph Atchue for AZ Senate LD11,1561,3121
Garret Graves,1558,3115
Scholten4Iowa,1524,3047
Hoosier Horizon,1508,3015
Gus Bilirakis for Congress,1470,7348
American Freedom and Opportunity PAC,1443,2885
CFGA Montana,1422,2845
Americans Supporting Veterans,1413,7063
National Association of Manufacturers,1390,6949
Healthy Food for Denver,1381,2762
Iowa Conservative Energy Forum,1361,2723
Conservation Ohio,1341,3353
People Over Politics MD,1319,6595
Kim Reynolds,1315,2629
Bill Huizenga,1283,2566
Pete Crotty for Orange County Commission District 3,1277,6383
Red Maryland,1273,6364
Penzeys Spices,1265,6325
Judge Sandra Ray for NC Court of Appeals,1262,6312
Bonnie Weber Failed Us,1259,2519
Don't Lose Your Control,1216,6080
