GOP,9506
Donald J. Trump,7372
It’s Our America,2639
PrintedKicks,2614
Democrats,1728
America First Policies,1346
Progress Michigan,1341
Beto O'Rourke,1325
NextGen America,1163
Arizona Democratic Legislative Campaign Committee,1033
Friends of the IDF (FIDF),943
MoveOn,743
Democratic Party,702
Phil Bredesen,607
ACLU,585
Winning For Women,571
United Food and Commercial Workers International Union,532
Senate Leadership Fund,508
National Republican Congressional Committee,501
Care2,477
Stand Up America,463
Liuba Grechen Shirley-Congress,463
Reason To Believe,443
Greenpeace USA,439
Our Flag Our Country,420
Joe Donnelly,393
Swing Left,392
Heidi Heitkamp,375
Debbie Wasserman Schultz,371
Reproaction,369
Working For Us,365
Educators for Thurmond for State Superintendent of Public Instruction,363
Katie Porter,349
Claire McCaskill,340
Coloradans for Fairness,332
NARAL Pro-Choice America,319
Proud Right Winger,318
Dinesh D'Souza,316
Strong Women Society,310
MedicareSupplement.com,310
Nuestra Florida,302
Arizonans 4 Affordable Electricity,299
LCV Victory Fund,296
Living Free,291
Exclusive Apparel,288
Planned Parenthood Action,280
Kyrsten Sinema,270
LifeDaily,260
American Conservative Union,252
Keep Them Accountable,251
Vote NO on 5,250
Michigan Republican Party,248
Jacky Rosen for Nevada,245
Colorado Resistance,242
Senator Spineless Dean Heller,241
Elizabeth Warren,226
Kate Brown,223
Laxalt Taking Nevada Backward,220
FreedomWorks,219
Save Idaho Horse Racing,209
America with Eric Bolling,209
Sierra Club,207
Human Rights Watch,207
Better With Age,205
Take On America With OZY,204
Kevin McCarthy,197
Stacey Abrams,196
Diane Mitsch Bush for Colorado CD3,188
Keep Oregon's Promise,186
Indivisible Guide,185
Heifer International,184
Armed American Supply,180
Minnesota Values Project,175
Vote New York State Senate,174
Gail Young for North Carolina,173
Wrong for Us,172
Vote NO on 1631,171
Family Protection Association,169
Florida Sheriffs Association,168
Jared Polis,165
TaxAct,162
CRTV,161
Flaherty For Judge,160
Science for Humans and Freedom Institute,159
Ron DeSantis,158
No Prop 8 - Stop the Dangerous Dialysis Prop,158
Helen Probst Mills,158
Mikie Sherrill,156
Tennessee Citizens,155
Women For Civility,152
Concealed Online,152
Arizona Truth Squad,151
End Citizens United,149
FutureinAmerica,146
Kulkarni for Congress,143
Planned Parenthood Advocates of Michigan,142
Mary Barzee Flores for Congress,142
Everytown for Florida,142
Amy McGrath,142
Yes On 1631,141
Amnesty International USA,141
Reform Austin,140
We The People Holsters,138
USA Energy Program,138
Kim Bost for NC House,135
Conservation Colorado Victory Fund,135
Healthy Montana Campaign,133
Andrew Gillum,133
Pennsylvania Leadership Committee,130
Bobby Kuppers for NC Senate,127
Planned Parenthood Votes Northwest and Hawaii,126
Klean Kanteen,126
Jon Tester,126
Aspire Fashion,124
Speak Up For Education and Kids,123
Sharice for Congress,122
Patriot Depot,121
Lesley for CU Regent,121
Lauren Underwood for Congress,121
DefendArizona,119
Reform,118
Missouri's Voice,118
Missouri House Victory Committee,118
Lebowski Lovers,118
Jeff Merkley,117
Indiana Votes,117
Priorities USA Action,116
NRDC Action Fund,116
Pfizer,115
Da'Quan Love for NC House,111
The Western Journal,110
No On Prop 5,108
D. Cole Phelps for NC Senate,108
National Horizon Action,107
Naomi Levin,107
You Should Know Texas,106
Restoration PAC,105
Steve Weichert for AZ Senate,104
MasterClass,103
Jim McGovern,103
Andy Kim for Congress,102
ACLU of Northern California,102
Working Families Party,101
NRCC IE,101
Institute for a Progressive Nevada,101
Brian Watson for CO Treasurer,100
NYC Votes,99
Everytown for Gun Safety,99
Jen Mangrum for NC Senate,98
JB Pritzker,97
The Joe You Don't Know,96
Military Network,96
JeffCo Proud,96
Health Care Voter,96
Brill for Congress,96
Peter Roskam,95
Voters - Not Politicians,94
Don Davis,94
Concealed Club,94
Trumpatwar,93
Finance Watchdogs,93
Penzeys Spices,90
National Domestic Workers Alliance,90
NO on 3,89
Congressional Leadership Fund,89
Alliance for a Better Minnesota,88
Yes 4 Proposition 4,87
Hugh Hewitt,87
MyRoar,86
Defenders of Wildlife,86
Barbara Yates-Lockamy For NC House 2018,85
Mike Gallagher,84
Jena Griswold for Colorado,84
Josh Gottheimer for Congress,83
Lupe Valdez,82
Kris Rixon for NC House 9,82
Independent Voter,82
Maura Healey,81
Jay Gonzalez,81
NumbersUSA,80
Caroline Walker for NC Senate,80
You Should Know Arizona,79
Environmental Defense Fund,79
Darryl Moss for NC,79
Lesley Dahlkemper,78
Community Action Fund of PPOSBC,78
"Access Reproductive Care-Southeast, Inc.",78
Veterans and Affordable Housing Act,77
Rick Scott,77
Firefly Engagement,77
U.S. Chamber of Commerce,76
Learn Our History,76
Jamie Ballinger for Tennessee Senate,76
Colin Van Ostern,76
Yes for Affordable Housing,75
Senate Majority PAC,75
Independence USA,75
Kathleen Williams for Montana,74
ExxonMobil,73
Progressive Turnout Project,72
Jess King for Congress,72
Giving Brush,72
NO on 105,71
Giffords,71
Dave Yost,71
Brady PAC,71
AFP Action,71
Prop 4: Better Boundaries,70
Greg Abbott,70
Downtown for Democracy,70
North Carolina Democratic Party,69
Vote With Me,68
Alliance for Retired Americans,68
The Fighting for Families Fund,67
Republican Governors Association (RGA),67
Kim Olson for Commissioner of Agriculture,67
IL-14 Get the Facts,67
Defend Oregon,67
Solar Energy Today,64
Battleground Texas,64
AFL-CIO,64
Solar Rebate,63
Kevin Cramer's Out for Himself,63
Just Energy United States,63
Faith and Freedom Coalition,63
Everytown for Lucy McBath,63
Americans for Prosperity-Kansas,63
Our Kids 1st - Our Schools Now,62
Lizzie Pannill Fletcher for Congress,62
Live Action,62
Colin Schmitt,62
V.A. Shiva Ayyadurai,61
Trump 2020 Wear,61
Susie Lee,61
Ro Khanna,61
Jennifer Benson for NC House,61
Ginger Garner for NC Senate,61
CARE,61
Voto Latino,60
VoteTogether,60
Vote No On Brian Maienschein,60
Majority Forward,60
Kristen Carlson for Congress,60
Heather Matson for Iowa House,60
UAW International Union,59
Sharon Shewmake Page,59
Shareblue Media,58
Michael Knowles,58
Yes to Affordable Groceries,57
Steven Horsford,57
PragerU,57
My Faith Votes,57
High Ground,57
CRTV Tonight with Gavin McInnes,57
Up for Growth,56
Stretch the Truth,56
Pep Solar,56
New Mexico’s 2nd Congressional District - Get the Facts,56
Michigan Families Matter,56
Lisa Brown,56
David Baria for Mississippi,56
Calvin Ball,56
Jewish Democratic Council of America,55
Jen Jordan - GA State Senator District 6,55
Henry McMaster,55
CM Voter Center,55
45th President Donald J. Trump,55
Simon for House,54
Kristin Sunde for Iowa,54
John Worth Wiles for NC House of Representatives District 90,54
The Leadership Conference on Civil and Human Rights,53
Ric Vandett for NC Senate,53
Aaron Lieberman for Arizona,53
You Should Know Pennsylvania,52
Tim Bjorkman,52
Gold Asset Information Group,52
Daily Kos,52
Animal Matters,52
Rise Up Retail,51
Planned Parenthood Texas Votes,51
Pennsylvania Values,51
Patriot Majority NM,51
National Security Action,51
Dan Kohl,51
Be A Hero,51
Sivoli For Senate,50
Republican Party of Texas,50
Personal PAC,50
NRA - National Rifle Association of America,50
Jerry E. Langley,50
International Rescue Committee,50
Fix Politics Now,50
NJ7 Citizens for Change,49
Carter Turner for Delegate,49
Wendy Sue for Wisconsin,48
Open The Books,48
Mallory Hagan for Congress,48
Larry Hogan,48
Brian 'BAM' McClendon,48
American AF,48
All Above All Action,48
A Stronger Vermont,48
Rob Woodall,47
No on 103,47
Louder with Crowder,47
Larry Elder,47
We the People - Pennsylvania,46
Resist Trump's agenda,46
No Labels Action,46
Campbell For NC Senate,46
Will Conley,45
Stephanie Murphy for Congress,45
Norm Bossert,45
MomsRising.org,45
Elect Rich Cramsey,45
Corazon Coqui,45
Concerned Women For America LAC,45
The Nib,44
TIDAL,44
Re-Elect Robert J. Vargas for County Court at Law 1,44
New Hampshire Democratic Party,44
Kirsten Engel,44
Jeff Johnson,44
Education Matters,44
Bill Nelson,44
Vote Frenzy,43
South King County Deserves Better,43
Michelle Lujan Grisham,43
Jennifer Jermaine for AZ LD18 House,43
Elect Marcia Morgan,43
Color Of Change PAC,43
Ted Cruz,42
Home Professionals,42
Grow Louisiana Coalition,42
Everybody Is For Amendment 2,42
Democratic Coalition Against Trump,42
Clarke Tucker for Congress,42
Citizens for Responsible Energy Solutions,42
Catholic Relief Services,42
Arkansas Federation for Children Action Fund,42
Tim Walz for Governor,41
Phil McGrane for Idaho,41
Nate McMurray for Congress,41
Mayor Matt Hall,41
Maine Conservation Voters Action Fund,41
LAFed Action,41
Kate Brophy McGee - State Senate,41
Gayle Kemp for State House,41
AFT - American Federation of Teachers,41
Wisconsin Leadership Committee,40
The News and Why It Matters,40
Our Revolution Mid-Missouri,40
Matt Rinaldi,40
Maria Collett for PA Senate,40
Korean Americans in Action - KAA,40
Do You Have A Plan To Vote On November 6th?,40
Chad Stachowicz for NC Senate,40
Carl DeMaio,40
Bera for Congress,40
Tara Energy,39
Jennifer Pawlik,39
Chad Benson Show,39
Aimy Steele for NC House 82,39
Young America's Foundation,38
Tony Evers,38
The Voter Participation Center,38
Terri Legrand for NC House 2018,38
Paul Lilly for Brown County Judge,38
Patagonia,38
Our Colorado Values,38
Ohio Student Association,38
For Our Future Ohio,38
Conversations with Bill Kristol,38
Civic Shout,38
Background Check: Lee Zeldin,38
Always On NY,38
Alliance for Michigan Power,38
Terrence Murphy,37
SDSU WEST,37
Joe Perske for MN Senate,37
In the Woods with Phil,37
ClearPath Action Fund,37
Andrew Wilkow,37
Teamsters,36
Support Our Schools,36
Rhonda Cole Schandevel,36
Matt Longjohn,36
MJ for Texas,36
LiveWell Colorado,36
Janelle Bynum,36
J.D. Mesnard,36
Huntington Republican Committee,36
Honoring Our Veterans,36
Elect Karl Dean,36
American Values PAC,36
American Tort Reform Association,36
act.tv,35
Thompson For House District 92,35
Rise California,35
Portside,35
Mike Bost,35
Likewise Media,35
First 5 L.A. Parents,35
Dan Patrick,35
Dan McCready for Congress,35
American Academy of Ophthalmology PAC,35
Wendy Rogers,34
Vote Together NC,34
Vote Sarah Kovoor Family Court Judge,34
Renee Hoagenson for Congress,34
Perry Gershon for Congress,34
Mike Collier,34
Miaz,34
Making Every Vote Count,34
Jen Duff,34
Gavin Newsom,34
CREDO Mobile,34
Boricua Vota,34
Vera Institute of Justice,33
United States Constitution,33
Truth About Selma,33
Representative Bobbie Richardson,33
Maria Weekes For Judge,33
March of Dimes,33
Kansas Values Institute,33
Jody Voss for Mayor,33
Jen Metzger for NY Senate,33
Hotel Workers for Stronger Communities,33
Angus King,33
Alexandria Ocasio-Cortez,33
Saveourowlsproject,32
ResistryPAC,32
Rant Nation with Graham Allen,32
Paul Evans,32
OurStates,32
No Kid Hungry,32
Middle Class Missouri,32
Jim Beck for Insurance Commissioner,32
JD Wooten for NC Senate,32
House Majority PAC,32
Elissa Slotkin for Congress,32
Elect Carolyn Long,32
Donzel Leggett,32
Donahue for State House District 68,32
Dominion Energy South,32
Disrupt Aging,32
Claudia Tenney Wrong for NY,32
Charlie McConkey,32
Vernon Moore For NC Senate District 10,31
PP Pennsylvania Advocates,31
Ohio Politics,31
Louisiana Chemical Association,31
Justice Brett Busby,31
Julie Kushner for State Senate,31
Josh Lowenthal,31
Jordan for Governor,31
I'm for Grover,31
Human Coalition,31
Hawaii Republican Party,31
Family Friendly PAC,31
County Above Party PAC,31
Chip Chick,31
CVNM Verde Voters Fund,31
Americans for Prosperity-Michigan,31
Tom Simmons for NC House,30
Tim Kaine,30
Tim Barnsback for NC House,30
The Collective PAC,30
Tennessee Democratic Party,30
Sunday Gover for Assembly,30
Scott Walker,30
Sam Edney,30
Planned Parenthood,30
New Era Colorado,30
Military Officers Association of America (MOAA),30
Mike Harris,30
Mark Harris Not For Us,30
MPR News,30
Lina Hidalgo for Harris County Judge,30
Kenan Judge for Iowans,30
Freedom for All Massachusetts,30
Frank Deese for North Carolina,30
FloridaStrong,30
Florida Strong,30
Eric Gjerde for Iowa,30
Elevate Ohio,30
Dianne Little for NC House,30
Conservative Gear,30
Circa,30
Buffy Wicks,30
Alliance for Gun Responsibility,30
Turning Point USA,29
Teresa Alonso Leon for House District 22,29
Susan B. Anthony List,29
Moms Power Elections,29
Mark Shelley for NC Senate,29
Kwame Raoul,29
Kelly Northcutt for State Senate,29
Karen Kwasny for City Council,29
Josh Revak for House,29
Josh Harder,29
Geoffrey Cauble For GA,29
Art Robinson,29
Anna Caballero for Senate,29
Alliance for Climate Education,29
Vote Pinky Vargas,28
Tom Wolf,28
Sheldon Whitehouse,28
Richard Cordray,28
Nevada Values PAC,28
Nevada State Democratic Party,28
Let Us Vote For A Balanced Budget Amendment Citizen's Campaign,28
Judge Dan Hinde,28
Joe Manchin,28
Edwards for New Hampshire,28
Capital Research Center,28
Bill Huizenga,28
Ammar Campa for Congress,28
