Beto O'Rourke,10603000,28922677
Everytown for Florida,5718000,14040861
No Prop 8 - Stop the Dangerous Dialysis Prop,5473000,13044843
Donald J. Trump,4965000,23310628
It’s Our America,3871000,14007362
Faith and Freedom Coalition,3690000,8397937
Claire McCaskill,3557000,10419660
Yes On 1631,3088000,8030859
AFP Action,2888000,7100929
Florida Strong,2850000,6350970
Nuestra Florida,2761000,8058698
ACLU,2719000,7927415
NO on 3,2352000,5653912
Tim Walz for Governor,2195000,5465959
MoveOn,2068000,8999257
Care2,2064000,6062525
Ted Cruz,2045000,5026959
Progressive Turnout Project,2016000,4637928
Stand Up for Ohio,2000000,4507974
FutureinAmerica,1932000,7095854
Double Talk Ducey,1930000,4399984
Powerpac GA,1860000,4249988
Democrats,1819000,8025272
NumbersUSA,1806000,4461921
Arizona Democratic Legislative Campaign Committee,1794000,6049967
JB Pritzker,1785000,4527903
Penzeys Spices,1762000,5141910
Keep Them Accountable,1742000,6656752
Indiana Votes,1738000,4751883
Progress News Network,1703000,4118983
Living Free,1696000,6699709
Tennessee True,1660000,3499990
Ron DeSantis,1581000,4800842
No Prop 6,1566000,3564980
"Yes on 3, the Energy Choice Initiative",1540000,3399990
Voters - Not Politicians,1528000,4125906
New York City Charter Revision Commission,1520000,3400988
National Horizon Action,1484000,3902893
Miaz,1481000,3699966
Heidi Heitkamp,1426000,4474625
Dan Patrick,1406000,3320965
Restoration PAC,1398000,4719895
Planned Parenthood Action,1393000,4943730
Vote NO on 1631,1391000,4225829
Boricua Vota,1375000,3253966
The Joe You Don't Know,1368000,3077904
AFL-CIO,1340000,3445936
Florida Conservation Voters,1340000,2869990
No on Prop 10 - Too Many Flaws,1300000,2699995
AFT - American Federation of Teachers,1298000,3171959
Jeff Johnson,1279000,3200956
Corazon Coqui,1269000,3232955
PAC+,1250000,2899990
American Conservative Union,1220000,4722748
Clean Arizona Corporation Commission,1217000,2720982
Conservation Ohio,1200000,2999994
Cheddar,1200000,2500996
Maryland Together We Rise,1200000,2499997
FRC Action,1200000,2400995
Tim Kaine,1185000,2844970
Comedy Central Stand-Up,1160000,2651992
Sierra Club,1139000,3758793
Ammar Campa for Congress,1139000,2949972
International Rescue Committee,1113000,2705950
Choose Me Not 3,1103000,2434974
"I Love You, America",1100000,2399995
Veterans and Affordable Housing Act,1084000,2827923
Working People Rising,1080000,2469983
Swing Left,1063000,3300608
Scholten4Iowa,1062000,2562974
Freedom for All Massachusetts,1050000,2849970
Stacey Abrams,1043000,2898804
DAGA Ohio People's Lawyer Project,1000000,1999998
Orman for Kansas,964000,2289981
Kim Reynolds,961000,2354992
Microsoft,950000,2099996
Know Colorado,940000,2369974
Wrong for Us,938000,3394828
Kwame Raoul,931000,2515971
Bob Casey,926000,2016984
Marsy's Law for Georgia,920000,2099995
Committee for Colorado's Shared Heritage,911000,2054995
Millionaire Claire,910000,2156986
Republican Party of Texas,902000,2206950
Susan B. Anthony List,889000,2003971
Elevate Ohio,875000,2037970
Andrew Gillum,811000,2259867
Reform,810000,2650882
For Our Future Ohio,806000,1963962
L.A. County Registrar-Recorder,800000,1699997
Likewise Media,780000,2032965
YES on C - Our City Our Home SF,748000,1846977
SDSU WEST,746000,1874963
Michelle Lujan Grisham,738000,1871957
Elissa Slotkin for Congress,736000,1664968
Morrisey's Record,735000,1909986
MyRoar,735000,1905914
Trumpatwar,726000,1702908
Colorado Resistance,712000,2896758
Marsy's Law for Florida,710000,1551995
A Stronger Ohio,710000,1549997
Securing Ohio,710000,1449995
Better Angels - A documentary by director Malcolm Clarke,705000,1509997
Wisconsin League of Conservation Voters,700000,1500997
Marsy's Law for North Carolina,700000,1499998
Americans United for Values,700000,1499998
Jay Gonzalez,696000,1988919
Yes 4 Proposition 4,695000,2325913
Stop the Liberals,683000,1434990
Americans for Prosperity-Kansas,674000,1601937
America First Policies,671000,3685654
Citizens Energizing Michigan's Economy,666000,1564992
CFG Action,665000,1529974
Together Colorado,665000,1359995
PragerU,664000,2078943
American AF,655000,1808952
Marsy's Law for Oklahoma SQ 794,650000,1599996
Better Colorado Now,650000,1299997
United Food and Commercial Workers International Union,645000,2627468
Colorado Way,642000,1609988
Women For Civility,639000,2711848
Elect Carolyn Long,631000,1654968
George Scott for Congress,629000,1632987
Colorado Rising - YES on 112,628000,1544981
"Students, Parents, and Teachers Supporting Marshall Tuck for Superintendent",628000,1326990
Advanced Energy Economy,622000,1415976
Shareblue Media,620000,2211942
Dallas Votes 4 Kids,615000,1267987
First Freedoms,610000,1349992
Mike DeWine,605000,1360987
"Vote for Better Paychecks, Not Dean Heller",605000,1309994
CreditRepair.com,586000,1235991
Gretchen Whitmer,581000,1359978
Pennsylvania Values,574000,1551949
Texas HDCC,573000,1706973
Thomas P. DiNapoli,565000,1380986
Vote No Arizona,563000,1419981
Independent Voter,562000,1860918
Yes on 7G,560000,1349995
iAmerica Action,556000,1535973
AARP Advocates,555000,1579985
Coloradans for Responsible Energy Development,550000,1299996
Ken Paxton,543000,1414990
Michigan Families Matter,534000,1646944
Just Vote No On 13,533000,1404974
Martha McSally,532000,1159988
Congressional Leadership Fund,531000,1535911
New American Jobs Fund,531000,1355992
NFIB,520000,1299994
FloridaStrong,516000,1469970
We Are ALPA,511000,1254994
FreedomWorks,510000,1864781
Uber,510000,1049998
Larry Hogan,508000,1541952
ACLU of Texas,507000,1019996
Vote NO on 5,506000,2169750
End Citizens United,506000,1503851
Georgia Strong,505000,1012995
NowThis Politics,500000,1149988
4ocean,500000,1099996
realtor.com,500000,999999
Vote For Hoosier Values,500000,999999
CFGA Montana,497000,1119985
Southern Poverty Law Center,495000,1418978
Jordan for Governor,495000,1335969
Dave Yost,493000,1498929
MasterClass,492000,1404897
Iowa Secretary of State Paul Pate,488000,1264982
Working For Us,478000,1874635
Claudia Tenney Wrong for NY,478000,1253968
Richard Cordray,475000,1266972
Stronger Foundations,472000,1329988
Lee Zeldin,470000,1172991
Fairness for Fantasy Sports Louisiana,470000,1150987
Scottholeswi,470000,1099994
Our Flag Our Country,469000,2208580
Today's Nation,469000,1101980
NextGen America,468000,2888837
Nevada Conservation Political Action,467000,1119986
Greg Abbott,459000,1439930
Republican Women for Progress PAC,455000,1309985
Joe Manchin,454000,1178972
Progress Texas,450000,1249993
Minnesota DFL Party,450000,1099997
CASA in Action,450000,1035984
RepresentUs,450000,1000993
Ohio In the Know,450000,999996
Patriot Majority,450000,899995
Rick Scott,447000,1461923
With Honor,443000,1134982
Indivisible Guide,439000,1879815
Reform Austin,431000,1492860
Roman McAllen for Railroad Commission of Texas,431000,1054992
Scott Walker Cost Us Healthcare,430000,1119994
Citizens for Responsible Energy Solutions,427000,1160958
Faith In Minnesota,427000,1140985
Insure The Good Life,420000,1100995
Elizabeth Warren,419000,1618774
Ohio Student Association,418000,1206962
Everytown for Gun Safety,417000,1309901
Noble Energy Colorado,416000,1136981
