No Prop 8 - Stop the Dangerous Dialysis Prop,5367000,12829846
No Prop 6,1566000,3564980
No on Prop 10 - Too Many Flaws,1300000,2699995
Veterans and Affordable Housing Act,1083000,2819927
YES on C - Our City Our Home SF,748000,1846977
FutureinAmerica,699984,1399959
Yes 4 Proposition 4,653946,2150777
"Students, Parents, and Teachers Supporting Marshall Tuck for Superintendent",628000,1326990
PAC+,350000,699995
Greater Irvine Education Guide,310000,649995
Yes On Prop 3 - California Water Bond,300000,700997
CRP IE,300000,699998
Yes On 10,299879,600752
Katie Hill for Congress,280000,749995
Wrong for Us,255999,918941
"We Support Buffy Wicks for Assembly: Progressive, Proven Leadership",250000,499996
Yes on 8,249995,799969
Stop Measure L - Helps a Few. Hurts A Lot,245000,609993
Mark Meuser,235000,661993
Catharine Baker,228000,624993
California Deserves Innovative Public Schools,216000,564996
No On Prop 5,201976,791832
California 2020,200000,549992
Zillow,200000,499999
United Food and Commercial Workers International Union,200000,499999
"Dr. Ed Hernandez, O.D.",200000,499999
California Democratic Party,200000,399998
L.A. County Registrar-Recorder,199963,499906
Indivisible Guide,193000,826332
Ashleigh Aitken: Wrong for Anaheim Mayor,189000,603980
Yes on Prop 10,182000,432989
Full Voter Participation Act,176000,715984
Educators for Thurmond for State Superintendent of Public Instruction,169997,922630
Our Lives Our Vote,165988,368956
TurlockCityNews.com,160874,354743
American Conservative Union,159000,632963
American Values PAC,159000,391984
97.1 AMP Radio,149951,299901
Irvine Community News & Views,146000,384991
Keep Them Accountable,143997,652948
Gavin Newsom,138970,540489
TJ Cox for Congress,135000,359994
SDSU WEST,130809,354970
Living Free,124996,436938
Carl DeMaio,121000,465960
North Bay Labor Council,120000,299997
Korean Americans in Action - KAA,116000,384990
Goal SD,110962,254825
Safe Clean Water L.A.,110000,249998
StopX,110000,249997
SF Environment,110000,249997
Community Action Fund of PPOSBC,103990,389886
Solar Energy Today,102000,489977
Republican Women for Progress PAC,100000,349994
Dante Acosta,100000,199999
We Are California,100000,199998
Bonnie for Supervisor,99807,199613
Independent Voter,87875,401347
SoCal Health Care Coalition,86000,414990
SoccerCity SD,85000,277988
Julia Brownley for Congress,85000,259995
Josh Lowenthal,82000,315971
Harry Sidhu for Anaheim Mayor,82000,259994
High Desert Energy Experts,82000,220982
MyRoar,80893,383189
Measure AA: the Oakland Children's Initiative,80000,375985
Equality PAC,80000,249996
Republican Lorie Zapf,80000,235990
Jeff Denham,78000,344988
Yes on 11 - Californians for Emergency Preparedness and Safety,77963,224810
The Humane Farming Association (HFA),75000,360991
SoCal Priorities,72000,291977
Women For Civility,71000,317969
Brian Maienschein for Assembly,70000,199997
David Valadao,68000,301982
Aileen Rizo,65000,159997
Bera for Congress,63000,274960
Vote for Ali,61000,155996
AFT - American Federation of Teachers,60043,150085
California Republican Party,60000,151996
Powercaaction,60000,149998
NOmeasureX,60000,149998
Rise California,58990,257928
Amy Bublak,57000,269992
California Progressive PAC,55000,109998
Better With Age,54000,202957
Nathan Fletcher for County Supervisor 2018,51000,105997
Konstantinos Roditis for California State Controller 2018,51000,104998
Bill Dodd,50000,249995
Richmond Progress PAC,50000,219994
"Yes On YY, San Diego's School Safety & Repair Measure",50000,99999
Vladislav Davidzon for Berkeley Auditor,50000,99999
Tyler Diep for Assembly,50000,99999
San Diegans Against Crime,50000,99999
Great America Alliance,50000,99999
Glenn Hendricks 2018 Page,50000,99999
Californians For A Better East Bay,50000,99999
California Rifle and Pistol Association,50000,99999
Bill Essayli,50000,99999
Civil Justice Association of California,49000,238982
No on Measure G,48000,170984
"Denham Says, Denham Does",47000,223987
Greg Conlon,47000,159991
Harley Rouda,45998,207970
Ammar Campa for Congress,44278,191384
Sierra Club,41337,147390
San Francisco Parent Political Action Committee,40000,201985
Aaron Starr for Oxnard Mayor,40000,200995
"Safer San Jose, Yes on Measure T",40000,199996
"Henry Nickel for Assembly, District 40",40000,199996
Cisneros for Congress,38000,152984
"VOTE- Lorena Chavez, East Side Union High School District School Board",36988,169935
CAVoices4Progress,36000,165994
Susan K. Hatmaker,35000,159996
Stop Mathis,35000,159996
Katie Porter,34000,470526
LCV Victory Fund,31989,128920
Our Flag Our Country,31718,198504
The Dirt on Diep,31000,163987
No on Measure U Sacramento,31000,126993
ChooseChildren,31000,124995
"Councilman Ray Buenaventura, Daly City Council",31000,97991
Planned Parenthood Advocacy Project Los Angeles County Action Fund,30997,165969
Women for American Values and Ethics - WAVE,30000,152994
Motor Voter California,30000,119996
Informed Vallejo,30000,119996
Working Families for a Strong Benicia,29999,120992
Les Smith for El Centro City Council,28000,115983
Giselle Hale for RWC Council,27000,144981
Cindy Goldberg for CVUSD School Board 2018,27000,121993
The California Endowment,27000,119995
Better Government Committee of the San Manuel Band of Mission Indians,27000,119995
Young Kim,26993,119964
Trevor McNeil 麥德偉 for Supervisor D4,26000,87992
"Yes on Measure V, Vote Affordable San Jose",25999,117991
Yes on Measure F,25965,116820
Re-elect Mayor Cheryl Viegas-Walker,25835,55664
Mayor Rich Tran,25000,96990
Reality Alert & Election Forum,24996,101974
Neal Pann for Livermore,24000,119994
Christy Smith for 38th,24000,95987
NO on Y Oceanside,23000,122987
Patagonia,22875,76896
Strong California,22000,112993
Alliance for Retired Americans,22000,111994
Californians for Population Stabilization,22000,109996
Greg Larson for Santa Cruz City Council,22000,80994
Shareblue Media,21135,105431
Consulta de Inmigracion en San Diego,21001,105000
South Bay Labor Council,21000,104997
Lex Leifheit,21000,104997
CALIFORNIA ASSOCIATION OF REALTORS®,21000,104997
Turning the Tide,20999,105991
Mercy For Animals,20000,100997
California Home Upgrades,20000,100997
Assemblymember Adrin Nazarian,20000,100997
seiu-uhw,20000,99998
The World Famous KROQ,20000,99998
SEBA,20000,99998
Folsom Facts,20000,99998
Protecting West Sacramento,20000,88989
Yes on Measure G Coalition to Protect San Luis Obispo County,20000,43992
Josh Harder,19999,113849
Transparency in Government,19997,99984
Jennifer Hayden for Huntington Beach Schools,19989,99941
Henry Alexander III,19000,82991
Military Network,18000,78982
West Davis Active Adult Community,18000,75994
The Center on Policy Initiatives,18000,75994
Scott Huber For Chico City Council,18000,74995
Cody Bass for South Lake Tahoe City Council,18000,46992
Santa Rosa Housing Now,17999,77989
CD1 Alliance,17998,75985
Jovanka Beckles,17983,77920
Progress News Network,17923,45056
U.S. Chamber of Commerce,17836,37175
A Case for Women,17000,71994
Roman Reyna,17000,69996
"Matt Taylor - Trustee, Yolo County Board of Education",16999,71988
Janelle Horne for EDC Recorder Clerk 2018,16999,39993
Jimmy Panetta for Congress,16872,69434
Anna Pletcher for District Attorney,16000,92980
No Kid Hungry,16000,85060
Diane Harkey,16000,64997
NumbersUSA,16000,34996
Matt Haney,15979,54917
Inland Empire Taxpayers Association,15000,90978
Loren Taylor for Oakland City Council,15000,86982
Javier John Dutrey For Montclair Mayor,15000,61996
Santa Clara County Public Safety Alliance,15000,60997
Travis Allen,15000,59998
Stronger San Diego,15000,59998
Radical Rouda,15000,59998
Dorothy Beattie for Santa Rosa City Council District 4,15000,59998
