Committee for Colorado's Shared Heritage,911000,2054995
Together Colorado,665000,1359995
Better Colorado Now,650000,1299997
First Freedoms,610000,1349992
Yes on 7G,560000,1349995
Coloradans for Responsible Energy Development,550000,1299996
Working People Rising,550000,1099998
Colorado Rising - YES on 112,518000,1294984
Noble Energy Colorado,416000,1136981
Brian Watson for CO Treasurer,401989,1778859
RepresentUs,400249,900492
Let's Go Colorado,332000,868974
Wayne Williams for Colorado Secretary of State,330974,760923
Colorado Resistance,327988,1530748
Colorado Way,321996,809972
Vote The Outdoors Action Fund,300000,719990
Jared Polis,259000,1075835
No On Prop 112,257000,632975
Phil Weiser,230000,478948
"Walker Stapleton: Wasteful, Incompetent",220000,599997
Americans for Prosperity - Colorado,200000,499999
Be a Colorado Voter,200000,399998
Coloradans for Fairness,182995,986665
Colorado Children's Campaign,152000,459991
Diane Mitsch Bush for Colorado CD3,147988,734756
Rocky Mountain Gun Owners - Official Page,145000,530987
Jena Griswold for Colorado,144802,501599
"Great Schools, Thriving Communities",144000,359988
George Brauchler for Colorado,136000,364994
Laura Christman for Mayor of Cherry Hills Village,126000,316993
Christine Jensen for Colorado,120000,299996
Abolish Slavery Colorado,110000,249998
Ed Perlmutter,100000,199999
No on Prop 109,99000,329990
Planned Parenthood Votes Colorado,92999,395973
Lesley for CU Regent,89000,437879
JeffCo Proud,87993,403876
Protect Colorado,83000,266991
Conservation Colorado Victory Fund,82998,505858
New Era Colorado,71000,316970
Independence Institute,60000,149998
Cole Wist,60000,149998
Healthy Food for Denver,57000,122993
Esencia de Colorado,55000,109998
LiveWell Colorado,52000,228964
Senator Beth Martinez Humenik,51000,254994
Seth Cagin,51000,182984
Chris Kolker for House District 38,51000,104998
iAmerica Action,50000,250994
Tim Krug for Colorado Schools,50000,99999
Colorado Education Association,50000,99999
ExxonMobil,46000,250960
United Food and Commercial Workers International Union,46000,208960
Our Colorado Values,41000,194965
ACLU of Colorado,41000,191988
Spirit of Colorado,36000,164995
Keep Them Accountable,32000,129994
Bri For Colorado,31000,154996
Toren For Colorado,30000,149997
Change Now,26000,114996
Yes for Denver Parks,26000,54994
Support Anythink,25000,109997
Denver Republican Party,25000,109997
Sierra Club,24018,92139
"Matt Gray, State Representative",23000,114995
Mike Weissman,22000,110995
Colton Black For La Plata County Treasurer,21000,105996
Caraveo for Colorado,21000,105996
Matt Soper,21000,74996
Family Policy Alliance,20107,101531
Senator Leroy Garcia,20000,99998
Peggy Catlin for RTD,20000,99998
Mary Elizabeth Fabian,20000,99998
Auto Alliance,20000,99998
Emily Sirota for House District 9,18000,61988
Fix Our Damn Roads,18000,44994
Coloradans for Fair Taxes,17000,60985
Stand for Children - Colorado,16932,39654
Our Lives Our Vote,16000,82990
Shannon Bird for Colorado,16000,34996
Rep. Jeff Bridges,15000,63994
Kamala Vanderkolk for CO Representative - 39,15000,60997
Emma Pinter for Adams County Commissioner,15000,60997
Vital for Colorado,15000,59998
Safe Streets Arvada,15000,59998
Deadbeat Don Bendell,15000,59998
Adams 12 CAN for Kids,14000,57986
Erin Kelley for Colorado House District 60,14000,41992
Marc Snyder for House District 18,13000,66994
"Representative Daneya Esgar, HD 46",13000,64996
Clare Gallagher,12000,60996
YES on Proposition 111: Stop predatory payday loans in Colorado,12000,59997
Representative Barbara McLachlan,12000,59997
Kersgaard for Jeffco,12000,29996
DecideColorado,12000,29996
Democracy for the People Initiative,11000,58994
Representative Dafna Michaelson Jenet,11000,56996
