The Colorado Way,200000
Paid for by Americans for Prosperity,200000
First Freedoms,200000
Perlmutter for Congress,100000
Coloradans Creating Opportunities,100000
Working People Rising,50000
RepresentUs,50000
RMGO Super PAC,50000
Krug for Colorado Schools,50000
Colorado Education Association,50000
Coloradans for a Responsible Future,50000
Coloradans for Responsible Energy Development,50000
Christine for Colorado,50000
Better Colorado Now IEC. Not paid for or authorized by any candidate or candidate committee,50000
Wist for Colorado,10000
Vital for Colorado,10000
United We Can. Not authorized by any candidate or candidate’s committee.,10000
Toren for Colorado,10000
Together Colorado,10000
The Democracy For The People Campaign,10000
The Auto Alliance,10000
Support Anythink Libraries,10000
Protect Our Winters Action Fund,10000
Peggy Catlin for RTD,10000
Patrick McIntire for Colorado State Senate,10000
Noble Energy,10000
National Wildlife Federation,10000
Martinez Humenik SD24,10000
"Good Jobs Colorado; Donna Johnson, Registered Agent; Not Authorized by Any Candidate",10000
George 2018,10000
"Family Policy Alliance Independent Expenditure Committee. Autumn Leva, Registered Agent.  Not authorized by any candidate.",10000
Dominique Jackson for Colorado House,10000
Denver County Republican Central Committee,10000
Dave Young for Colorado,10000
Community For A Peaceful Palmer Lake,10000
Committee for Colorado's Shared Heritage,10000
Colorado Children's Campaign,10000
"Citizens Protecting People, Property, and Open Space",10000
Caraveo for Colorado ,10000
Campaign to Elect Mary Elizabeth Fabian,10000
COMMITTEE TO ELECT LEROY GARCIA,10000
COLORADANS FOR COLORADANS,10000
Brian Watson for Colorado Treasurer,10000
Bri For Colorado,10000
Abolish Slavery Colorado ,10000
1A Is Summit's Future,10000
Vote Yes 4 Thompson Students,9997
the Colorado Democratic Party,5000
Wayne Williams for Colorado,5000
Vote The Outdoors Action Fund,5000
Valdez for Colorado,5000
The Tax You Don't Pay Committee,5000
"Stand for Children, Inc.",5000
Sierra Club,5000
Shontel Lewis for RTD District B,5000
Safe Streets Arvada,5000
Planned Parenthood Votes Colorado Independent Expenditure Committee. ,5000
Matt Crane for Clerk and Recorder,5000
Healthy Parks and Rivers for Everyone,5000
Healthy Food for Denver,5000
Galindo for Colorado,5000
Faith for SD 24,5000
Eric Rutherford for HD 33,5000
Emily Sirota for Colorado,5000
Elect Matt Soper,5000
Eagle County Democratic Party,5000
Donovan for State Senate,5000
Colin for Colorado,5000
Colin Wilhelm For Colorado ,5000
Citizens to Elect Terri Carver for HD20,5000
Change Now,5000
COLORADO FORWARD to DECIDE COLORADO,5000
Butler for Weld County,4999
Save Our State Colorado. Not Authorized by any candidate or candidate's committee. ,4997
donations to George Marlin for Clear Creek County Commissioner.  Created by volunteers.,4996
