Patriot Majority,450000,899995
Delaware Democratic Party,49902,99802
Guillermina Gonzalez for Delaware,48000,224992
Rob Arlett For US Senate,34900,129495
Ken Simpler for Delaware,33893,175455
Kathy McGuiness for Auditor,33000,159979
Paradee For State Senate,20992,104953
First State Strong,20000,69997
Don Allan for Delaware,15990,64954
League of Women Voters of DE,15000,59998
Krista Griffith For Delaware,14991,59964
Elect Justin King,10000,49999
Debra Heffernan for the 6th District,10000,49999
Mayor Shupe,10000,36992
Senator Colin Bonini,10000,19998
Laura Sturgeon,9987,52907
James Spadola for State Auditor,6000,14998
Solar Energy Today,4000,20995
Stephanie Barry,2823,15900
Friends of Brad Connor,2000,10997
Re-Elect Michael Ramone,2000,9998
Pepukayi 2018,2000,9998
Julie Brewington - Wicomico County Council At Large,1671,3341
William Bush for 29th District State Representative,1000,6967
Rep. Sean Matthews,1000,5998
Save The Valley,1000,5933
WITN22Wilm,1000,4999
Greg Lavelle,997,5984
Paul Thornburg,981,4904
Mike Smith,794,3970
Anton Andrew for State Representative,614,1908
Exelon,407,2035
Human Rights Campaign,344,687
Friends for Patrick Vincenti,218,1090
Gold Asset Information Group,178,429
Larry Hogan,173,1000
Donald J. Trump,166,2063
Likewise Media,139,281
Pennsylvania Cable Network (PCN),127,634
End Citizens United,127,265
Dan O'Hare for Maryland Delegate 37B,115,575
Paul Hamlin,99,495
Zackery Tyndall for Worcester County Commissioner District 3,92,501
Chesapeake Bay Foundation,84,420
ACLU,64,213
Epitaph Records,62,310
Conservation Ohio,55,136
TIDAL,54,250
United States Constitution,47,95
Peter Franchot,46,229
Take On America With OZY,41,211
Citizens for Jim Moran,40,81
Grossman for Congress,37,74
Care2,33,109
"I'll go ahead and keep my guns, Thanks",29,144
Mike Lee Baltimore County Council,28,139
U.S. Chamber of Commerce,27,140
Senate Majority PAC,26,135
MoveOn,25,128
Kennett Democrats,24,130
Heidi Heitkamp,24,121
Proud Right Winger,24,82
Know Colorado,24,68
Democrats,23,135
John Chrin for U.S. Congress,21,107
Generation Progress,21,104
Frank Esposito for Maryland Senate District 35,20,40
LifeDaily,19,57
Penzeys Spices,17,84
Richard Ojeda,16,78
Finance Watchdogs,15,39
National Republican Congressional Committee,14,380
Paul Tonko for Congress,14,69
American AF,14,68
People United for Privacy,14,28
Ax The Bev Tax,12,41
Strong Women Society,10,71
Claire McCaskill,10,20
Health Care Voter,9,50
Maryland Food Bank,9,44
New Hampshire Republican State Committee,9,43
Denise W. Merrill,9,43
RAGA Ohio,9,18
"Sanford Heisler Sharp, LLP",8,41
Open The Books,8,41
Wolf for Attorney General,7,36
Texas HDCC,7,36
The Ben Shapiro Show,7,35
Progressive Turnout Project,7,34
County Commissioner Steve Wilson,7,33
Pennsylvania Leadership Committee,7,19
MasterClass,6,33
We The People Holsters,6,31
PSEA - PA State Education Association,6,30
Mike Mooney for Wisconsin State Assembly,6,29
Giving Brush,6,29
Mighty Earth,6,28
Power Past Impossible,6,12
Exclusive Apparel,5,35
Kamala Harris,5,31
Better With Age,5,27
We Are The Mighty,5,25
Steve Schuh,5,25
Judge Dan Hinde,5,25
Anti Tea Party MEMEs3,5,25
Pfizer,5,23
Josh Revak for House,5,23
America with Eric Bolling,5,23
Phil Bredesen,5,14
American Federation for Children Action Fund-GA Legislative IE Committee,5,11
AFSCME,5,11
PrintedKicks,4,160
Liuba Grechen Shirley-Congress,4,81
Dinesh D'Souza,4,22
Delegate Sheree Sample-Hughes,4,21
Defenders of Wildlife,4,20
Circa,4,20
Concealed Online,4,19
Rant Nation with Graham Allen,4,18
Military Officers Association of America (MOAA),4,18
Civic Shout,4,18
NC House Republicans,4,7
Oceana,3,28
Norm Needleman for State Senate,3,16
MyRoar,3,16
JohnCheckforhouse,3,16
Blue Wave,3,16
HeadCount,3,15
Trump 2020 Wear,3,14
Rhonda Cole Schandevel,3,14
Modern Print Artwork,3,14
Eagle Point School District 9,3,14
National Domestic Workers Alliance,3,13
forestproud,3,6
Tennessee Democratic Party,3,6
Representative Steve Mentzer,3,6
McCauley For Congress,3,6
Adam Smith for Congress,3,6
People's World,2,18
Joseph “Joe” Webb for NC Senate District 6,2,16
Rob Richardson,2,14
Nate McMurray for Congress,2,14
Reading Trump's Tweets,2,12
My Faith Votes,2,12
Living Free,2,12
G.I. Jobs Magazine,2,12
Earth.com,2,12
Just Energy United States,2,11
Swing Left,2,10
Judge Sylvia Matthews,2,10
E. O. Wilson Biodiversity Foundation,2,10
Viewpoint Israel,2,9
MAGA Poker,2,9
Liberty Nation,2,9
Corazon Coqui,2,9
Kathy Wyenandt for State Representative,2,4
Alliance for Retired Americans,2,3
Catalyst Voices,1,20
Vote No On Brian Maienschein,1,8
Catholic Relief Services,1,8
SEIU PA State Council,1,7
Family Friendly Action Fund,1,7
Our Flag Our Country,1,6
Florida Sheriffs Association,1,6
Solar Rebate,1,5
Phil McGrane for Idaho,1,5
George Scott for Congress,1,5
Caroline Walker for NC Senate,1,5
Winning For Women,1,4
Steven Scrivner for Jessamine County School Board,1,4
Riverside County Sheriff Stan Sniff,1,4
National Pediatric Cancer Foundation,1,4
Joel Abelove for District Attorney,1,4
Conservation Voters of Pennsylvania,1,4
America First Policies,1,4
Zack Mullock for Cape May,1,3
Steve Malagari for State Representative,1,3
Samuel Bagenstos for Justice,1,3
Kate Brophy McGee - State Senate,1,3
Julie Morrison for State Senate,1,3
Equality Florida Action PAC,1,2
Brut,1,2
Marvin Davis for Delaware,0,3996
Delaware's 14th RD Democratic Committee,0,3996
Mary Ann's List,0,2981
Friends for Dee Durham,0,2500
Democratic Party,0,2190
Ray Seigfried for Delaware State Representative,0,1998
HealthFirst Delaware,0,1998
GOP,0,1536
Vote Frenzy,0,1076
Will McVay for Delaware State Representative,0,999
Senator Brian Pettyjohn,0,999
Sean Matthews for State Representative,0,999
"Re-Elect Rep. Kim Williams, 19th District",0,999
Pete Schwartzkopf for the 14th,0,999
Matt Denn,0,999
Kathy Jennings for Attorney General,0,999
Eric Braunstein State Representative,0,999
Colleen Davis for Treasurer,0,999
Vote Dave Baker,0,996
Friends of Bob Wheatley,0,996
Deborah Hudson,0,996
Building Stronger Communities,0,856
Mark Lynch For Register of Wills,0,272
ILobby.co,0,179
Stand Up America,0,86
Greenpeace USA,0,75
Jessica Morse,0,67
Friends of the IDF (FIDF),0,62
Mr. Free,0,53
Be Conscious. Be Kind.,0,38
Jena Griswold for Colorado,0,36
Susan Wild for Congress,0,33
Debbie Wasserman Schultz,0,33
Brady PAC,0,33
Maple Heights African American Gazette,0,31
Klean Kanteen,0,29
Armed American Supply,0,26
Lebowski Lovers,0,25
White Dove Projects,0,24
Family Protection Association,0,23
County Over Party,0,23
Working Families Party,0,20
Chris Welch for Clerk of Court,0,19
CARE,0,19
Josh Gottheimer for Congress,0,17
Chris Quinn for State Representative,0,14
Ro Khanna,0,13
Beto O'Rourke,0,13
Andy Kim for Congress,0,12
The Claw,0,11
Wide Eye,0,10
Stacey Abrams,0,10
Resist Trump's agenda,0,10
Representative Bobbie Richardson,0,10
DiversityInc,0,10
Molle & Alice,0,9
George Yancy,0,9
We are mitú,0,8
Helen Probst Mills,0,7
Dave Favro For Sheriff,0,7
CREDO Mobile,0,7
