"Patriot Majority PAC, patriot majority dot org, not authorized by any candidate or candidate’s committee.",100000
the Delaware Democratic Party,49902
League of Women Voters of Delaware,10000
Guillermina Gonzalez for Delaware,10000
Committee To Elect Justin King,10000
 Friends for Debra Heffernan,10000
First State Strong. Not authorized by any candidate or candidate's committee.,5000
Citizens for Colin Bonini,5000
Arlett for Senate,5000
Allan for Delaware,4998
Krista Griffith For Delaware,4996
"Friends of Julie Brewington, Susan Warthen, Treasurer",1671
Wilmington City Council,1000
Spadola by Auditor,1000
Sean Matthews,1000
SOLAR ENERGY TODAY,1000
Pepukayi 2018,1000
Mary Wheeler Anderson,1000
Friends of Michael Ramone,1000
Friends of Kathy McGuiness,1000
Committee to Elect Bryan Shupe ,1000
Committee To Elect Paradee,1000
Citizens for Lavelle,997
Friends of Paul Thornburg,981
Mike Smith for Delaware,794
Exelon Corporation,407
Human Rights Campaign,344
Friends for Patrick Vincenti Authority: Andrew Ondish Treasurer,218
Likewise Media,138
PCN (Pennsylvania Cable Network),127
"Dan O'Hare for Maryland, Torrez Wise, Treasurer",115
Friends of Anton Andrew,90
"Epitaph, a California corporation",62
"Conservation Ohio and not authorized by any candidate, candidate's committee, or political party",55
Hamlin for Congress,50
"Friends of Peter Franchot; Tom Gentile, Treasurer",46
Citizens for Jim Moran,40
Grossman for Congress Committee,37
Chesapeake Bay Foundation,32
2A4LIFE LLC,29
Mike Lee for Baltimore County Council District 2,28
U.S. Chamber of Commerce,27
Keep and Bear,25
"SMP, and not authorized by any candidate or candidate’s committee.",24
Heidi for North Dakota,24
Gold Asset Information Group,24
"John Chrin for Congress, Inc",21
Generation Progress,21
Penzeys,17
Committee to elect Frank Esposito for Maryland State Senate District 35,16
Committee to Elect Richard Ojeda,16
People United for Privacy,14
Paul Tonko for Congress,14
"AAF Nation, LLC",14
McCaskill for Missouri,10
the Maryland Food Bank,9
RAGA Action Fund,9
New Hampshire Republican State Committee,9
"Merrill 2018, Holly Bates, Treasurer.  Approved by Denise W. Merrill, Candidate.",9
"Sanford Heisler Sharp, LLP",8
"the House Democratic Campaign Committee. P.O. Box 1925, Austin, TX 78767.",7
"Steve Wilson at Large. Beth Pinder, Treasurer.",7
Progressive Turnout Project,7
Colorado Information Network,7
Power Past Impossible,6
PA State Education Association (PSEA),6
Mighty Earth,6
"Larry Hogan for Governor, R. Christopher Rosenthal, Treasurer",6
"Citizens for Mike Mooney, Myron Tranel, Treasurer",6
Pfizer,5
"MoveOn.org Political Action, not authorized by any candidate or candidate's committee.",5
Kamala Harris for Senate,5
"Josh Revak for House, 4072 Olympic Terrace Circle, Anchorage, Alaska 99507",5
"Citizens to Elect Steve Schuh; Daria Shaw, Treasurer",5
Anti Tea Party MEMEs 3,5
"American Federation of State, County and Municipal Employees",5
American Federation for Children Action Fund-GA Legislative IE Committee,5
"Sheree Sample-Hughes Campaign Fund, Eddie Boyd, Treasurer",4
North Carolina Republican Party,4
Military Officers Association of America (MOAA),4
Dinesh D'Souza,4
Concealed Online,4
Civic Shout,4
Circa,4
CRTV,4
the PA Food Merchants Association and American Beverage Association,3
the North Carolina Democratic Party and Rhonda for NC.,3
"Winning for Women, Inc.",3
"Trump 2020 Wear - Apparel Store not associated with the Trump campaign.  This is not a political page directly, we just sell shirts, hats etc.   Our ads will not relate directly to politics or an issue or national importance, just promoting products.  Thx",3
Tidal,3
The Committee to Elect John Check   Brad Bobbitt Treasurer,3
Proud Right Winger,3
Paid for by the Tennessee Democratic Party,3
OpenTheBooks,3
Oceana,3
"Norm 2018, Lon Seidman Treasurer, Approved by Norm Needleman",3
National Media Distribution Services,3
National Domestic Workers Alliance,3
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",3
Modern Print Artwork,3
McCauley for Congress,3
Marylanders for Craig Wolf,3
Judge Dan Hinde Campaign in compliance with the voluntary limits of the Judicial Campaign Fairness Act,3
HeadCount,3
Friends of Steve Mentzer,3
Eagle Point School District 9,3
Defenders of Wildlife,3
Care2,3
Bredesen for Senate,3
Adam Smith for Congress,3
#forestproud,3
the North Carolina Democratic Party and Committee to Elect Joe Webb NC Senate 6.,2
the NRCC and not authorized by any candidate or candidate's committee.,2
the Judge Sylvia Matthews Campaign in compliance with the voluntary limits of the Judicial Campaign Fairness Act.,2
the Alliance for Retired Americans. Not authorized by any candidate or candidate's committee.,2
WeThePeopleHolsters ,2
We Are The Mighty,2
Viewpoint Israel,2
The Great American Playing Card Co.,2
The Daily Wire,2
Pennsylvania Leadership Committee. Connected Organization: American Leadership Committee,2
News For Democracy,2
My Faith Votes,2
Mike Kaminski,2
MasterClass,2
Liberty Nation,2
Just Energy Group Inc.,2
G.I. Jobs Magazine,2
Friends of Kathy Wyenandt,2
Earth,2
E.O. Wilson Biodiversity Foundation,2
"Donald J. Trump for President, Inc.",2
 Rob Richardson for Ohio Treasurer,2
the North Carolina Democratic Party and Committee to Elect Caroline Walker.,1
Zack Mullock for Cape May,1
"Winning For Women, Inc.",1
Steven Scrivner for School Board,1
"Samuel Bagenstos for Justice, 2370 E. Stadium Blvd., No. 310 Ann Arbor, MI  48104",1
SEIU PA State Council,1
"Phil McGrane for Ada County Clerk, Eva Gay Yost Treasurer",1
Paid for by Julie Morrison for State Senate. ,1
National Pediatric Cancer Foundation,1
Kate Brophy McGee AZ - Senate,1
George Scott for Congress,1
Friends of Steve Malagari,1
Friends of Stan Sniff 2018,1
Friends of Joel Abelove,1
Florida Sheriff's Association,1
Family Friendly Action Fund,1
"Equality Florida Action PAC, P.O. Box 13184, Saint Petersburg, FL 33733",1
DCCC,1
Conservation Voters of Pennsylvania,1
Catalyst,1
Brut,1
"America First Policies, Inc.",1
the Trump Make America Great Again Committee,0
the Republican National Committee,0
the North Carolina Democratic Party and Simon for NC House.,0
the North Carolina Democratic Party and Rixon for NC House 9.,0
the North Carolina Democratic Party and Kim Bost for NC House,0
the North Carolina Democratic Party and Gail Young for North Carolina.,0
the North Carolina Democratic Party and Committee to Elect Helen Probst Mills.,0
the North Carolina Democratic Party and Bobbie Richardson for NC House.,0
the National Democratic Redistricting Committee,0
the Friends of Jess King,0
the Democratic National Committee,0
the Committee to Elect Colleen Davis,0
the ACLU,0
"mitú, Inc.",0
iLobby LLC,0
Working Families Party,0
Wide Eye,0
White Dove Projects,0
Vote Frenzy LLC,0
"The Simpler Campaign, LLC",0
The Family Protection Association,0
The Epoch Times,0
The Dude's Designs,0
The Claw ,0
TaxAct,0
Swing Left. Not authorized by any candidate or candidate's committee.,0
Susan Wild for Congress,0
Sunday Gover For Assembly 2018,0
"Strong Economy for All, a fiscally sponsored project of Center for Popular Democracy",0
Stand Up America,0
Stacey Abrams for Governor,0
"Sky Took, LLC",0
Sierra Club,0
Scott G. Dietz,0
Science for Humans and Freedom Institute,0
SaveTheOwlsProject,0
Save the Children Action Network ,0
Save The Valley,0
Sarah Smith for US Congress 2018,0
Ro for Congress,0
RAHMAN REUBEN,0
"Pursuit, a non-partisan, non-profit organization",0
PrintedKicks,0
Portside,0
Planned Parenthood Action Fund.,0
Phone2Action,0
People's World,0
OZY Media,0
National Solar Rebate,0
National Security Action,0
National Rural Electric Association,0
Nate McMurray for Congress,0
NPR's Latino USA,0
Molle & Alice,0
Matt Denn,0
Mary Ann's List,0
Marvin Davis,0
Maple Heights African American Gazette,0
Liuba for Congress ,0
LifeDaily,0
Lebowski Lovers,0
Klean Kanteen,0
Kim Williams for State Representative,0
"Kennett Area Democrats, Dale LaBar, Treasurer",0
Josh Gottheimer for Congress,0
Jessica Morse for Congress,0
Jena Griswold for Colorado,0
"Jeff Brandes, Republican, for State Senate",0
Hudson Campaign Committee,0
Heifer International,0
HealthFirst Delaware,0
Greenpeace USA,0
Giving Brush LLC,0
Friends of the IDF,0
"Friends of Zackery Tyndall, Treasurer, Edwin A. Rommel III",0
Friends of William Bush,0
Friends of Sean Matthews,0
Friends of Ray Seigfried,0
Friends of Pete Schwartzkopf,0
Friends of Naomi,0
Friends of Mark S. Lynch,0
Friends of Laura Sturgeon,0
Friends of Kathy Jennings,0
Friends of Eric Braunstein,0
Friends of Chris Quinn,0
Friends of Bob Wheatley,0
Friends for Dee Durham,0
Friends for Brian Pettyjohn,0
Friends For Stephanie Barry,0
Finance Watch Dogs,0
Fail State Documentary,0
End Citizens United,0
Elizabeth for MA,0
Diversity Incorporated,0
"Diana Arezzo, Ph.D., concerned private citizen, solely for the purpose of increasing post reach",0
Delaware's 14th RD Democratic Committee,0
Debbie Wasserman Schultz for Congress,0
Dean Phillips for Congress,0
DSCC and authorized by Bredesen for Senate,0
D'Urso For Assembly,0
County Above PAC,0
Committee to re-elect Dave Favro,0
Committee to Elect Will McVay,0
Committee to Elect Graham Phalen Sheriff,0
Committee to Elect Baker,0
"Chris Welch for Clerk of Court, Wicomico County, Maryland",0
Change Now and not authorized by any candidate or candidate’s committee.,0
Chad Benson,0
Catholic Relief Services,0
CREDO Mobile,0
CARE,0
Building Stronger Communities,0
Brady PAC,0
"Bipartisan Coalition for New Council Leadership PAC | Tom Seip, Treasurer",0
Beto for Texas,0
Be Conscious. Be Kind.,0
Auburn Seminary,0
Armed American Supply,0
Animal Matters,0
Andy Kim for Congress,0
Amnesty International USA,0
,0
