"Air Line Pilots Association, International",200000
"Elissa 2018, PO Box 14585, Washington, DC 20044. Bob Price, Treasurer. ",100000
"Winning for Women, Inc.",28028
American Family Voices,13998
The Beer Institute,10000
SAGE,10000
"Re-elect Joe Weedon | 1406 C Street NE | Washington DC 20002 | Denise Forte, Treasurer.  A copy of our report is filed with the Director of Campaign Finance of the District of Columbia Board of Elections.",10000
Organization for International Investment,10000
Farm Credit Council,10000
T-Mobile,5000
Airlines for America,5000
" Jason Andrean for School Board, Dorien Blythers, Treasurer. P.O. Box 73221, Washington, DC 20056  A copy of our report is filed with the Director of Campaign Finance of the District of Columbia Board of Elections",5000
Consumer Technology Association,4998
UNITE HERE Local 25,4902
Human Rights Campaign,4331
Finance Committee for Thomas Oh,2432
Elect Emily 4 PA,1772
"Friends of Peter Franchot; Tom Gentile, Treasurer",1076
"Larry Hogan for Governor, R. Christopher Rosenthal, Treasurer",1010
The Committee to Elect Zachary Parker 2018,1000
"Re-Elect Charles Allen for Ward 6, Pat Johnson, Treasurer, 1530 D Street, NE Washington, DC 20002",1000
Public Discourse,1000
"Petar Dimtchev for Ward 3 PO BOX 5753, Washington, DC 20016. Dan Kirner, Treasurer. A copy of our report is filed with director of campaign finance of The District of Columbia Board of Elections.  ",1000
Pantsuit Nation Action,1000
"Paid for by Jessica Sutter for SBOE (Chris Tessone, Treasurer) 121 13th St NE #301 Washington, DC 20002 A copy of our report is filed with the Director of Campaign Finance of the District of Columbia Board of Elections",1000
Karl Racine 2018,1000
Friendship Place,1000
"Emily for Education, L Trowbridge, Treasurer. 3172 18th St. NW, Washington, DC 20010. A copy of our report is filed with the Director of Campaign Finance of the District of Columbia Board of Elections.",1000
"Democrats for Education Reform DC IEC. 641 S Street NW, Washington, DC 20001. Christopher Chambers, Treasurer. A copy of our report is on file with the Director of the Office of Campaign Finance of the DC Board of Elections.",1000
Delano Lewis,1000
DC Fair Elections Coalition,1000
the ACLU,993
Freedom Partners,782
the National Center for Transgender Equality,700
"the Maryland Democratic Party, and not authorized by any candidate or candidate's committee. By authority of Robert J. Kresslein, Treasurer.",649
Nate McMurray for Congress,521
Penzeys,439
The Nature Conservancy in Virginia,425
Carnegie Institution for Science,341
"Ray Ranker for Maryland, Richard Goodlin, Treasurer. ",331
America 2034,315
NationSwell,302
Acessa Health,291
"By  Authority : Friends of Felicia Folarin, Treasurer William Olukoya",222
the Competitive Enterprise Institute ,203
Human Rights First,199
"Advisory services offered through Prostatis Group, LLC, a Registered Investment Advisor. Securities offered through TCM Securities Inc., Member FINRA/SIPC. Insurance offered through licensed professionals at Prostatis Group, LLC.",167
Our Children's Trust,127
Andrew Johnson,118
Right on Crime,99
Harper for Indiana . ,98
"Conservation Ohio and not authorized by any candidate, candidate's committee, or political party",97
Californians for Population Stabilization,97
Leadership Institute,95
"Korean Americans in Action, Inc.",94
Jamal Simmons,94
McCaskill for Missouri,78
Heifer International,78
Breton Phillips For US Senate,78
Committee to elect Karl Bickel Sheriff,62
Neighborhood Sun,61
Heidi for North Dakota,54
Cheddar,48
When Democrats Turn Out PAC,47
Change Now and not authorized by any candidate or candidate’s committee.,39
DC37 AFSCME ,32
Lime,31
Chesapeake Bay Foundation,29
Stronger Foundations,26
Yes on 73,24
AARP,24
Planned Parenthood,23
MasterClass,21
AARP Hawaii,20
