"ORMAN FOR KANSAS, INC; TIM OWENS, TREASURER",100000
"Kansans for Life PAC; Claire Schulte, Treasurer",50000
Alliance For Taxpayers,50000
the Kansas Republican Party ,10000
"Yoder for Congress, Inc.",10000
"Todd for Kansas, James Todd Treasurer",10000
THE KANSAS REPUBLICAN PARTY,10000
Shareblue Media,10000
NumbersUSA,10000
Kansas Values Institute,10000
Kansas Democratic Party,10000
"Kansans for a Democratic House, Adam Lusker, Treasurer",10000
"Jennifer Winn for Kansas, Shelley Pribanic, Treasurer",10000
"Hoffman for Senate, Rod Hoffman, Treasurer.",10000
"Brian McClendon for Kansas Committee, Sandy Praeger, Treasurer.",10000
Alan LaPolice for Congress,10000
AMERICAN CONSERVATIVE UNION,10000
DCCC. (202) 863-1500 . Not authorized by any candidate or candidate’s committee.,9989
"Tom Phillips for Kansas House, Richard Hayter, Treasurer",5000
The Bluestem Fund.,5000
"Snowden for Kansas, Hannah Peoples, Treasurer",5000
Parker for Kansas,5000
"Mike Capps for Kansas, Lisa Rey Treasurer",5000
Independence USA. Not authorized by any candidate or candidate's committee.,5000
Bird Ride,5000
"Abe Rafie for Kansas - Ashley Rafie, Treasurer.",5000
Ed Eilert for Johnson County Chair,4996
Change Now and not authorized by any candidate or candidate’s committee.,4927
"Kansas Chamber PAC, Jennifer Baysinger, Treasurer",4914
"Missourians for Cody Smith, Kevin Hardy Treasurer",3959
Rui Xu for Kansas | Brad Harris Treasurer,3822
Blue Cross and Blue Shield of Kansas City,3547
Kansas News Service,2093
"New Approach Missouri, Paul Bocci, Treasurer",1929
the Kansas Values Institute,1000
"UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION WORKING FAMILIES ADVOCACY PROJECT, 1775 K STREET, NW, WASHINGTON, DC 20006. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE.",1000
Tucker Poling,1000
Shawnee Mission Health,1000
"Shanna Henry for Kansas, Tanya Shryock, Treasurer",1000
"Schwartz for Kansas, Tom Schwartz, Treasurer",1000
"Schwab for SOS, Debra Edler, Treasurer",1000
"Palmer for Commissioner, John Hutton Treasurer",1000
"Owen Donohoe for State Representative, Owen Donohoe, Treasurer",1000
News For Democracy,1000
"Monica for Kansas | Don Noland, Treasurer",1000
Lee White,1000
"Laura Kelly for Kansas, David Toland, Treasurer",1000
"Kansas Republican Party. Kelly Arnold, Chairman.",1000
"Kansas NEA PAC, Kevin Riemann Treasurer",1000
Kansas Hospital Association,1000
Kansas Contractors Association,1000
Joni Cole District Court Judge Candidate,1000
John W. Carlin,1000
"Jim Howell for County Commission, Preston Madding Treasurer",1000
Jenek for Kansas House,1000
"Jason Osterhaus for Johnson County Commissioner; Amy Guerich, Treasurer.",1000
"James Hannon for Kansas Board of Education, 7th District",1000
"Hoheisel for Kansas, Misti Hoheisel Treasurer",1000
"Haulmark for Kansas - Kaitlin Neiger, Campaign Treasurer",1000
Elect Terry Calloway For The People As The Third District Representative In The Kansas House Of Representatives.,1000
Elect Bryan Bombardier,1000
"Duxler for Sedgwick County, Janelle King, Treasurer",1000
"Blueprint Kansas, Inc.",1000
"Blaine Finch for Kansas House, Robert Greenfield, Treasurer",1000
American Policy Advocates,1000
Alliance for a Healthy Kansas,1000
ACLU of Kansas,1000
100 Percent Deplorables,1000
"Sweeney for Kansas, Joe Perry, Treasurer",999
"Schmidt for Attorney General, Inc., Gary C. Allerheiligen, Treasurer",998
"Kansans for LaTurner, Doug Hill, Treasurer",998
Cindy Neighbor for Kansas ,986
"Kellie Warren for Kansas, Doug Patterson, Treasurer",975
Perry for Kansas,866
"National Association for Continuing Education (NACE), The Accredited Provider of Continuing Medical Education with Commendation. All NACE certified education undergo multiple peer reviews to ensure, scientific accuracy, no bias, accurate publication  citations. NACE has a strict confilict of Interest Disclosure Policy available at all NACE Activities. ",866
McCaskill for Missouri,660
American Engagement Technologies,647
Tidal,498
Route 66 Marathon,396
Clear Energy Alliance,164
John Catsimatidis,159
"Family Policy Alliance Independent Expenditure Committee. Autumn Leva, Registered Agent.  Not authorized by any candidate.",155
Clinton Inc Movie,149
