Fairness for Fantasy Sports Louisiana,459969,1100919
Louisiana First Republicans,185999,465988
Renee Fontenot Free Secretary of State,111000,254997
Richard Perque,82000,230992
Louisiana Secretary of State Kyle Ardoin,81000,404991
Rick Edmonds,61951,280774
Know Your Vote Louisiana,55000,109998
Garret Graves,49989,99977
Mike Johnson,49955,99910
Concealed Online,20000,100038
Gordon Trey Bargas for Baton Rouge Constable,20000,99998
Stand for Children - Louisiana,17000,69996
Grow Louisiana Coalition,15000,99960
Louisiana Citizens for Job Creators,15000,60997
Louisiana Bucket Brigade,15000,59998
Norman Craig for Police Jury,13995,69969
Michelli For Central Mayor,13000,69991
Stuart Moss for State Representative,13000,64996
Clay Moïse for School Board,13000,37992
Committee to Elect Mark C. Morgan,12000,44992
Americans for Prosperity - Louisiana,12000,36988
Louisiana Chemical Association,11999,77963
Keith Hanson For District D,11000,55997
Heather Cloud,11000,54998
Education Reform Now Advocacy,11000,54998
Re-Elect Sandy Denapolis Bosarge for School Board,11000,25996
Karl Gillard for Marshal,10997,24992
Vote Mimi Methvin,10984,24963
Jessee Carlton Fleenor for Congress 2018,10000,54994
Captain Clay Higgins,10000,49999
Audubon Nature Institute,10000,49999
Justin Dewitt for U.S. Congress,10000,19998
Congressman Clay Higgins,9951,49756
Monique Clement for Judge,9919,50582
Josh Guillory for Congress,8984,35931
Rise Up Retail,8000,44987
James Carstensen For Shreveport City Council District B,8000,27993
Elect Jake Abadie - Youngsville City Council Division C,8000,25995
Louisiana Nursing Home Association,8000,24996
Judge Jimbo Stephens for Court of Appeal,8000,24996
Lee O. Savage For Mayor of Shreveport,7938,41681
Rob Anderson for Congress 2018,7000,21110
Ryan Trundle for Congress,7000,20996
Chris Hester for Judge,6988,19972
Amanda Calogero for Judge,6000,15997
Jim Francis for U.S. Congress,5955,14907
Friends of Judge Sharon Marchman Campaign Committee,5000,24995
Scott Anslum For Sheriff,5000,9999
Rebuild Louisiana,5000,9999
Pete Panepinto,5000,9999
Louisiana Trans Advocates,5000,9999
John Nickelson for City Council,5000,9999
Jean Menard for Louisiana Senate District 26,5000,9999
Jared C. Brossett,5000,9999
"Eric J. Tabor, Thibodaux City Councilman",5000,9999
"Contemporary Arts Center, New Orleans",5000,9999
Clerk Chelsey,5000,9999
Chrisdelin Kelly Lyles,5000,9999
Campaign To Elect A.G. Crowe - Secretary of State,5000,9999
Corey Orgeron for Ascension Parish School Board,4000,20995
Retirement Elevated,4000,19996
Jim Taliaferro for Mayor,3000,17994
Greater Baton Rouge Industry Alliance (GBRIA),3000,14997
Fact Check-Alexandria,3000,14997
ACLU,2438,5468
Louisiana Association of Educators,2000,14993
Matt Romero - Youngsville City Councilman,2000,13994
"Rene Borrel for Avoyelles Parish School Board, District 9",2000,11996
Louisiana Fact Check,2000,10997
Adrian Perkins for Mayor of Shreveport,2000,10997
Josh Taylor - Candidate for Hammond Council District 2,2000,9998
"Catherine Davidson Mayor Alexandria, La",2000,9998
Brad Harris For Marshal,2000,9998
"Clifford ""Cliff"" Lewis",1999,13989
Brian Glorioso for State Representative District 90,1996,11978
Donald J. Trump,1845,22228
James Lyle for School Board District 8,1318,6589
"Marion ""Coach"" Bonura Jefferson Parish School Board District VIII.",1000,6997
Les Farnum for State Representative,1000,6997
LeVette Fuller for City Council District B,1000,6997
Law Offices of L. Clayton Burgess - Lafayette Attorney,1000,6997
Lafourche Sales Tax Proposition,1000,6997
Erin for Judge,1000,6997
"Reid Falconer, Louisiana State Representative",1000,5998
Players Coalition,1000,5998
Patrick Kirton for City Council,1000,5998
Michael Gaudet School Board D7,1000,5998
"Elect Patrick O'Brien Boling, PhD BPSB, District 9 - 2018",1000,5998
Elect Lindy Bolgiano - Youngsville City Council Division B,1000,5998
"Elect Jennifer Womble, Judge",1000,5998
Ed Tarpley,1000,5998
Carlee White Gonzales for Hammond City Council District 2,1000,5998
Bruce Hampton For Judge,1000,5967
"Thomas ""Tommy"" Davenport, Jr., Trial Lawyer of The Davenport Firm, APLC",1000,4999
"Stephenson for Chief of Police - Homer, La",1000,4999
Stab's Steak and Seafood,1000,4999
Sheriff Jerry Larpenter,1000,4999
Red River Rotary,1000,4999
"Purvis Morrison, Mayor of Scott, Louisiana",1000,4999
Our Children's Trust,1000,4999
Opelousas Downtown Development District,1000,4999
Matthew David Tyl - Candidate For Breaux Bridge City Council District E,1000,4999
Matt Talbert for Alderman,1000,4999
Kirk Lepine for Parish President,1000,4999
"Jeff Delahoussaye, for Councilman At Large - City of Broussard",1000,4999
Heliopolis Shreveport News and Culture,1000,4999
Gumbopac,1000,4999
Grayson Boucher for Shreveport City Council Dist. D,1000,4999
Future PAC,1000,4999
Evelyn Ware-Jackson,1000,4999
Elliot Doré,1000,4999
Devin Gregoire for School Board,1000,4999
Councilman Jeff Wesley,1000,4999
Bill Cassidy,1000,4999
Elect Darren Roy,999,4995
Dr. Neil Henderson,999,4993
Elect Chad Nugent - Jefferson Parish School Board District 8,998,6986
John Raymond for State Representative District #90,997,6982
International Rescue Committee,995,2492
Tre'Von Cooper For Council,990,5946
Care2,894,2729
Doug Ritchie for Mayor,620,3101
Sierra Club,605,1232
