Voters Organized To Educate,50000
Louisiana First Republicans PAC. Not authorized by any candidate .,50000
Garret Graves for Congress,49989
Mike Johnson for Louisiana,49955
the Rick Edmonds Campaign,10000
"Stand for Children, Inc.",10000
Kyle Ardoin for Secretary of State,10000
GTB for BR Constable ,10000
Education Reform Now Advocacy Committee,10000
Committee to Elect Richard Perque LLC,10000
Captain Higgins For Congress,10000
Audubon Nature Institute,10000
Fairness for Fantasy Sports Louisiana,9998
Office of Congressman Clay Higgins,9951
the Committee to Elect John Nickelson,5000
William Monaghan,5000
Voters for Chrisdelin,5000
The Committee to Elect Chelsey Richard Napoleon ,5000
"The Campaign To Elect A.G. Crowe, Louisiana Secretary Of State",5000
THE JARED BROSSETT CAMPAIGN,5000
Scott Anslum Campaign Fund,5000
Sandy Denapolis Bosarge Campaign,5000
Rebuild Louisiana,5000
Pete Panepinto For Mayor Campaign,5000
Louisiana Trans Advocates,5000
Louisiana Health Care Association,5000
Louisiana Bucket Brigade,5000
Jimbo Stephens Campaign Committee.,5000
Jean Menard Campaign,5000
Jake Abadie Campaign,5000
Eric J. Tabor Campaign Fund,5000
DeWitt for Congress,5000
Karl Gillard for Marshal,4999
Vote Mimi Methvin,4994
Jim Francis for Congress,4955
the Greater Baton Rouge Industry Alliance,1000
the Carlee White Gonzales Campaign Fund,1000
The Kirk Lepine Campaign Fund,1000
The Evelyn Ware-Jackson Campaign,1000
The Committee to Elect Jim Taliaferro,1000
The Committee to Elect Grayson Boucher,1000
The Committee to Elect Adrian Perkins for Mayor,1000
Stuart Moss Campaign,1000
Savage for Mayor Campaign,1000
Retirement Elevated,1000
Renee Fontenot Free for Secretary of State Campaign,1000
Rene N Lisa Borrel,1000
Players Coalition,1000
Paid for by People for Ryan Trundle,1000
Our Children's Trust,1000
Organization United for Respect,1000
Opelousas Downtown Development District,1000
Matthew Tyl ,1000
Matt Talbert,1000
Mark Morgan Campaign,1000
MD Kiddy,1000
Louisiana Fact Check,1000
Louisiana Association of Educators,1000
LeVette Fuller for City Council,1000
Keith Hanson for Council,1000
Josh Taylor,1000
John Eric Stephenson,1000
Jerry Larpenter Campaign Fund,1000
Jeff Wesley,1000
Jeff Delahoussaye Campaign,1000
Heliopolis Editorial Board,1000
Heather Cloud For Louisiana,1000
Gumbo PAC,1000
Grow Louisiana Coalition,1000
FuturePAC,1000
Friends of Patrick Kirton for Council,1000
Fact Check-Alexandria,1000
Elliot Dore' for Mayor,1000
