by the Committee to Elect District Attorney Tim Cruz,50000
Diehl for U.S. Senate,50000
the Massachusetts Republican Party,10000
the Massachusetts Democratic Party. Not authorized by any candidate or candidate's committee.,10000
the Keep Massachusetts Safe Committee.,10000
the Committee to elect John Flores for State Senate for the Cape & Islands,10000
Tracy Lovvorn For Congress,10000
The McMahon Committee,10000
The Committee to Elect Sue Chalifoux Zephir,10000
The Committee to Elect Sarah Hewins,10000
Katherine Clark for Congress,10000
Freedom for All Massachusetts,10000
FREEAMERICA,10000
Eastern Bank,10000
AARP Massachusetts,10000
the Re-Elect McGovern Committee,9988
The Baker Committee,9903
Rewire.News,7452
the Committee to Elect Patrick Kearney,5000
the Committee to Elect Kate Campanale,5000
The Jamie Eldridge Committee,5000
The Eckert Committee,5000
The Committee to Elect Tom Merolli For State Senator,5000
The Coalition to Protect Patient Safety,5000
"Friends of Paul Cusack. Use of military images, titles, and information do not imply endorsement by the Department of the Army or the Department of Defense.",5000
Committee to Elect Kristen Mobilia,5000
ACLU Foundation of Massachusetts,5000
MasterClass,4666
Oxfam America,2030
The League of Women Voters of Southwest Missouri,1508
SAD! Donald 'Biff' Trump Is President,1309
Union of Concerned Scientists,1021
the Fiola Committee.,1000
"the Committee to Elect Ed O'Connell, 111 Snow Road, PO Box 366, Marshfield, MA 02050",1000
Voter Choice MA,1000
The Maura Healey Committee,1000
The Gonzalez Committee,1000
The Committee to Elect Michael Day,1000
The Committee to Elect John MacDonald,1000
The Committee to Elect Christina Minicucci,1000
TV Neslusan Campaign Committee,1000
Steven Hall for MA State Senate,1000
Scholar Athletes,1000
SHIVA 4 SENATE,1000
"People Govern, Not Money",1000
"MomsRising Together, 3717 Boston St #374, Baltimore, MD, 21224, not authorized by any candidate or candidate’s committee.",1000
Massachusetts Immigrant and Refugee Advocacy Coalition,1000
Josh Cutler,1000
Global Warming Solutions IE PAC.,1000
Friends of Julian Cyr,1000
Fishman Auditor Committee,1000
Elizabeth for MA,1000
Edu Mom,1000
ELM Action Fund Political Action Committee,1000
Deborah Goldberg Committee,1000
Committee to Elect Tram T. Nguyen ,1000
Committee to Elect Quentin Palfrey,1000
Committee to Elect Matthew Cubetus,1000
Committee to Elect Marc Lombardo,1000
"Committee to Elect Joe Early, Jr. ",1000
Committee to Elect Diana DiZoglio,1000
Committee to Elect Caccaviello District Attorney,1000
Committee to Elect Brian Arrigo,1000
Committee to Elect Alyson Sullivan,1000
CTE Jacob Auchincloss,1000
CTE David DeCoste,1000
Brian Hamlin for State Rep,1000
"Americans for Peace and Tolerance, a 501(c)(3) national security education non-profit organization, EIN #: 26-3251530",1000
Al Smith,1000
AARP,1000
Boston Climate Action Network,999
The Committee to Elect Brad Hill,923
Vargas Committee,894
"Tom Sherman for State Senate, Karen Oliver, Fiscal Agent ",784
Coloradans Creating Opportunities,619
The Needham Democratic Town Committee,571
Rebuild Maine PAC,549
Ammar Campa-Najjar for Congress.,401
Law Enforcement Today,381
Bonta Advancing California Ballot Measure Committee,369
Aspen Snowmass,346
Penzeys,321
Sierra Club,312
CREDO Mobile,260
End Citizens United,242
Liz for Indiana,239
New York Civl Liberties Union - NYCLU,238
Giving Brush LLC,225
Mallory Hagan for Congress,218
Color Of Change,212
IVN News,211
Circa,176
"Judith Carr, Chair, Hollis Democrats",169
Let America Vote,148
Sarwark For Phoenix,143
March of Dimes,129
"the International Union, United Automobile, Aerospace, and Agricultural Implement Workers of America (UAW). Not authorized by any candidate.",102
Republican Party of Texas and not authorized by any candidate or candidates committee.,95
GZERO Media,95
Families First New Hampshire,90
Muratsuchi for Assembly 2018.,86
CreditRepair,80
Holden 2018,79
Liberty Digest,74
Colorado Rising for Health and Safety,72
The East Granby Democratic Town Committee 2018/ Caroline White Treasurer,71
PragerU ,69
Beto for Texas,66
"Public Land, Public Benefit, No on E, Yes on G, a coalition of San Diego taxpayers, community planners, local business, and education, park and environmental advocates. Committee major funding from H.G. Fenton Company and Sudberry Properties.",65
Building Stronger Communities,59
STAND League,56
Maloney for New York,56
Swing Left. Not authorized by any candidate or candidate's committee.,55
2A4LIFE LLC,50
Kat McGhee for New Hampshire,46
"MoveOn.org Political Action, not authorized by any candidate or candidate's committee.",44
Miller for Georgia Inc,43
the Committee to Elect David A. Perry,42
Heidi for North Dakota,41
The Century Foundation,39
Free to be Kids,36
Environment America Action Fund,35
"Friends of John-Michael, Joan Walker, Treasurer. Approved by John-Michael Parker.",33
Emerson College Polling,33
"Maine Conservation Voters Action Fund, 295 Water St. Ste. 9, Augusta, ME 04330. NOT PAID FOR OR AUTHORIZED BY ANY CANDIDATE.",28
Finance Watch Dogs,28
Colorado Information Network,28
Riaz Patel,27
"Securing Ohios Future, INC.",26
Brick Underground,26
Truthout,25
"No Plan, No Accountability, No on Prop C",25
News For Democracy,25
DeJear for Iowa,25
When We All Vote,24
Catholic Relief Services,24
Indivisible Project,23
Freedom for All Americans,23
NRDC Action Fund,22
Secure Financial Advisory Group,20
"ArtProfiler, Austin's Premiere Online Cultural Magazine",19
TheBlaze,18
AARP ,18
NoTaxForTracks.com,17
Cory Wolbach for Council 2018 FPPC 1404394,17
Yale Environment 360,16
Texans for Trent Ashby,16
Melvin Willis for Richmond Mayor 2018 FPPC# 1403955,16
Environmental Voter Project,16
PATHWATER - The First Purified Water in a BPA Free Reusable Aluminum Bottle,15
OZY Media,15
Education Matters PAC. Committee major funding from Steve & Susan Chamberlin,15
WeThePeopleHolsters ,14
Concerned Citizen,14
Catalyst,14
