"PowerPACPlus, not authorized by any candidate or candidate's committee",200000
Mississippi Victory Fund. Not Authorized by Any Candidate or Candidate's Committee,100000
"The Skills Foundation of Mississippi, Inc.",10000
The Committee to Re-Elect Rankin County Judge Tom Broome,10000
Palazzo For Congress ,10000
Mel Coxwell,10000
Judge Jeff Weill,10000
Friends of Tate Reeves for Mississippi,10000
Friends of Delbert Hosemann,10000
Concealed Online,10000
Committee to Elect Daniel Tucker Chancery Judge,10000
CINDY HYDE-SMITH FOR US SENATE ,10000
Mario Barnes,9999
The Committee to Elect Pamela Luckie Castle,5000
Mississippi Democratic Party,5000
Friends of Randy Wadkins,5000
"Friends to Elect Gerald ""Jerry"" Kucia",4998
International House of Prayer Kansas City ,2150
Committee to Elect Brian D. White,1089
the City of Vicksburg,1000
and approved by Joseph L. Turney,1000
Wicker for Senate,1000
Tomika T. Harris Irving,1000
The Mississippi Humanist Association,1000
The Committee to Re-Elect Judge Sandy Steckler,1000
The Committee to Elect Yemi Kings,1000
The Committee to Elect Tiffany Grove,1000
The Committee to Elect Paula Drungole Ellis for Chancery Court Judge,1000
The Committee to Elect Katie Mills,1000
The Committee to Elect Judge Rodney Faver,1000
The Committee to Elect David McCarty,1000
The Committee to Elect Bridgette M. Morgan,1000
THE COMMITTEE TO ELECT TRACEY BROWN FOR JUSTICE COURT JUDGE,1000
Sister District Project,1000
Remember Mississippi PAC,1000
Mississippi Center for Public Policy,1000
Mike Espy for Senate Committee,1000
League of Women Voters of Mississippi,1000
John Shirley,1000
JUSTIN BROCK,1000
Friends of Michael Evans ,1000
Friends of Matt Miller,1000
Friends of Jim Hood,1000
Friends of Chris McDaniel,1000
County Line Environmental Action Network,1000
Carnelia Fondren For Chancery Court Judge,1000
American Senior Alliance,1000
& Approved by the Candidate,1000
Freedom Finance Group,956
the committee to elect Chad Smith for chancery judge,905
the Committee to Elect Mark Maples.,879
jason sullivan,838
Americans for Prosperity,812
Justin Alan Vollmer,504
Kyle Ardoin for Secretary of State,426
Nuclear Matters,408
Hulu,232
Republican Party of Texas and not authorized by any candidate or candidates committee.,174
When We All Vote,120
McCaskill for Missouri,114
Yale Climate Connections,106
CLARKE TUCKER FOR CONGRESS,89
Alliance Defending Freedom,80
RevZilla,73
Mic,68
the Mobile County Republican Executive Committee.,66
Feeding America,61
Giving Brush LLC,53
