New York City Charter Revision Commission,1520000,3400988
New York State Democratic Party,405000,809995
NYC Votes,352000,1173901
Claudia Tenney Wrong for NY,337978,853920
National Horizon Action,324226,1000357
Andrew Cuomo,320000,699993
NY Health Care Voter,299715,700285
Tish James,260000,549994
Women's Equality Party,200000,499999
Wrong for Us,196990,694917
The Well News,151000,304997
Hotel Workers for Stronger Communities,150042,572194
Laborers Building a Better New York,132994,488959
Perry Gershon for Congress,131926,543651
Congressman Peter King,121986,550912
Erie County Democratic Committee,115000,261995
Living Free,114999,397981
John Katko for Congress,113000,264995
Tedra Cobb for Congress,110000,249998
Tracy Mitrano for Congress,99915,201826
Terrence Murphy,92754,401883
John Faso is not for us,90883,274701
WHO is John Brooks?,80000,219995
Keep Them Accountable,78992,382945
Senator Jim Tedisco,70000,199997
Lee Zeldin,64949,162875
Our Flag Our Country,62999,249044
Committee for a Pro-Choice New York,51999,109995
Jeremy Cooney,51992,231947
Michelle Ostrelich for State Senate,50000,100998
Jim Gaughran for State Senate,50000,99999
Reform,48949,142788
James Skoufis,47999,226986
Re-Elect Senator Phil Boyle,43000,215992
TIDAL,41288,83348
Larry Sharpe for New York,39718,157523
Daphne Jordan for NYS Senate,38000,175992
Sullivan for State Senate,35000,159996
EmblemHealth,35000,129995
Re-Elect Senator Joe Robach,34999,159993
Senator Carl Marcellino,32000,163991
Jeff Pravato for Senate,31989,105941
Kathleen Rice,31738,159598
Women For Civility,31000,154996
Alliance for Retired Americans,31000,128991
Kenan Baldridge NYS Senate 54th District,30999,125991
Solar Energy Today,30928,94776
NY Election Update,29997,119985
Columbia County NY Democrats,29995,121976
The Facts on Anna Kaplan,27994,128960
Anthony Brindisi For Congress,27991,114960
Serino4NY,27000,120994
Tom Basile for State Senate,26999,98973
Rachel May for State Senate,26000,116994
Naomi Levin,25998,174032
Annie Rabbitt for Senate,24997,130975
ClearPath Action Fund,24000,104989
Marc Molinaro,22826,88118
John Faso,21996,109976
Sen. Carl Marcellino 4 Senate,21996,79987
Committee to Elect Larry Piegza,21000,74996
Get the Facts on Pete Harckham,20996,75973
Planned Parenthood Action,20991,105988
Colin Schmitt,20000,132956
Angela Marinucci for Erie County Clerk,20000,100997
Get the Facts on Aaron Gladd,20000,99998
Orange County Democratic Women,19978,69896
Better With Age,19000,49993
MaryEllen Odell,18000,59990
Staten Island Republican Party,17914,77564
Ammar Campa for Congress,17293,43232
Janet Burman State Senate,16000,36994
Dr. Jeff For Assembly,15000,61996
