Sutton for South Dakota,50000
Randy Seiler for Attorney General,50000
Kristie Fiegen for South Dakota,50000
TUITION4TECHSTUDENTS,10000
South Dakota Republican Party,10000
"SOUTH DAKOTANS AGAINST HIGHER TAXES 320 E. CAPITOL AVENUE, PIERRE, SD 57501",10000
POET. ,10000
Kristi for Governor ,10000
Kelly Sullivan for House,10000
Heenan for County Commissioner,10000
Dan Nelson for State's Attorney ,10000
Citizens for Tobacco Rights,10000
Alliance For Taxpayers,10000
"Jason for South Dakota; Use of military rank, job title, and photograph in uniform does not imply endorsement by the Department of Defense.",8036
Represent South Dakota,5000
Craig Kennedy-State Senate,3627
Comedy Central,2714
"North Dakotans for Citizen Voting, Gary Emineth, Chairman",1544
Carlin For Iowa Senate ,1068
the American Cancer Society Cancer Action Network.,1000
W is Wrong,1000
Tim Reed for D7 House,1000
Sue for District 13,1000
Stanford Adelstein,1000
Sioux Falls Area Chamber of Commerce,1000
Rotary Club of Downtown Sioux Falls - Neutral/Impartial,1000
Rossknecht for District #1,1000
Rose Grant for Auditor,1000
Peters for House,1000
Modern Print Artwork,1000
Michael Clark for South Dakota House,1000
Laura Swier Kotelman for District 9 Senate,1000
Jim Chilson for South Dakota House,1000
Ina Winter for Legislature,1000
Healy for House,1000
Hayward for House,1000
Friends of Dusty Johnson,1000
Elect Ellis,1000
Doug Post for District 7,1000
American Heart Association,1000
AARP South Dakota,1000
South Dakota Right to Life PAC,999
Gabel Campaign Committee,997
"Rita Wentworth, Treasurer for Ryan Cwach for South Dakota",921
Rea Hybrids,493
Progress News Network,397
Chad Benson,91
King for Congress,86
Scholten4Iowa Campaign Committee,66
Penzeys,58
March of Dimes,55
Fight the New Drug,46
Friends of Danner Kline,34
Farm Credit Council,26
"DSPolitical, LLC",24
When Democrats Turn Out PAC,21
"the House Democratic Campaign Committee. P.O. Box 1925, Austin, TX 78767.",19
Jena Griswold for Colorado,19
"Epitaph, a California corporation",19
Voter|RX®,18
Les Smith for El Centro City Council,18
WeThePeopleHolsters ,17
Transport Workers Union,17
The Ruderman Family Foundation,16
Committee to Elect Addie Jenne,16
Freedom Finance Group,13
End Citizens United,13
#VoteTogether,13
Secure Nevada's Future,11
RAGA Action Fund,11
North Dakota Democratic-NPL,11
National Rural Electric Association,11
"LPAC, not authorized by any candidate or candidate's committee.",11
IVN News,11
Becoming American Initiative,11
Conservation International,10
E.O. Wilson Biodiversity Foundation,9
the DSCC,8
Elect Ann O'Brien for DVUSD Governing Board,8
Aasim Yahya for CA State Assembly,8
,8
Everytown for Gun Safety Action Fund,7
Tina for Jeffco ,6
The Years Project Action Fund,6
The Dude's Designs,6
Shared Hope International,6
Mosiman for State Auditor,6
G.I. Jobs Magazine,6
the Committee to Elect Sam Brown,5
We Stand United Campaign,5
SAD! Donald 'Biff' Trump Is President,5
National Media Distribution Services,5
National Committee to Preserve Social Security & Medicare,5
Colorado Liberty PAC,5
TheBlaze,4
Steffen for Judge,4
"Minn DFL State Central Committee 255 East Plato Blvd. St. Paul, MN 55107.  It is not coordinated with or approved by any candidate nor is any candidate responsible for it.",4
FRIENDS OF SCHUMER,4
"Cult45, LLC",4
Brut,4
Robson for Justice,3
Proud Right Winger,3
Premiere Collectibles,3
Pew Research Center,3
One Nation Design,3
Human Coalition,3
"High Ground Political Fund. Not authorized by any candidate, candidate's agent or committee.",3
Financial Security Today,3
Elizabeth for MA,3
CRTV,3
CARE,3
Tony Dale,2
"Stop! Stealing Our Votes, P.O. Box 1476, Venice, FL 34284",2
"Spokane County Democrats, 1912 N Division St, Spokane WA 99207",2
Secure Financial Advisory Group,2
Scott Field for Justice,2
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",2
MN 7th Congressional District DFL,2
Liz for Indiana,2
City of Eagles Landing,2
Bilirakis for Congress,2
American Engagement Technologies,2
"America First Action, Inc. Not authorized by any candidate or candidate's committee.",2
Alexandria Ocasio-Cortez 2018,2
2atees1,2
Working Families Supporting Mike Eng for Senate 2018,1
"Winning for Women, Inc.",1
Terry Meza Campaign,1
"Strong Economy for All, a fiscally sponsored project of Center for Popular Democracy",1
Save the Children Action Network ,1
Oceana,1
McSally for Senate,1
McCaskill for Missouri,1
Martin Heinrich for Senate,1
Mahmoud El-Farra for Mission Viejo City Council,1
Liuba for Congress ,1
Johnson For Governor,1
Iowa Firearms Coalition PAC,1
Hallinan For Board of Equalization 2018 ,1
"Friends for Chris Stewart, Inc.",1
Florida Young Democrats,1
"FRIENDS OF BARDIN HOOKS, INC.",1
Eagle Point School District 9,1
Concerned Citizens to Oppose David Armenta for Council 2018,1
"Citizens for Crystal Quade | Steve Berkwitz, Treasurer",1
"Allison Gilman for Broward County Court Judge, Group 19, Non Partisan",1
Alliance for a Better Minnesota Action Fund. Not Coordinated With Or Approved By Any Candidate Nor Is Any Candidate Responsible For It.,1
A Case for Women LLC,1
" Harry Hardman Campaign. Paula Hardman, Treasurer.",1
the Trump Make America Great Again Committee,0
the South Dakota Democratic Party,0
