Eric Eliason for Congress,162000,361993
Our Kids 1st - Our Schools Now,110000,388715
Prop 4: Better Boundaries,82000,438930
American Conservative Union,76000,349986
Citizens for Responsible Energy Solutions,66000,166994
Romney for Utah,50000,99999
The Well News,49956,100911
Bob Steiner,31000,124995
Utahns For Balanced Government,28000,125993
Shireen for Congress,27999,118974
No Prop 6 Tooele,27000,119995
Daniel W. Thatcher for Senate 12,24000,93989
Sim Gill for Salt Lake County District Attorney,22000,110995
Vote The Outdoors Action Fund,22000,109996
Rob Bishop for Congress,20000,91986
Chris Stewart,17000,54991
Utah Democratic Party,15000,73975
Evan McMullin,15000,59998
Rozan4Clerk,13000,66994
Christian Burridge for State Senate,11000,55997
Ethos Research,11000,54998
Vote No on Treasure Hill,11000,27994
Truth about proposition 2,10000,49999
Prop 3: Utah Decides,10000,49999
I am LDS,10000,49999
FreeAmerica,10000,49999
Brenda Spearman for Tooele County Commission,10000,49999
Jim Bradley,7000,22994
Tim Aalders for US Senate,6000,16996
Patagonia,6000,14998
Elisabeth Luntz for Utah House District 27,6000,14998
Solar Rebate,5999,15995
THINC Park City,5984,15925
National Republican Congressional Committee,5000,28596
Congressional Leadership Fund,5000,26056
Utah Outdoor Partners,5000,9999
Taxes in Retirement,5000,9999
Robb for Council,5000,9999
Mormon Times,5000,9999
John Legend,5000,9999
Greg Johnson,5000,9999
Adam Gardiner,5000,9999
Brad Bonham,3000,16995
Ken Ivory,3000,15996
International Rescue Committee,2117,4237
Michele Weeks for State Representative,2000,11996
Vote Fred Johnson,2000,10997
Representative Angela Romero,2000,10997
Vote Utah,2000,9998
Brady Brammer for House District 27,2000,9998
Senator Brian Zehnder,1999,19979
Democrats,1496,9727
Chad Christensen for Idaho,1057,5911
Representative Patrice Arent - Utah District 36,1000,18985
ISolar LLC,1000,17623
Utah Judicial Performance Evaluation Commission,1000,12991
Representative Carol Spackman Moss,1000,11992
Alliance for a Better Utah,1000,7996
Ada Wilson for Alpine School Board,1000,6997
Kirk Cullimore,1000,6987
"Sean Reyes, Utah's Attorney General",1000,5998
Re-elect Rick Carlton,1000,5998
Re-elect Representative Karen Kwan: District 34,1000,5998
Deana Froerer for State Senate,1000,5998
AARP Utah,1000,5998
Utah Cultural Alliance,1000,4999
United Utah Party,1000,4999
Scott Bell for Utah House District 47,1000,4999
Republican Party of the United States Virgin Islands,1000,4999
Representative Cheryl Acton,1000,4999
Provo Firefighters Union,1000,4999
Linda B Hansen State Board of Education Dist. 3,1000,4999
Libertas Institute,1000,4999
Kelly Miles for Utah,1000,4999
Katherine Kennedy - Salt Lake City School Board,1000,4999
Josh Mann for Summit County,1000,4999
Jen Dailey-Provost for Utah,1000,4999
Eric Chase for Utah House 61,1000,4999
Egan for State Senate,1000,4999
Edgel4Utah,1000,4999
David Young for Utah House district 34,1000,4999
Cottonwood Heights Parks and Recreation,1000,4999
Color Country Politics,1000,4999
Amelia Powers,1000,4999
Alan Monsen,1000,4999
Tom Nedreberg for State School Board #3,999,4996
Jennie Earl State School Board,998,5982
St. George News | STGnews.com,956,4779
Be a Colorado Voter,581,1163
Americans for Prosperity-Kansas,555,1109
Donald J. Trump,527,6337
Aspen Snowmass,522,2861
Eric Bolling,280,561
The News and Why It Matters,140,401
Generation Progress,116,581
Care2,105,537
Sierra Club,104,543
Swing Left,97,532
NowThis Politics,95,475
Know Colorado,88,177
"Imprimis, a Publication of Hillsdale College",84,420
Progressive Impact,83,417
Mic,83,166
National Retail Federation,80,400
Stretch the Truth,77,8376
U.S. Chamber of Commerce,74,147
Teaching Tolerance,71,354
CreditRepair.com,69,346
When We All Vote,68,135
"Scott Field for Justice, 3rd Court of Appeals",67,133
Financial Security Today,63,317
Gold Asset Information Group,61,306
Charlie Kirk,61,304
Proud Right Winger,57,253
End Citizens United,57,150
Col Rob Maness ret,53,107
Patriot Depot,48,118
Independent Women's Voice,47,233
LPAC,42,212
Home Defense News,42,84
iAmerica Action,41,82
Steve Gaynor,29,57
LAFed Action,27,136
Project Red TX,27,133
Phil McGrane for Idaho,26,56
Brittany Pettersen for Colorado,25,50
MoveOn,20,148
Loretta Smith,19,94
Tom Malinowski for Congress,19,37
Heifer International,16,1827
We Can Solve This,16,81
MyRoar,16,81
Michelle Malkin Investigates,16,79
Louder with Crowder,15,73
LifeDaily,14,107
PragerU,13,66
David Lossing for State Rep,12,59
Wendy Rogers,12,50
Family Survival,11,56
Count on Coal,11,53
Likewise Media,11,27
Rebecca Bauer-Kahan for Assembly,11,21
Beverly Powell,11,21
PrintedKicks,10,701
Change vs. More of the Same,10,52
Richard Ojeda,10,19
Run for Something,9,46
Michigan Leadership Committee,9,45
Advance Oakland,9,19
Christopher Rufo for Seattle City Council,8,42
Liberty Nation,8,40
Blue Wave,8,39
Florida Sheriffs Association,8,16
Take On America With OZY,7,59
Jessica Morse,7,36
America First Action,7,36
Brut,7,35
Together for Tolland: Tolland Democratic Town Committee,7,15
Defenders of Wildlife,6,38
Alcance Media Group,6,32
Finance Watchdogs,6,30
Chad Benson Show,6,30
Jeff Weninger,6,28
End Polio Now,6,28
The Humane Society of the United States,6,11
MasterClass,5,42
Equal Citizens,5,27
Disrupt Aging,5,27
Beth Liston for Ohio,5,27
Open The Books,5,26
Jena Griswold for Colorado,5,26
Free to Be Kids,5,26
Wellness.com,5,25
The Nib,5,25
Americans for Tax Reform,5,25
ReformJudaism.org,5,23
Allan Kittleman,5,23
The Truth about Sue Serino,5,9
NextGen America,4,24
Jay Inslee,4,22
Circa,4,22
Truthout,4,20
National Security Action,4,20
Conversations with Bill Kristol,4,20
VoteRiders,4,19
The Years Project,4,19
My Faith Votes,4,19
Martin Heinrich,4,19
Linda Coleman,4,19
North Carolina Chamber,4,8
FloridaStrong,4,8
Vote No On Brian Maienschein,3,27
Senate Majority PAC,3,22
Young America's Foundation,3,17
NO on 105,3,16
America First Policies,3,16
South King County Deserves Better,3,14
Military Spouse,3,14
Emma Pinter for Adams County Commissioner,3,14
Tony Evers,3,13
Planned Parenthood,3,13
Stratford Republican Town Committee,3,6
High Ground,3,5
Phil Bredesen,2,31
Alliance for a Better Minnesota,2,16
Health Care Voter,2,12
Kevin Hoerner for Judge,2,11
Redmond School District,2,8
Maricopa County Young Republicans,2,7
Vote New York State Senate,2,6
Kevin McCarthy,1,18
United Conservatives for Florida,1,7
Sharon Quirk-Silva for State Assembly 2018,1,7
Emily Randall for Senate,1,6
Education Matters,1,6
Mike Smith,1,5
Independent Voter,1,5
ACLU of Northern California,1,5
Planned Parenthood Votes South Atlantic,1,4
SDSU WEST,1,3
Residents for the Advancement of WPS,1,3
Judge Dan Hinde,1,3
Joseph “Joe” Webb for NC Senate District 6,1,3
Rick Green,1,2
Thomas P. DiNapoli,1,1
GOP,0,230747
Karen Mayne for Utah Senate 5,0,5994
Representative Marie Poulson,0,4995
Cindy Davis for Utah School Board,0,4995
The Clean Air Act,0,3996
Point Of The Mountain Politics,0,3996
Michelle Quist for SLCo Council 4,0,3996
Kathleen Riebe  Senate 8,0,3996
Chris Neville for Utah House,0,3996
J Lee Castillo for Congress,0,3909
What's Draper Up To?,0,2997
Tina Cannon-Morgan County Council,0,2997
Matt Fairbanks for Morgan County Sheriff,0,2997
Jani Iwamoto,0,2997
Drew Daniels For Nebo School Board,0,2997
Diane Lewis,0,2997
Jon Hawkins for State Representative -  District 57,0,2990
Terryl Warner - District 1,0,1998
