Beto O'Rourke,185900,848182
Our Flag Our Country,181700,785842
Donald J. Trump,121500,1263490
Alliance for Retired Americans,94000,348577
NumbersUSA,78100,326532
Independence USA,73400,427591
NO on 3,57300,227903
Swing Left,54800,296977
Shareblue Media,49500,189716
Claire McCaskill,45000,156711
National Republican Congressional Committee,43600,430219
Everytown for Gun Safety,43000,313365
ACLU,42100,193855
Andrew Gillum,41500,151741
Human Rights Campaign,40500,166819
Democrats,36100,298827
Fred Hubbell,35600,138350
JB Pritzker,32900,138107
Tom Steyer,32300,170900
Planned Parenthood Action,30900,135656
MyRoar,28000,136989
Working For Us,23500,234397
LCV Victory Fund,22200,306002
FutureinAmerica,21700,170224
International Rescue Committee,21000,79138
Senate Leadership Fund,20100,151493
Tim Walz for Governor,19700,87422
California Secretary of State,18800,45083
Kyrsten Sinema,18100,115479
Yes On 1631,17900,85510
Michigan Republican Party,17200,108950
America First Action,16800,120663
Priorities USA Action,16700,74213
MoveOn,16200,92505
Jared Polis,15900,80150
Dean Heller,14600,53458
It’s Our America,14300,172610
Alliance for a Better Minnesota,13600,97044
End Citizens United,13600,52974
Dishonest Dean Heller,12600,61870
iAmerica Action,12300,61989
Jay Gonzalez,12200,79600
Restoration PAC,11000,50561
Democratic Party,10900,109347
Living Free,10400,33042
Cort VanOstran for Congress,10300,40976
The Leadership Conference on Civil and Human Rights,10000,53930
Jon Tester,9900,46817
NRCC IE,9200,56946
Coloradans for Fairness,9100,45704
The Daily Show,8100,46645
Judicial Watch,7900,28866
Andrew Janz,7800,41765
Michigan Families for Economic Prosperity,7800,36905
WV Future PAC,7800,32279
Color Of Change PAC,7600,39799
American AF,7200,27582
Arizona Democratic Legislative Campaign Committee,6900,91616
45th President Donald J. Trump,6900,48089
The Voter Participation Center,6900,16776
Working Families Party,6600,33471
North Dakota Republican Party,6600,23569
Goal SD,6300,28490
YES on 127: Clean Energy for a Healthy Arizona,6300,23181
Bill Nelson,6200,35693
Women For Civility,6100,21976
Penzeys Spices,6000,39717
Our Lives Our Vote,6000,15196
Healthy Montana Campaign,5800,60807
Barbara Comstock has changed,5800,27491
Independent Voter,5700,29321
Nuestra Florida,5600,46149
America First Policies,5500,831510
Greg Abbott,5400,33496
Save Idaho Horse Racing,5300,26808
Jacky Rosen for Nevada,5100,24503
NARAL Pro-Choice America,5100,10597
Minnesota Values Project,5000,30692
Geoff Duncan,5000,14586
Kathleen Williams for Montana,4800,21570
Ayanna Pressley,4700,20983
Joe Cunningham,4500,16955
Bruce Rauner,4200,19053
Andrew Cuomo,4000,21679
Ted Cruz,3600,16594
Citizens Energizing Michigan's Economy,3600,16594
When We All Vote,3400,13468
Tony Evers,3300,16166
Congressional Leadership Fund,3300,16047
No on Prop C,3300,15851
NO on 105,3300,13988
Solar Energy Today,3200,19224
Chad Benson Show,3100,14653
Vote NO on 5,3000,9679
Tom Sawyer For Judge,3000,5994
Sierra Club,2900,21280
PAC+,2900,13191
Dave Young for Colorado State Treasurer,2800,14188
Amnesty International USA,2800,10969
NextGen America,2600,37702
Joe Donnelly,2600,16626
AFL-CIO,2600,13654
Committee to Elect Mark C. Morgan,2600,10981
NRDC Action Fund,2500,35947
FreedomWorks,2500,30284
Dallas Safari Club,2500,11294
Fred Upton,2500,8095
Jeff Merkley,2400,16002
Dan McCready for Congress,2400,13252
In the Woods with Phil,2400,12260
"Cynthia Flores for Texas State Rep, District 52",2400,11994
Liuba Grechen Shirley-Congress,2300,59382
Civiqs,2300,21782
Frank LaRose,2300,11990
Vote Utah,2300,7781
