Mallory Hagan for Congress,54779,229958
Donald J. Trump,26506,160792
Civiqs,19000,80993
Craig Ford,10000,51997
Vote Brandy Hambright,5000,9999
Support Nick Smith for Walker County Sheriff,3000,15996
Elect Danielle Mashburn-Myrick,1993,10961
Swing Left,1614,4046
4ocean,1144,2289
End Citizens United,1042,2625
Jefferson County Republican Party,1000,7996
Sanderford for Alabama House,1000,5998
Parker Griffith,1000,4999
Dimitri Polizos,1000,4999
David Wheeler,1000,4999
Baldwin County Legal Eagle,1000,4999
Amy Scott Wasyluka for State Senate,1000,4999
Tim Melson for State Senate,994,4970
Billie Jo Underwood,986,6915
Need To Impeach,785,1571
The Daily Show,574,2637
Winning For Women,411,1021
Ben & Jerry's,360,1498
The Nib,199,991
Claire McCaskill,186,464
Penzeys Spices,165,836
Democrats,129,558
National Republican Congressional Committee,125,1715
PolicyEd,122,243
Framed Tweets,95,473
International Rescue Committee,71,141
Vote Gary Black,63,316
ACLU,59,155
FloridaStrong,47,233
MJ for Texas,44,219
Southern Environmental Law Center,36,182
Michigan Republican Party,33,67
LifeDaily,32,235
Jewish Voice Ministries International,28,141
Gold Asset Information Group,28,139
Chad Benson Show,28,138
Pfizer,26,1183
Beto O'Rourke,25,126
Concealed Online,24,1278
Hoppe for Sheriff - Washington County,22,111
MoveOn,21,73
Proud Right Winger,18,170
Conservative Tribune,18,113
Ocean Conservancy,17,92
Human Rights Campaign,17,41
Phil Bredesen,16,369
Oceana,15,99
Joe Kennedy III,11,56
Strong Women Society,10,81
Lebowski Lovers,9,51
Andrew for New Caney,9,44
Kialo,8,38
Dr. Ron Howland for Tolomato CDD Seat 5,7,35
Andrew Gillum,7,34
Trey Hollingsworth,7,13
Oxfam,6,29
GOP,5,8373
CREDO Mobile,5,34
Liuba Grechen Shirley-Congress,4,628
Michigan Leadership Committee,4,81
Sharice for Congress,4,21
Sierra Club,4,20
Healthy Montana Campaign,3,17
Andy Kim for Congress,2,12
Kanew for Congress,1,4
MedicareSupplement.com,0,5994
Linda Meigs for House District 20,0,3932
Alliance for a Pro-Life Alabama,0,2997
Everybody Is For Amendment 2,0,2565
Vote Mike Cole Sheriff Of Walker County 2018,0,1998
Thad Michael is Senior Benefits,0,1998
Stephen McNair for House 97,0,1998
Rex Reynolds,0,1985
Exclusive Apparel,0,1136
Democratic Party,0,1047
Vote Jenn Gray,0,999
Tommy Hyche Al House Dist 61,0,999
Peter Joffrion for Congress,0,999
Mobile County Republican Party,0,999
Mike Rogers,0,999
Mike Ball for Alabama House,0,999
Maurice Horsey for State House Representative District 96,0,999
"Mary Wynne Kling, Candidate for Alabama House District 79",0,999
Marshall County Young Democrats,0,999
Mark Pettway For Sheriff,0,999
Laura Gregory for Probate Judge,0,999
Joe Faust for House District 94,0,999
Jim Carns,0,999
Jeremy Gray for District 83,0,999
Jeffcoat for House District 81,0,999
Jamie Davis Vandiver for BOE District 2,0,999
James Dolan for Alabama House District 1,0,999
Jack Jacobs,0,999
"JB King for Al State House of Representatives, District 10",0,999
Heath Jackson for Sheriff,0,999
Elect Judge Wes Allen to the AL House of Representatives,0,999
CJ'S Sweets,0,999
Britton for Alabama,0,999
Becky Nordgren,0,999
Andrew Jones for Alabama Senate,0,999
Alli for Alabama,0,999
Ginger Garner for NC Senate,0,500
Heifer International,0,435
PrintedKicks,0,381
Environmental Working Group,0,222
James Thompson for Kansas,0,158
VoteTogether,0,143
Friends of the Earth U.S.,0,143
Buffy Wicks,0,143
Citizens Against Foreign Interference,0,131
EMILY's List,0,117
Katie Porter,0,109
CARE,0,96
Stacey Abrams,0,87
The Wilderness Society,0,83
NRA - National Rifle Association of America,0,69
Maria Weekes For Judge,0,59
45th President Donald J. Trump,0,59
"Dave Harder, Broome County Sheriff",0,56
Aspire Fashion,0,52
Advance Oakland,0,50
Science for Humans and Freedom Institute,0,49
Patriot Depot,0,48
Jack Burkman Radio,0,45
Sarasota citizen Martin Hyde,0,42
Curzio Research,0,39
PETA (People for the Ethical Treatment of Animals),0,38
Doug Underhill for District 2,0,36
Circa,0,34
National Domestic Workers Alliance,0,33
NRDC Action Fund,0,33
Orman for Kansas,0,29
No Kid Hungry,0,29
David McCarty-Court of Appeals,0,29
St. Martin's Press,0,28
"Sanford Heisler Sharp, LLP",0,26
People For the American Way,0,26
High Ground,0,26
FrackFeed,0,26
Ben Carmitchel for State Senate 16th District,0,26
Progress NC Votes,0,25
Power In Cooperation,0,23
Andrew Wilkow/The Wilkow Majority,0,22
Working Families Party,0,20
Tom Steyer,0,16
Ro Khanna,0,16
I Love My Freedom,0,16
Reason To Believe,0,14
Giving Brush,0,14
DiversityInc,0,14
Riverside County Sheriff Stan Sniff,0,9
Corey Gingerich for Iowa House District 88,0,9
HIAS,0,8
Finish the Ballot,0,8
WhyHunger,0,6
Environmental Voter Project,0,6
Scott Trotter,0,5
Portside,0,5
Environmental Defense Fund,0,5
Defenders of Wildlife,0,5
Steven Scrivner for Jessamine County School Board,0,4
"Law Office of Michael D.J. Eisenberg, Attorney and Counselor at Law",0,4
FreedomWorks,0,4
Mark Matthiesen State Rep,0,3
Independent Voter,0,3
World Wildlife Fund,0,2
Save the Children Action Network,0,2
SEIU Healthcare Illinois & Indiana,0,2
Republican Party of Wabasha County MN,0,2
Human Rights Watch,0,2
