Arizona Democratic Legislative Campaign Committee,719000,3307319
Working For Us,589997,1526928
Alliance for Retired Americans,500000,999999
YES on 127: Clean Energy for a Healthy Arizona,453000,1255981
Planned Parenthood Action,410494,953043
It’s Our America,407988,2096196
Kyrsten Sinema,366997,1470642
NumbersUSA,306838,714594
Giffords,240999,937958
Arizonans 4 Affordable Electricity,192000,615981
The Leadership Conference on Civil and Human Rights,157000,326988
Human Rights Campaign,150000,407840
Our Flag Our Country,101000,205997
NextGen America,100067,314388
LCV Victory Fund,79992,359935
Syms for Arizona,32000,130993
Kelli Butler for Arizona,27000,120994
Steve Gaynor,26000,114996
DefendArizona,24000,123990
Voto Latino,24000,90992
FreedomWorks,24000,90171
AFL-CIO,20000,56990
Wendy Rogers,15903,64512
Citizens for Transportation Solutions,15000,59998
Raquel Terán for Arizona House of Representatives,10000,50998
Wade Carlisle for Senate,10000,49999
AZTV,10000,49999
ABC15 Arizona,10000,49999
Indivisible Guide,10000,38990
Democratic Party,9147,44777
Arizona Progressives,6000,15997
Women For Civility,6000,14998
America First Action,5000,13995
NRSC,5000,10998
Mark Manoil for Arizona,5000,9999
Maricopa County Democratic Party,5000,9999
Citizens Clean Elections Commission,5000,9999
Arizona First,5000,9999
Harris for Arizona Senate,4948,9895
GOP,4009,251835
Felicia French for Arizona,3998,23984
Science for Humans and Freedom Institute,3974,18696
Dallas Safari Club,3612,9031
Solar Energy Today,3000,16995
Ed Gogek for State Representative,3000,14997
Ben & Jerry's,2120,4253
American AF,2041,4081
Keep Them Accountable,2018,20086
VOTEPROCHOICE,2000,11996
Hiral Tipirneni,2000,11996
Arizona Education Grades,2000,10997
BAZTA - Bringing Arizona To Action,2000,9998
MoveOn,1254,4750
National Republican Congressional Committee,1139,20880
Kirsten Engel,1000,62937
Jennifer Jermaine for AZ LD18 House,1000,8995
Ben Carmitchel for State Senate 16th District,1000,8993
Sarwark for Phoenix,1000,7996
Elaissia Sears for West Mesa Justice of the Peace,1000,6997
Alexis Hermosillo for Mayor of El Mirage,1000,6997
You Should Know Arizona,1000,5998
Elora Diaz for Phoenix Elementary #1,1000,5998
The Van Buren,1000,4999
Save Our Schools Arizona,1000,4999
Ryan Winkle,1000,4999
Rally Arizona PAC,1000,4999
Ob-Gyn Political Action Committee,1000,4999
Modern Medicaid Alliance,1000,4999
Military Network,1000,4999
Mark Yarbrough for Mesa District 3,1000,4999
Democrats,772,9359
Donald J. Trump,734,21188
Swing Left,709,1962
The Daily Show,243,942
Proud Right Winger,242,910
Tom Steyer,239,525
Penzeys Spices,192,1098
CREDO Mobile,173,426
Co-ops Vote,127,635
Tony Evers,125,627
The Nib,107,213
Joe Kennedy III,95,352
92nd Street Y,66,132
MJ for Texas,55,110
Healthy Montana Campaign,49,122
ACLU,40,326
Shareblue Media,39,194
UltimateStraw,34,241
Tony Cho for Los Angeles County Superior Court Judge,32,64
United States Constitution,31,156
Joe Cunningham,26,52
NowThis,25,125
Michigan Leadership Committee,22,250
Sierra Club,22,108
LifeDaily,20,134
Andrew Stoddard for HD44,18,35
Concealed Online,15,186
Adam Schiff,15,76
Working Families Party,15,75
Amnesty International USA,15,74
Chad Benson Show,13,71
Independent Voter,10,54
Liuba Grechen Shirley-Congress,9,252
Mayor Matt Hall,9,45
Friends of the Earth U.S.,8,41
NRCC IE,5,24
Phil Bredesen,4,70
Shannon O'Malley for Judge,4,36
Christian Ziegler for County Commission,4,19
Alliance for a Better Minnesota,3,36
Finish the Ballot,3,23
Support The Court TX,3,15
Brian Glorioso for State Representative District 90,2,11
Dishonest Dean Heller,2,8
Educators for Thurmond for State Superintendent of Public Instruction,1,8
Karen For Kentucky,1,5
Rockaway Youth Task Force,1,4
California Secretary of State,1,1
Brill for Congress,0,29970
Arizona Truth Squad,0,5994
Fix Politics Now,0,4995
Christine Porter Marsh for Arizona,0,4995
Protect Arizona Taxpayers,0,3996
Flagstaff Lodging and Restaurant Association,0,3996
Bobby Tyler for Rural Arizona,0,3996
Arizona Votes,0,3996
Shon4EVIT,0,1998
Shelley Renné-León for LD14,0,1998
Pima County Recorder,0,1998
Pima County Democratic Party,0,1998
Jaime F. Alvarez,0,1998
Indivisible Arizona,0,1998
American Cancer Society Cancer Action Network - ACS CAN,0,1998
EMILY's List,0,1891
J.D. Mesnard,0,1648
PrintedKicks,0,1265
Strong Women Society,0,1067
Beto O'Rourke,0,1056
Yes on Home Rule,0,999
Vote Rick Gray,0,999
Valerie Harris for AZ State House LD22,0,999
Two Broads Talking Politics Podcast,0,999
Tony Navarrete,0,999
Tom O'Halleran,0,999
Tanque Verde Education Alliance,0,999
Spitler School Foundation - Cambodia,0,999
No 5th term,0,999
Leo Biasiucci Republican Candidate for Arizona House of Representatives LD5,0,999
Kolby Granville,0,999
Jennifer Pawlik,0,999
Fund Flagstaff Students,0,999
Environmental Defense Fund,0,999
DW Racing,0,999
Arizona Democrats of Legislative District 18,0,999
Americans for Prosperity Arizona,0,999
Alliance Defending Freedom,0,999
Kate Brophy McGee - State Senate,0,961
Government in Your Doctor's Office,0,888
Katie Porter,0,846
FloridaStrong,0,333
CRTV,0,250
National Domestic Workers Alliance,0,213
No Kid Hungry,0,167
Human Rights Watch,0,160
America with Eric Bolling,0,148
The Balance of Power,0,103
Patriot Depot,0,101
Whatcom County Deserves Better,0,100
Pfizer,0,82
Stacey Abrams,0,71
Oceana,0,71
CRTV Tonight with Gavin McInnes,0,71
Chris Murphy,0,67
I Love My Freedom,0,61
Stand Up America,0,59
Reason To Believe,0,56
Gavin Newsom,0,50
CARE,0,50
NRA - National Rifle Association of America,0,43
45th President Donald J. Trump,0,43
NRDC,0,42
Carter Turner for Delegate,0,40
Power In Cooperation,0,38
Detroit Lakes ISD 22 Community Group,0,38
2atees1,0,37
Ocean Conservancy,0,36
