AFL-CIO,200000
The Committee to Elect Zach Wahls,10000
The Committee to Elect Marco Battaglia,10000
Mauro,10000
Cindy Axne for Congress,10000
Hubbell for Governor,5000
"HOUSE MAJORITY PAC, (202) 849-6052, AND PRIORITIES USA ACTION, (302) 469-3772. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE.",4977
"AAF Nation, LLC",1025
Wronkiewicz for State Senate,1000
FreedomWorks for America. Not authorized by any candidate or candidate's committee.,1000
American Values PAC. Not authorized by any candidate or candidate’s committee. 202-524-0339.,1000
the NRCC and not authorized by any candidate or candidate's committee.,997
When We All Vote,289
Ben & Jerry's,246
NumbersUSA,99
the Alliance for Retired Americans 888-373-6497. Not authorized by any candidate or any candidate's committee.,62
OuterGoods LLC,58
Judicial Watch,37
JB for Governor,25
the Colorado Democratic Party. Not authorized by any federal candidate or candidate’s committee,23
IVN News,23
Blue Wave Voters,15
Amnesty International USA,13
"USA Unify Media Inc, a California Nonprofit Corporation for the Public Good",12
The Wilderness Society,12
Proud Right Winger,12
Comedy Central,12
Bird + Stone ,12
Swing Left. Not authorized by any candidate or candidate's committee.,10
Indivisible Project,10
Evonomics,10
Planned Parenthood Action Fund.,9
Conservative Tribune,9
Chosen People,9
Steven Scrivner for School Board,7
Stand (EIN: 94-3331587),7
Save the Children Action Network ,7
JVMI,7
"Citizens for Brian W. Stewart.  A copy of our report filed with the State Board of Elections is (or will be) available on the Board's official website or for purchase from the State Board of Elections, Springfield, Illinois.",7
"Vance Aloupis, Republican, for State Representative, District 115.",6
Shareblue Media,6
Oceana,6
Finance Watch Dogs,6
Defenders of Wildlife,6
and authorized by Janet Mills for Governor.,4
Liuba for Congress ,4
"High Ground Political Fund. Not authorized by any candidate, candidate's agent or committee.",3
Friends of Mary Auker-Endres,3
McLeod-Skinner For Oregon,2
Andy Kim for Congress,2
the NRCC and not authorized by any candidate or candidate’s committee.,1
Wisconsin Leadership Committee. Not authorized by any candidate or candidate's agent or committee.,1
Tim Walz for Governor,1
"PACRONYM. 611 Pennsylvania Ave SE #143 Washington, DC 20003. Not authorized by any candidate or candidate’s committee.",1
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",1
Framed Tweets Inc,1
AFSCME and AFSCME Council 5 PEOPLE Fund ,1
the Trump Make America Great Again Committee,0
the Republican Party of Iowa. Approved by Friends of Whitver.,0
the Republican National Committee,0
the Democratic National Committee,0
the ACLU,0
"Working Assets Funding Service, Inc. on behalf of itself and its affiliate, Credo Mobile, Inc.",0
"Winning For Women, Inc.",0
Vote Abebe,0
USA for UNHCR,0
The Ruderman Family Foundation,0
The NEA Fund,0
The Dude's Designs,0
"The Committee to Re-elect Brent Heeren Tama County Attorney; Charlotte Upah, Treasurer.",0
The Committee to Elect Corey Gingerich,0
Stand Up America,0
Stacey Abrams for Governor,0
"Sky Took, LLC",0
Sierra Club,0
Science for Humans and Freedom Institute,0
Scholten4Iowa Campaign Committee,0
Reason To Believe PAC,0
Ray4Iowa,0
Public Service Proud,0
PrintedKicks,0
Pfizer,0
Pew Research Center,0
Patriot Depot,0
Opportunity & Renewal PAC,0
OZY Media,0
NextGen Climate Action Committee; not authorized by any candidate or candidate's committee.,0
Newsom for California Governor 2018,0
News For Democracy,0
Need to Impeach,0
Neary 4 State Education,0
National Domestic Workers Alliance,0
NRDC Action Fund,0
Michigan Leadership Committee. Not authorized by any candidate.,0
MJ for Texas,0
LifeDaily,0
Lebowski Lovers,0
LCV Victory Fund,0
Koelker for Iowa,0
Josh Gottheimer for Congress,0
John H. Wills,0
Joe Kennedy for Congress.,0
Jeff Merkley for Oregon,0
James Thompson for Kansas,0
Issue One Action,0
Iowa House Democrats. Authorized by Tim McClimon.,0
International Rescue Committee,0
I Love My Freedom,0
Human Rights Watch,0
House Majority PAC and Priorities USA Action. Not authorized by any candidate or candidate's committee.,0
Holt For House,0
Heifer International,0
Hausman for Supervisor,0
Gold Asset Information Group,0
Giving Brush LLC,0
Garman for Elkhorn,0
Friends of Chris Murphy,0
Feirer for Supervisor,0
Families for John O'Brien,0
Families Belong Together,0
EMILY's List,0
Drake University,0
"Donald J. Trump for President, Inc.",0
Diversity Incorporated,0
Dedor for Iowa,0
David Weaver for Iowa,0
Daniel W Kauffman Jr for the Iowa Conservative Union and not paid for or by and other Polictial Action Committe or Organization,0
DSC Foundation,0
DCCC,0
Curzio Research,0
ConocoPhillips Company,0
Concealed Online,0
Clayton County Iowa Democrats,0
Civiqs,0
Citizens to Elect Shannon P. O'Malley,0
Citizens for Marquardt,0
Citizens for David Simpson,0
Citizens for Cramsey,0
Christensen for MN,0
CRTV,0
CARE,0
Buffy Wicks for Assembly 2018. FPPC #1396734,0
Brian W. Stewart.  ,0
Bredesen for Senate. Approved by Phil Bredesen.,0
Beto for Texas,0
Anti-Defamation League,0
"Anthony Bonna, Republican, for St. Lucie County Commission - District 2",0
Andrew Rasmussen for Iowa House,0
America First Policies,0
Alliance for a Better Minnesota Action Fund. Not Coordinated With Or Approved By Any Candidate Nor Is Any Candidate Responsible For It.,0
Alliance Defending Freedom,0
Adam Schiff for Congress,0
A.L. Moore,0
,0
