Everytown for Gun Safety,211000,1061902
Independence USA,54583,280077
PP Great Plains Votes,27000,89994
Kansas Values Institute,25234,74677
Vote For Kansas Values,24991,130937
Shareblue Media,20001,100003
Gerrett Morris for State Representative,15000,60997
Living Free,14999,59997
Keep Them Accountable,12988,46913
MoveOn,11224,52499
Civiqs,11012,48010
"Kansas Electric Cooperatives, Inc.",10000,49999
NRCC IE,5995,39944
GOP,4995,255505
Tom Steyer,4249,21569
National Republican Congressional Committee,3030,30447
Donald J. Trump,3006,35147
Palmer for Commissioner,2000,10997
Citizens for Alex Van Dyke,2000,9998
ResistryPAC,1956,9778
Democrats,1178,6393
Kansas Republican Party,1000,6997
Our Flag Our Country,1000,5998
Terry L Calloway,1000,4999
Orman for Kansas,1000,4999
Military Network,1000,4999
Kansas Democratic Party,1000,4999
Sharice for Congress,949,12524
Kathy Wolfe Moore,742,3707
Chad Benson Show,580,1221
Swing Left,562,1509
Ben & Jerry's,496,1257
Judicial Watch,473,946
The Daily Show,465,2185
Working For Us,356,2017
Conservatives Against Media Manipulation,244,488
45th President Donald J. Trump,218,1097
Beto O'Rourke,207,908
Cort VanOstran for Congress,183,925
Giving Brush,151,767
Clinton County Missouri Democratic Central Committee,142,708
Proud Right Winger,114,344
Jacob Turk for Congress,91,453
Winning For Women,89,177
Concealed Online,80,340
Restoration PAC,62,172
Independent Voter,61,302
International Rescue Committee,60,299
Oceana,58,313
Humane Society International,54,268
Jewish Voice Ministries International,53,106
No Kid Hungry,44,87
Association of American Railroads,40,200
Penzeys Spices,37,237
UltimateStraw,37,184
ACLU,34,210
The Wilderness Society,25,49
CREDO Mobile,23,133
When We All Vote,17,33
Renee Hoagenson for Congress,14,119
Circa,14,68
The Nib,13,66
Exclusive Apparel,11,320
Riverside County Sheriff Stan Sniff,11,52
Strong Women Society,9,71
LifeDaily,9,47
Save the Children Action Network,9,44
Planned Parenthood Action,8,44
Jay Gonzalez,8,41
Vote With Me,8,38
Ocean Conservancy,7,45
Finish the Ballot,7,13
Kevin B. Morrison for Cook County Commissioner,5,25
No on Prop C,5,9
Liuba Grechen Shirley-Congress,4,85
Portside,4,20
Science for Humans and Freedom Institute,4,16
Karen For Kentucky,4,7
Jeff Brandes,3,16
MJ for Texas,3,13
Mary Auker-Endres for PA,2,9
Michigan Leadership Committee,1,177
Phil Bredesen,1,14
FloridaStrong,1,7
Alliance for a Better Minnesota,1,6
James Thompson for Kansas,0,40400
Sedgwick County Democratic Party,0,5994
Becky Fast Johnson County Commission,0,3996
VOTEPROCHOICE,0,2997
Douglas County Democratic Party (Kansas),0,2997
ACLU of Kansas,0,2997
Rep. Owen Donohoe for Kansas,0,1998
Rebecca Jenek,0,1998
Jesse Burris for Kansas,0,1993
Pfizer,0,1031
Wheatland Electric,0,999
Vote Joni Cole for District Court Judge,0,999
Vote Jack Bower Atchison County Commissioner,0,999
Turnout Kansas,0,999
Tom Sawyer for Kansas,0,999
Steve Kelly For Kansas House 72nd District,0,999
Ron Roller for Dickinson County Commission District #1,0,999
Representative Jeff Pittman,0,999
Rep. Monica Murnan,0,999
Ninnescah Rural Electric Cooperative,0,999
Kansans for a Better Future,0,999
Kansans for Life,0,999
George HANNA for Kansas House of Representatives,0,999
Education First Shawnee Mission,0,999
Butler  Electric Cooperative,0,999
Bluestem Electric Cooperative,0,999
Marshall County Democratic Party,0,906
Democratic Party,0,629
Hampton Institute,0,500
PrintedKicks,0,423
Rui Xu for Kansas - 25th House District,0,333
"""Creations by cathy""",0,304
EMILY's List,0,208
Shane Thompson,0,180
Heifer International,0,124
Missouri Health Care Action,0,121
National Domestic Workers Alliance,0,118
ThoughtFull,0,101
Matt Rinaldi,0,71
Stand Up America,0,63
Andrew Yang for President 2020,0,62
America with Eric Bolling,0,57
Resist Trump's agenda,0,56
Progressive Power,0,56
Charles Triplett for MO House,0,42
Eric Bolling,0,34
Katie Porter,0,33
The Dean Obeidallah Show,0,32
NRDC Action Fund,0,31
Kyle Kacal,0,26
Healthy Montana Campaign,0,24
Mike Sharble for Duarte City Council District 7,0,22
St. Martin's Press,0,16
Molle & Alice,0,16
Lebowski Lovers,0,14
Garrett Hade,0,11
Progress NC Votes,0,8
High Ground,0,8
FreedomWorks,0,7
Sparkle Cosmetics,0,6
USA for UNHCR,0,5
Joe Kennedy III,0,5
In the Woods with Phil,0,5
Families Belong Together,0,5
Defenders of Wildlife,0,4
Chris Murphy,0,3
NumbersUSA,0,0
