The Other 98%,150000,299998
David Trone,58999,269975
MyRoar,58653,146497
Maryland Together We Rise,50000,99999
Maryland Senate Democrats,50000,99999
Fairness Maryland,27980,96888
Friends of the Earth U.S.,15000,61056
Unite America,14000,39994
Ben & Jerry's,13922,64960
Ben Cardin,10000,49999
Al Redmer Jr,5000,30955
Baltimore Fair Elections,5000,9999
Robin Delivers for You,2727,13637
Progressive Maryland,1999,13988
ACLU,1417,3146
Donald J. Trump,1359,17171
The Daily Show,1082,4444
Ayanna Pressley,1059,2119
Tracie Hovermale for State Delegate-District33,1000,9994
Ben Jealous,1000,7996
Maryland House DEMs,1000,6997
Verelyn For Maryland,1000,5998
Tony Chmelik Candidate for County Council District 2,1000,5998
Ryan Nawrocki for Baltimore County Council,1000,5998
Delegate Bob Long,1000,5998
Solar Rebate,999,6988
Frank Esposito for Maryland Senate District 35,998,5978
Ysela Bravo for House of Delegates,994,4970
Eastern Shore PAC for Social and Economic Justice,989,7942
45th President Donald J. Trump,910,2756
When We All Vote,735,3677
NumbersUSA,540,1085
Barbara Comstock has changed,482,2066
National Republican Congressional Committee,348,1669
Beto O'Rourke,277,1416
Amnesty International USA,244,1219
4ocean,223,1115
International Rescue Committee,180,936
Swing Left,173,3752
Claire McCaskill,158,396
Giving Brush,145,726
Chad Benson Show,139,694
Heifer International,110,585
Liuba Grechen Shirley-Congress,96,610
Democrats,93,735
Science for Humans and Freedom Institute,75,837
Independent Voter,70,328
Planned Parenthood Action,66,332
Penzeys Spices,52,350
Jewish Voice Ministries International,51,110
MoveOn,45,301
Do You Have A Plan To Vote On November 6th?,40,199
Klean Kanteen,37,186
UltimateStraw,33,166
WV Future PAC,29,57
State Representative David Leland,26,130
LifeDaily,25,464
Strong Women Society,23,401
USA for UNHCR,23,115
Concealed Online,22,296
NRCC IE,22,143
No on Prop C,21,105
Mike Kelly for Congress,20,41
SEIU MN State Council,19,95
Restoration PAC,18,92
United States Constitution,18,91
Finish the Ballot,18,83
Sierra Club,15,94
Blue Wave,12,61
NRDC Action Fund,12,60
Michigan Leadership Committee,11,104
Phil Bredesen,10,84
Judicial Watch,9,44
NRA - National Rifle Association of America,8,41
GOP,5,13738
Human Rights Campaign,5,454
In the Woods with Phil,5,115
CASA in Action,5,24
Sharice for Congress,4,40
Michigan Families for Economic Prosperity,4,21
FloridaStrong,3,14
Team Kendra,3,13
Jess King for Congress,2,12
Chris Murphy,2,11
Friends of Bob Wheatley,2,9
FreedomWorks,1,151
Tom Steyer,1,11
MI Senate Republican Campaign Committee,1,6
35th PAC,1,5
Sean Kenis for Herndon Town Council,1,3
James Spadola for State Auditor,1,1
Allan Kittleman,0,12721
Ryan Sullivan For State Delegate MD 7th,0,11988
Jane Roger for Register,0,7942
Baltimore County Campaign for Liberty,0,6993
Friends Of Steve Johnson,0,4995
Colleen Ebacher for Baltimore County Council District 3,0,4995
Joe Hooe for Senate,0,3996
Maryland League of Conservation Voters,0,3663
Truth in Annapolis,0,2997
Evan Glass for Montgomery County Council,0,2997
Delegate Paul Corderman,0,2997
Delegate Nic Kipke,0,2997
Delegate Joe Cluster,0,2997
Mike Lee Baltimore County Council,0,2989
Bernard Semler for State's Attorney,0,2710
Write In S Benn For State Delegate District 34A,0,1998
Steuart Pittman for County Executive,0,1998
Scott E's Blog,0,1998
Rhodes for QAC Sheriff,0,1998
Mike Rogers - Candidate for District 32,0,1998
Joe Norman for Delegate,0,1998
Ike For State Senate,0,1998
Elect Andre V. Johnson for Harford County District A,0,1998
Delegate Sid Saab,0,1998
Amie Hoeber for Maryland,0,1998
Kevin Grubb for Frederick County,0,1720
Citizens for Wayne Keefer,0,1659
Environmental Working Group,0,1499
EMILY's List,0,1429
Democratic Party,0,1379
PrintedKicks,0,1102
Tim Robinson For Delegate District 42B,0,999
The Baltimore Post,0,999
Steve McIntire,0,999
Sheriff Cameron,0,999
Sarah Lacey for AACo Council District 1,0,999
"Russett Reader - Living in Russett, Maryland",0,999
Robbie Leonard for Senate,0,999
Richard Gibson for Howard County State's Attorney,0,999
Pinder Plotkin Legal Team,0,999
NARAL Pro-Choice Maryland,0,999
Maryland Strong,0,999
"Liz Walsh for Howard County Council, District 1",0,999
"Laurie Halverson for Delegate, District 15",0,999
Laura Price for Talbot County Council,0,999
Katie Dott Democratic Central Committee 42B,0,999
"Judge Lawrence F. Kreis, Jr.",0,999
John Krowka for Board of Education,0,999
John Grasso for Senate,0,999
Jessica Haire for County Council District 7,0,999
Holly Budd for Commissioner,0,999
Friends of Buddy Staigerwald,0,999
Friends for Lupi Grady,0,999
Friends Of Debbie Ritchie,0,999
Free to Be Kids,0,999
Fenati for MD Delegate Dist 14,0,999
"Eve Hurwitz for MD Senate, D33",0,999
Elect Amanda Stewart,0,999
Delegate Seth Howard,0,999
"Dawn Myers For Anne Arundel County Council, District 5",0,999
Dana Schallheim for Anne Arundel County Board of Education - District 5,0,999
Common Sense Talbot PAC,0,999
Cherry Cheeks Townsend,0,999
Calvert County Republican Party,0,999
Brian Marcos,0,999
Bob Flanagan,0,999
Bill McMahon,0,999
Anne Arundel County Republican Party,0,999
Anne Arundel County Democratic Party,0,999
Andy Ellis For State Delegate-MD 45,0,999
Amanda Fiedler for County Council,0,999
Sen. Nathaniel McFadden,0,974
Josh Hastings for Wicomico,0,967
Washington County MD Board of Elections,0,558
Lisa Ring for Congress,0,538
Pro Life on Campus,0,500
Maura Healey,0,377
Stand Up America,0,371
John Rieley for 5th District County Council,0,352
Oceana,0,244
CARE,0,227
Democrats of Jefferson County WV,0,166
Environmental Defense Fund,0,148
Katie Porter,0,136
Exclusive Apparel,0,123
Reason To Believe,0,113
Detroit Lakes ISD 22 Community Group,0,111
Ocean Conservancy,0,79
Power In Cooperation,0,74
Marty Qually for Adams County,0,63
CREDO Mobile,0,59
Progress NC Votes,0,52
National Domestic Workers Alliance,0,48
Lebowski Lovers,0,46
No Kid Hungry,0,44
Patriot Depot,0,42
Human Rights Watch,0,42
Proud Right Winger,0,38
Pfizer,0,38
Indivisible Guide,0,34
Stacey Abrams,0,31
Jeff Merkley,0,30
National Constitution Center,0,28
Joe Kennedy III,0,28
Healthy Montana Campaign,0,26
Collin Warren for State Representative,0,26
Adam Schiff,0,24
Working Families Party,0,22
The Nib,0,22
Ro Khanna,0,21
Sludge,0,20
National Security Action,0,15
IfNotNow,0,15
