the Alliance for Retired Americans 888-373-6497. Not authorized by any candidate or any candidate's committee.,200000
Sierra Club,10000
Shareblue Media,10000
Missouri Firearms Coalition,10000
"Friends for Mike Reuter, Renee Reuter Treasurer.",10000
"Committee To Re-Elect Judge Prewitt, Tony Faught Treasurer",10000
AMERICAN CONSERVATIVE UNION,10000
FRIENDS OF RENEE HOAGENSON,9994
Senate Leadership Fund,5000
National Rural Electric Association,5000
NARAL Pro-Choice Missouri,5000
the National Education Association,1000
"THE MISSOURI BAR, SEBRINA BARRETT, EXECUTIVE DIRECTOR PO BOX 119 JEFFERSON CITY, MO 65102",1000
Priorities USA Action. 202-904-0620. Not authorized by any candidate or candidate’s committee.,1000
National Solar Rebate,1000
McCaskill for Missouri,1000
LaDonna Appelbaum for Missouri,1000
"Jacobs for Judge, Scott Atkins Treasurer",1000
Future in America,1000
"Friends of Bob Dixon, Dan Imhof, Treasurer",1000
Cort Vanostran for Congress,1000
Cort VanOstran for Congress,1000
"Committee to Elect Carrie Robert, J.P. Thompson, Treasurer",1000
Civiqs,1000
AFL-CIO,1000
AARP Missouri,1000
Swing Left. Not authorized by any candidate or candidate's committee.,187
Ben & Jerry's,166
Judicial Watch,159
Comedy Central,107
World Wildlife Fund,103
DCCC,95
Human Rights Campaign PAC,58
Proud Right Winger,39
Pfizer,35
Giving Brush LLC,35
Daily Wire,33
Turning Point USA,29
FreedomWorks,28
Culberson for Congress,27
"No Plan, No Accountability, No on Prop C",26
"Working Assets Funding Service, Inc. on behalf of itself and its affiliate, Credo Mobile, Inc.",23
Penzeys,23
OuterGoods LLC,23
Beto for Texas,19
"iSideWith, LLC",16
National Media Distribution Services,15
32BJ SEIU,14
Wronkiewicz for State Senate,13
Stand (EIN: 94-3331587),11
Portside,11
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",11
"Giacomi for State Rep, Eileen Conard, Treasurer; Approved by Steve Giacomi.",11
Amnesty International USA,11
"High Ground Political Fund. Not authorized by any candidate, candidate's agent or committee.",6
The Republican Party of Texas,5
"PACRONYM. 611 Pennsylvania Ave SE #143 Washington, DC 20003. Not authorized by any candidate or candidate’s committee.",4
Matt Hall for Mayor 2018,4
the North Carolina Democratic Party and Committee to Elect Terri LeGrand.,3
FreedomWorks for America. Not authorized by any candidate or candidate's committee.,3
"Fentrice Driskell, Democrat, for Florida House District 63.",3
"Stephenson for House, P.O. Box 222, Champlin, MN 55316",2
Friends of Mary Auker-Endres,2
Florida Strong Action PAC independently of any candidate.,2
