NumbersUSA,200000
the Alliance for Retired Americans 888-373-6497. Not authorized by any candidate or any candidate's committee.,100000
Patagonia,50000
Future in America,10000
AFL-CIO,10000
"Gallatin County Democrats, Treasurer Hanah McCarthy, PO Box 344, Bozeman, MT 59771",9999
Senate Leadership Fund,5000
"Healthy Montana, Dr. Steven Bailey, Treasurer, PO Box 1614, Helena, MT 59624",5000
FreedomWorks for America. Not authorized by any candidate or candidate's committee.,5000
SMP. (202) 871-9255. Not authorized by any candidate or candidate's committee,1000
Protect Our Winters Action Fund,1000
Modern Medicaid Alliance,1000
"JoBethHD11, PO Box 2262, Kalispell, MT 59903",1000
"Healthy Montana, Dr. Steven Bailey, Treasurer, PO Box 1614, Helena, MT 59624.",1000
"Forward Montana. Matt Kelly, Treasurer. 1535 Wyoming St, Missoula, MT 59801.",1000
Forward Montana Foundation,1000
"Blossom for Gallatin County Treasurer PO Box 1253, Belgrade, MT 59714 - Democrat",1000
International Rescue Committee,379
"NBCUniversal Media, LLC",200
Science for Humans and Freedom Institute,51
the DSCC,42
Chad Benson,30
Comedy Central,29
End Citizens United,22
92nd Street Y,21
Swing Left. Not authorized by any candidate or candidate's committee.,20
Beto for Texas,19
Human Rights Campaign PAC,14
Sierra Club,9
Ocean Conservancy,9
OuterGoods LLC,8
Shareblue Media,7
"No Plan, No Accountability, No on Prop C",6
Tony for Wisconsin. ,5
The Dude's Designs,5
Penzeys,5
"MoveOn.org Political Action, not authorized by any candidate or candidate's committee.",5
Judicial Watch,4
DCCC,4
Planned Parenthood Action Fund.,3
Patriot Depot,3
OZY Media,3
I Love My Freedom,2
Florida Forward PAC,2
Buffy Wicks for Assembly 2018. FPPC #1396734,1
the Trump Make America Great Again Committee,0
the Republican National Committee,0
the NRCC and not authorized by any candidate or candidate's committee.,0
the Montana Wildlife Federation,0
the Democratic National Committee,0
the ACLU,0
"iSideWith, LLC",0
WILLIAMS FOR MONTANA,0
"Trebas for MT House, R, PO Box 2364, Great Falls, MT. 59403",0
The Nib,0
Sydney,0
"Supporters of Michael White for HD 71 Scott J. Orr, Treas., 81590 Gallatin Road, Bozeman MT 59718",0
Steve White for County Commissioner,0
Stand Up America,0
SMP. Not authorized by any candidate or candidate's committee.,0
Restoration PAC,0
Proud Right Winger,0
PrintedKicks,0
Pfizer,0
Paid for by Mike for Montana - Republican - P.O Box 848 Missoula MT - 59806,0
Our Votes Count,0
Oceana,0
No Kid Hungry,0
Need to Impeach,0
National Rural Electric Association,0
National Domestic Workers Alliance,0
NRDC Action Fund,0
NRDC,0
NRA,0
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",0
Montanans for Tester,0
Michigan Leadership Committee. Not authorized by any candidate.,0
Michael Vadon,0
Matt Rosendale for Montana,0
"MHA IC to Support I-185, Dick Brown, Treasurer, 2625 Winne Ave, Helena, MT 59601",0
Lebowski Lovers,0
"Kluesner for Sheriff Campaign Fund 55 Peterson Lane Dillon, Montana 59725",0
Katie Porter for Congress,0
Josh Gottheimer for Congress,0
Jane Gillette,0
JVMI,0
Human Rights Watch,0
"High Ground Political Fund. Not authorized by any candidate, candidate's agent or committee.",0
Heifer International,0
"Greg Hertz for Montana Legislature PO Box 1747, Polson, MT 59860",0
Giving Brush LLC,0
GLAAD,0
"Friends of the Earth (Action), Inc.",0
Flush The Jon 2018,0
Faith First ,0
ExxonMobil,0
EMILY's List,0
"Dyson for House District 5 | PO Box 4903, Whitefish MT 59937",0
"Donald J. Trump for President, Inc.",0
Diversity Incorporated,0
Denise Albrecht for HD64,0
Defenders of Wildlife,0
Dan Vermillion for State Senate,0
Conservative Tribune,0
Concealed Online,0
"Citizens to ReElect District Judge Deborah ""Kim"" Christopher",0
Citizens for Tobacco Rights,0
"Cascade County Democrats - Bill Strizich, Chair",0
CRTV LLC,0
CRTV,0
CARE,0
Bredesen for Senate,0
Anti Tea Party MEMEs 3,0
American Federation of Teachers,0
Alliance for a Better Minnesota Action Fund. Not Coordinated With Or Approved By Any Candidate Nor Is Any Candidate Responsible For It.,0
Adam Schiff for Congress,0
Adam Hertz for Montana,0
,0
