Andrew Cuomo for Governor,100000
TBS Network,19767
the New York State Committee of the Working Families Party and approved by Alexandria Ocasio-Cortez,10000
SOLAR ENERGY TODAY,10000
"Planned Parenthood Votes, 123 William St, NY NY 10038. Not authorized by any candidate or candidate's committee.",10000
Friends of Tistrya Houghtling,10000
Friends of Marjorie Byrnes,10000
End Citizens United,9896
New York State Democratic Committee,5000
Gaughran 2018,5000
Friends of Mathylde Frontus,5000
 the Alliance for Retired Americans 888-373-6497. Not authorized by any candidate or any candidate's committee.,5000
United We Can. Not authorized by any candidate or candidate’s committee.,4992
Color Of Change,2479
NumbersUSA,2336
Amnesty International USA,1908
Hello Resistance,1882
Comedy Central,1244
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",1011
the Committee to Re-Elect Judge Bill McCarthy,1000
the Columbia County Democratic Committee of New York State.,1000
and Authorized by the Katko for Congress Committee,1000
Zeldin for Congress,1000
Tedisco for Senate ,1000
Pete King for Congress.,1000
New York State Nurses Association ,1000
New York Republican Assembly Campaign Committee,1000
Lancaster Republican Committee,1000
Friends of Rachel May,1000
Friends of Lori Wahila,1000
Friends of Joyce St. George,1000
Friends of Bill Magee,1000
Fight for $15,1000
Citizens for Judge Martin,1000
Catskills Freedom Network,1000
Brick Underground,1000
Benno for Congress,985
Judicial Watch,778
Giving Brush LLC,532
Blue Wave Voters,307
Friends of Jahana Hayes,302
Mussab Ali for JCBOE,294
UltimateStraw,283
Howard Bader,270
JVMI,266
"Vance Aloupis, Republican, for State Representative, District 115.",155
Kialo,116
Sharice for Congress,108
"MoveOn.org Political Action, not authorized by any candidate or candidate's committee.",89
Logically Illiberal,87
Friends of Chris Murphy,81
World Wildlife Fund,79
OZY Media,58
The Wilderness Society,55
"Sky Took, LLC",55
National Media Distribution Services,49
the NRCC and not authorized by any candidate or candidate's committee.,48
faireway,46
Joe Kennedy for Congress.,46
Chosen People,40
CRTV,38
IVN News,30
the Committee to Elect Michael Rulli,24
Turning Point USA,23
The NEA Fund,23
News For Democracy,22
FRIENDS OF RENEE HOAGENSON,20
Chad Benson,18
"No Plan, No Accountability, No on Prop C",12
Friends of Louise Valentine,11
Shareblue Media,10
"Paid for by Maine Republican Party, 9 Higgins Street, Augusta, ME 04330 Ben Lombard, Treasurer",10
"Opportunity PAC – A coalition of teachers, health care givers, faculty members, school employees, and public and private employee organizations Committee major funding from SEIU California State Council, SEIU Local 2015, California School Employees Association. Not authorized by a candidate or committee controlled by a candidate. ",8
"the House Democratic Campaign Committee. P.O. Box 1925, Austin, TX 78767.",3
Josh Gottheimer for Congress,3
Pennsylvania Budget and Policy Center,2
"FLORIDIANS FOR TAX FAIRNESS, 2633 CENTENNIAL BOULEVARD #200, TALLAHASSEE, FL 32308",2
Working Families Party,1
National Solar Rebate,1
"Michigan Republican Party Not authorized by any candidate or candidates committee. 520 Seymour Ave. Lansing, MI 48933",1
Kanew For Congress,1
Family Policy Alliance of Georgia,1
the Trump Make America Great Again Committee,0
the Republican National Committee,0
"the New Fairfield Democratic Town Committee, Ed Glanz – Treasurer",0
the NRCC and not authorized by any candidate or candidate’s committee.,0
the Democratic National Committee,0
the Bump Committee,0
the ACLU,0
friends of David Wheeler,0
a Brighter Buffalo,0
Zeldin's Record,0
Yale Climate Connections,0
Yaffed,0
"Working Families Action CT. This message was made independent of any candidate or political party. Top donors; Connecticut UAW PAC Council, AFSCME Special Account, and AFT Connecticut. Additional information about Working Families Action CT may be found on the State Elections Enforcement Commission's Internet website.",0
"Working Assets Funding Service, Inc. on behalf of itself and its affiliate, Credo Mobile, Inc.",0
"Winning For Women, Inc.",0
Vote Mimi Methvin,0
Vote Mesnard,0
Vote Arias,0
Vision Project BK,0
Vince Juaristi,0
Vickie Paladino for NYC,0
USA for UNHCR,0
Transport Workers Union,0
Town of Catskill Republican Committee,0
"The committee to elect ""Stephen Chesley for Town Justice""",0
The Western Journal,0
The Secular Student Alliance,0
The Maura Healey Committee,0
The Epoch Times,0
The Dude's Designs,0
