NumbersUSA,200000
NRDC,10000
"LCV Victory Fund, 740 15th St NW, Washington, DC 20005. Not authorized by any candidate or candidate's committee.",10000
Elect Amanda Edwards,10000
Future in America,9960
"Friends of the Earth (Action), Inc.",5000
Committee to Elect Gavin Reardon,5000
Committee to Elect Dan Forest,5000
Committee to Elect D. Cole Phelps,4882
Judicial Watch,4085
"AAF Nation, LLC",2422
Families Belong Together,1465
the North Carolina Conservation Network,1000
the Jason Saine Committee,1000
Vote John Czajkowski,1000
Tim Ivey for County Commissioner,1000
"The John R. Bradford, III Committee",1000
The Committee to Elect Jarrod Lowery,1000
Pitt County Democratic Party,1000
National Solar Rebate,1000
McCready for Congress,1000
Kreider for Judge,1000
Jeff Jackson for NC Senate,1000
Friends of Justin Conrad,1000
Friends of Dr Greg Murphy,1000
FreedomWorks for America. Not authorized by any candidate or candidate's committee.,1000
Concealed Club,1000
Citizens for Tamara Barringer,1000
Citizens for Sig Hutchinson,1000
Citizens for Joey Davis,1000
"America First Action, Inc. Not authorized by any candidate or candidate's committee.",1000
the NRCC and not authorized by any candidate or candidate's committee.,999
Roxie Cash for Wake,999
News For Democracy,996
Elect Paul Ross,979
Color Of Change,887
Citizens to Elect Jerry Carter,805
#VoteTogether,410
David Bullard for Senate 2018,407
Comedy Central,325
the DSCC,303
"4Ocean, LLC",302
the National Center for Transgender Equality Action Fund,291
Humane Society International,218
I Love My Freedom,195
Circa,188
Concealed Online,136
Hoover Institution,135
Rosen for Nevada,121
National Media Distribution Services,109
Citizens Against Foreign Interference,105
"Giacomi for State Rep, Eileen Conard, Treasurer; Approved by Steve Giacomi.",79
The UC Students Education Fund,72
Human Coalition,47
Margaret W. Wong & Associates,45
Human Rights Campaign PAC,41
National Rural Electric Association,40
32BJ American Dream Fund,40
Sierra Club,37
Restoration PAC,36
Michigan Leadership Committee. Not authorized by any candidate.,35
Turning Point USA,34
Penzeys,33
Israel365,33
Shareblue Media,21
LifeDaily,19
Friends of Louise Valentine,16
"MoveOn.org Political Action, not authorized by any candidate or candidate's committee.",12
"HOUSE MAJORITY PAC, (202) 849-6052. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE.",11
DSCC and authorized by Bredesen for Senate,10
Florida Strong Action PAC independently of any candidate.,9
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",6
Kate Brophy McGee AZ - Senate,5
IVN News,5
Home Professionals,4
Science for Humans and Freedom Institute,1
Perlmutter for Congress,1
the committee to elect Gary Weaver,0
the committee Dean Arp for NC House,0
the candidate.,0
the Trump Make America Great Again Committee,0
the Republican National Committee,0
the Phil Berger Committee,0
the North Carolina Democratic Party and Rixon for NC House 9.,0
the North Carolina Democratic Party and Love for NC.,0
the North Carolina Democratic Party and Kim Bost for NC House,0
the North Carolina Democratic Party and Jennifer Benson for NC House.,0
the North Carolina Democratic Party and Garner for North Carolina.,0
the North Carolina Democratic Party and Committee to Elect Terri LeGrand.,0
the North Carolina Democratic Party and Committee to Elect Jean Sivoli.,0
the North Carolina Democratic Party and Campbell for North Carolina Senate.,0
the North Carolina Democratic Party and Campbell for NC Senate.,0
the North Carolina Democratic Party and Barbara Lee for NC House of Representatives.,0
the NRCC and not authorized by any candidate or candidate’s committee.,0
the Environmental Working Group,0
the Democratic National Committee,0
the Committee to elect Rosemarie Doshier,0
the Committee to Elect Sarah Neely Lanier Judge,0
the Committee to Elect Dan Whitten.,0
the ACLU,0
by Jim & Madelyn Meyer,0
Working Families Party National PAC,0
Working Families Party,0
"Working Assets Funding Service, Inc. on behalf of itself and its affiliate, Credo Mobile, Inc.",0
"Winning For Women, Inc.",0
Wilson County Republican Party,0
Wiles for House,0
Vote Together NC,0
USA for UNHCR,0
Trump Supply,0
Tracy Philbeck for County Commissioner,0
Tim Harris for Senate District 2,0
The Southern Environmental Law Center ,0
The People PAC,0
The New Data Project,0
The Moore County Republican Men's Club,0
The Dude's Designs,0
The Committee to elect Daniel Caudill,0
The Committee to Elect Veleria M Levy,0
The Committee to Elect Summer Woodside,0
The Committee to Elect Jim Hill,0
The Committee to Elect Elliott Lynch NC House,0
The Committee  to Elect Tandy Dunn,0
Thad Michael is Senior Benefits,0
Ted Budd for Congress,0
TZ Insurance Solutions,0
Swing Left. Not authorized by any candidate or candidate's committee.,0
"Susan Jane Hogarth, acting as Chair of the LPNC",0
Student Movement-ILM,0
Stand Up America,0
Stacey Abrams for Governor,0
"Sky Took, LLC",0
Shaun Pollenz for School Board,0
Sharice for Congress,0
Robert Kellogg for NC House,0
Ro for Congress,0
Rick Green for Congress,0
Reason To Believe PAC,0
"Reality Bites Org, North Caorlina",0
Ralph Norman for Congress,0
Quentin Miller for Sheriff ,0
Proud Right Winger,0
Progress NC Action IE PAC,0
PrintedKicks,0
Portside,0
Pittman For Pitt County,0
Pfizer,0
People's Voice,0
Patriot Depot,0
Paid for by the Sampson County Republican Executive Committee.  Contributions to the Sampson County Republican Executive Committee are not deductible as charitable contributions for federal income tax purposes. All contributions are subject to the limits and prohibitions of the rules set forth by the North Carolina State Board of Elections. State law require,0
Paid for By Sandra Ray for NC Court of Appeals,0
Paid For by Malone For House,0
"PACRONYM. 611 Pennsylvania Ave SE #143 Washington, DC 20003. Not authorized by any candidate or candidate’s committee.",0
Outvote Inc,0
OuterGoods LLC,0
Our Votes Count,0
Oceana,0
Ocean Conservancy,0
North Carolina Democratic Party.,0
"No Plan, No Accountability, No on Prop C",0
No Kid Hungry,0
NextGen Climate Action Committee; not authorized by any candidate or candidate's committee.,0
Need to Impeach,0
National Domestic Workers Alliance,0
NRDC Action Fund,0
NRA,0
NCCPPR,0
NARAL Pro-Choice Ohio,0
Montanans for Tester,0
MomsRising Together,0
Mike Lee for Baltimore County Council District 2,0
McKissick for NC Senate,0
Liuba for Congress ,0
Linda Devore for House 44 Committee,0
Lebowski Lovers,0
Katie Porter for Congress,0
