The Voter Participation Center,235000,709988
Our Flag Our Country,201001,511996
Ohio Student Association,100000,199999
NumbersUSA,100000,199999
Shareblue Media,79015,338058
Louise Valentine for State Senate,73000,364990
National Republican Congressional Committee,52499,235644
Frank LaRose,52000,231990
ACLU,48685,105410
Committee to Re-Elect Judge Mary Kovack,30000,149997
America First Action,25999,296804
Congressional Leadership Fund,24981,109925
Secure Ohio's Future,20000,101786
Speak Up For Education and Kids,20000,92985
Living Free,20000,69997
Richard Cordray,18000,75994
Donald J. Trump,12702,134483
Taylor Sappington for State Representative,10962,54805
Ohio Democratic Party,10000,51997
Ken Harbaugh for OH-7,10000,49999
A. Ross Douglass For Judge,10000,49999
Energy Transfer,9237,18474
NRDC Action Fund,7000,58398
For Our Future Ohio,7000,23993
American AF,6788,13745
Ashtabula County Democrats,6000,15997
Vote For Fairfield ADAMH,5000,26993
Ohio's Electric Cooperatives,5000,11997
NAACP,5000,9999
Home Energy Guide,4995,9989
Elect Jason Smith for Court of Appeals,4000,20995
GOP,3008,217310
Keep Them Accountable,3000,23985
The Leadership Conference on Civil and Human Rights,3000,17994
Ohio Legislative Black Caucus,3000,15996
Buddy for Wood County Auditor,3000,14997
Citizens for a Strong District 3,2000,10997
Ohio Women's Watch,2000,9998
Swing Left,1881,12481
When We All Vote,1700,8503
Concealed Online,1002,5252
MedicareSupplement.com,1000,14989
Jason Warner for Judge,1000,11992
Phil Robinson for Ohio,1000,7996
We Built This,1000,6997
Ashtabula County Republican Party,1000,5998
A Stronger Ohio,1000,5998
Human Rights Watch,1000,5002
Yes We Can: Columbus Working Families,1000,4999
Vote for Whitehall City Schools Levy,1000,4999
Vote Sarah Kovoor Family Court Judge,1000,4999
State Representative David Leland,1000,4999
Solon on the Lake,1000,4999
Securing Ohio,1000,4999
Matt Lynch for Ohio,1000,4999
Kathy Wyenandt for State Representative,1000,4999
Jeremiah for Judge,1000,4999
Fix for Fairfield County Commissioner,1000,4999
Donald R. Capper,1000,4999
Cory Hoffman For State Rep,1000,4999
Adam VanHo for Ohio Senate,1000,4999
Aftab for Congress Campaign,1000,4998
Planned Parenthood Advocates of Ohio,999,13986
Premier Health,922,4609
Democrats,650,7082
MoveOn,495,2632
Judicial Watch,484,2420
Science for Humans and Freedom Institute,469,3353
The Daily Show,464,1950
Bird + Stone,428,1563
45th President Donald J. Trump,323,1108
Humane Society International,314,1569
Jacky Rosen for Nevada,238,1191
Environmental Defense Fund,219,438
End Citizens United,198,990
AFSCME,103,515
LifeDaily,88,591
Josh Gottheimer for Congress,64,332
Chad Benson Show,58,289
USA for UNHCR,55,277
Exclusive Apparel,51,474
Every State For Israel,51,254
Ben & Jerry's,49,246
Michigan Leadership Committee,48,828
Dr. Dena Grayson,46,232
