WV Future PAC,391289,909029
Restoration PAC,295000,767984
FutureinAmerica,228000,752916
The Joe You Don't Know,40000,297869
Concealed Online,20000,100083
Tera Salango For Circuit Judge,10000,50998
Eric J. Tarr for WV Senate,10000,50998
Donald J. Trump,9860,82982
National Republican Congressional Committee,7762,28948
GOP,6981,408678
Modern Medicaid Alliance,5000,10998
Amy Goodwin for Mayor,5000,9999
35th PAC,3995,19970
Talley Sergent,2000,9996
Living Free,1998,9984
Don Blankenship,1852,9258
MyRoar,1773,3546
Ben Queen,1000,7996
Moore Capito,1000,5998
Jeff Kessler for WV,1000,5998
Neighbors for a Safer Charleston PAC,1000,4999
Joshua Kurt Higginbotham,1000,4999
Ihlenfeld for State Senate,998,4991
American AF,973,1945
Democrats of Jefferson County WV,793,4092
Family Research Council,789,3945
Democrats,731,1662
Conservative Tribune,629,1258
MoveOn,164,337
ACLU,83,558
45th President Donald J. Trump,75,248
Positive Christian Purity,58,292
Planned Parenthood Action,57,285
People's Action,57,113
The Daily Show,44,184
Ben & Jerry's,32,159
Finish the Ballot,31,261
Michigan Republican Party,30,59
CASA in Action,23,114
Swing Left,19,268
Independent Voter,16,79
Carter Turner for Delegate,16,64
Global Next: Research and Leadership Institute,15,75
Jewish Voice Ministries International,15,74
Chad Benson Show,13,79
Exclusive Apparel,10,97
Shareblue Media,10,50
LifeDaily,9,62
Sierra Club,9,47
No Kid Hungry,9,45
David Wilson for Senate District 15,9,17
Ocean Conservancy,7,53
Strong Women Society,7,41
Liuba Grechen Shirley-Congress,7,16
DiversityInc,6,29
Speak Up For Education and Kids,5,25
Dan McCready for Congress,5,10
Fairness Maryland,4,18
Michigan Leadership Committee,3,39
Beto O'Rourke,3,25
Tim Walters,2,12
FloridaStrong,2,12
Jay Edwards State Rep,2,11
No on Prop C,2,8
USA for UNHCR,1,20
Human Rights Campaign,1,3
ExxonMobil,1,3
Cort VanOstran for Congress,1,3
Math4cure,0,5994
Mountain Mamas,0,3922
Mel for House,0,2997
Charlie Reynolds for House of Delegates,0,2958
William Ty Nestor for WV House of Delegates,0,2910
Jerry Tucker for Charleston City Council,0,1998
Haynes for House,0,1998
Friends of Mike Romano,0,1998
Andrew Evans for House of Delegates,0,1998
Randy Swartzmiller for House of Delegates,0,1986
Winning For Women,0,1183
TaylorDemocrats,0,999
Stephanie Zucker,0,999
Rowsey for the House,0,999
Richard Patrick For West Virginia,0,999
Patrick Morrisey,0,999
Mark Hunt for Supreme Court Division 1,0,999
Guy Ward,0,999
Dorothy Kengla for Hampshire County Commission,0,999
Brian Prim for WV Senate,0,999
Bob Beach WV State Senate,0,999
American Conservative Union,0,999
Re-Elect Bill Hartman - House of Delegates,0,996
Roman Stauffer,0,991
Marion County Republican Executive Committee,0,950
Chase For WV,0,919
Bernard Semler for State's Attorney,0,878
Bibi Hahn for WV House,0,730
Democratic Party,0,718
PrintedKicks,0,379
EMILY's List,0,295
Citizens for Wayne Keefer,0,272
VoteTogether,0,200
Jeff Dove for Congress,0,136
America with Eric Bolling,0,127
FreedomWorks,0,113
The Pragmatic Libertarian,0,111
Jeff Merkley,0,109
Penzeys Spices,0,69
Environmental Defense Fund,0,66
James Thompson for Kansas,0,62
Reason To Believe,0,53
Patriot Depot,0,53
Katie Porter,0,53
Client First Insurance Solutions,0,35
Johnathan S. Perkins,0,24
Brian Mast,0,24
Ryan Hampton,0,20
I Love My Freedom,0,20
Kim Bost for NC House,0,18
Proud Right Winger,0,17
Liberal America,0,16
Tom Steyer,0,14
Progress NC Votes,0,14
Oceana,0,14
The Wilderness Society,0,13
Power In Cooperation,0,13
Stand Up America,0,12
"Washington Electric Cooperative, Inc.",0,11
Science for Humans and Freedom Institute,0,11
America Rise Up,0,11
Leadership Institute,0,10
Candidates for Liberty,0,10
CARE,0,9
Josh Gottheimer for Congress,0,7
Terri Legrand for NC House 2018,0,6
NRDC,0,6
We The People - Pennsylvania Action,0,5
Heifer International,0,5
Elizabeth Warren,0,5
National Domestic Workers Alliance,0,3
Phil Bredesen,0,2
We the People - Pennsylvania,0,1
