"Planned Parenthood Advocates of Wisconsin, ppawi.org, and not authorized by any candidate or candidate's agent or committee.",10000
Americans For Prosperity,10000
AFL-CIO,10000
Plumer for Assembly,5000
"Chris ""Godxilla"" Taylor",5000
"AAF Nation, LLC",2703
the National Education Association,1000
United We Can,1000
"Tony for Wisconsin. Connie Hutchison, Treasurer.",1000
Tony for Wisconsin. ,1000
Shareblue Media,1000
NextGen Climate Action Committee; not authorized by any candidate or candidate's committee.,1000
Mayor Bob McManus,1000
"High Ground Political Fund. Not authorized by any candidate, candidate's agent or committee.",1000
Citizens for Peter Barca,1000
citizens to elect Joe Tirio,681
When We All Vote,677
McCaskill for Missouri,241
OuterGoods LLC,174
Comedy Central,169
Humane Society International,164
International Rescue Committee,137
Beto for Texas,131
Mercedes Monitor,130
PragerU ,96
National Media Distribution Services,80
National Association for the Advancement of Colored People (NAACP),67
"The DFL House Caucus, 255 E. Plato Blvd, St. Paul, MN 55107.",49
Need to Impeach,42
Civiqs,42
IVN News,34
Sierra Club,30
Ocean Conservancy,23
"Giacomi for State Rep, Eileen Conard, Treasurer; Approved by Steve Giacomi.",21
Proud Right Winger,19
The Dude's Designs,16
"Donald J. Trump for President, Inc.",16
"4Ocean, LLC",15
The Nib,14
Patriot Depot,14
Oceana,13
the Trump Make America Great Again Committee,12
Chad Benson,11
"Planned Parenthood Votes, 123 William St, NY NY 10038. Not authorized by any candidate or candidate's committee.",6
"the Keith Ellison for Attorney General committee, PO Box 80824, Minneapolis, MN 55408",5
Ben & Jerry's,3
"No Plan, No Accountability, No on Prop C",2
Michigan Leadership Committee. Not authorized by any candidate.,2
"LCV Victory Fund, 740 15th St NW, Washington, DC 20005. Not authorized by any candidate or candidate's committee.",2
Giffords PAC,2
Friends of Louise Valentine,2
Bredesen for Senate. Approved by Phil Bredesen.,2
the NRCC and not authorized by any candidate or candidate’s committee.,1
Tim Walz for Governor,1
John Szoka for NC House,1
Friends of Josie Raymond,1
"Fentrice Driskell, Democrat, for Florida House District 63.",1
Committee to elect Paul Hoppe for Sheriff,1
Angie Craig for Congress,1
"the Wisconsin Right to Life Victory Fund, Chet Rucinski, Treasurer. Not authorized by any candidate or candidate's committee. ",0
the Republican National Committee,0
the North Carolina Democratic Party and Garner for North Carolina.,0
"the Native American Rights Fund, the oldest and largest non-profit law firm protecting the rights of Native tribes and people.",0
the NRCC and not authorized by any candidate or candidate's committee.,0
the Democratic National Committee,0
"the Committee to Elect Katherine R. Gaulke, Treasurer Mary K. Burke",0
the Assembly Democratic Campaign Committee,0
the American Federation for Children Action Fund - Wisconsin IE Committee,0
the ACLU,0
