the Democratic National Committee,7263
Home Financial Helper No Cost Solar Program,7202
Donald J. Trump for President, Inc.,5264
the Trump Make America Great Again Committee,4616
Solar Programs In Ca Counties,4072
REGULATED FUNDS BY MICHIGAN PLANNED PARENTHOOD VOTES SUPER PAC, P.O. BOX 15041, LANSING, MI 48901. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE.,3790
,2165
the ACLU,1897
NextGen Climate Action Committee,1252
Concealed Online,1181
Kamala Harris for Senate,1151
Need to Impeach,1117
Priorities USA Action and SMP. (302) 469-3772. (202) 871-9255. Not authorized by any candidate or candidate's committee.,1081
MoveOn.org Civic Action.,1076
NARAL Pro-Choice America,1049
News For Democracy,950
Solar Programs In AZ Counties,941
the NRCC and not authorized by any candidate or candidate's committee.,877
#VoteTogether,829
Ocean Conservancy,803
The Years Project Action Fund,720
Matt Brown for Governor,693
Stand Up America,682
Be a Hero PAC. Not authorized by any candidate or candidate’s committee.,656
FLORIDIANS FOR TAX FAIRNESS, 2633 CENTENNIAL BOULEVARD #200, TALLAHASSEE, FL 32308,650
Swing Left. Not authorized by any candidate or candidate's committee.,617
Our Lives Our Vote,607
House Majority PAC and Priorities USA Action. Not authorized by any candidate or candidate's committee.,543
Beto for Texas,520
Planned Parenthood Action Fund.,512
The Southern Environmental Law Center ,508
The Western Journal,502
AFSCME Nevada,487
TZ Insurance Solutions,479
LifeZette Inc.,454
CARE,416
Mainers for Homecare; 565 Congress Street, Suite 200; Portland, ME 04101,400
Sand Cloud,385
Sharice for Congress,344
MO Research, Inc.,336
State Run Films,326
The Dude's Designs,306
DCCC,305
the Committee to Save Idaho Horse Racing, Create Jobs, and Fund Public Schools,290
CRTV,284
Voto Latino,283
ExxonMobil,273
Dr. Raul Ruiz for Congress Committee,266
Planned Parenthood Federation of America,263
the National Democratic Redistricting Committee,261
Giving Brush LLC,259
AAF Nation, LLC,253
Matt Rinaldi Campaign,249
Senate Leadership Fund,248
Winning For Women, Inc.,245
Environmental Defense Fund,241
Save the Redwoods League,239
When We All Vote,236
End Citizens United,236
Consumer Action for a Strong Economy,232
Voters Decide,224
