Beto for Texas,19709000
News For Democracy,16402000
Priorities USA Action and SMP. (302) 469-3772. (202) 871-9255. Not authorized by any candidate or candidate's committee.,14510000
the NRCC and not authorized by any candidate or candidate's committee.,12552000
Comedy Central,12342000
State Run Films,10075000
MO Research, Inc.,9337000
NextGen Climate Action Committee,8920000
,8508000
the Coalition to Defeat Question 3,7558000
Need to Impeach,6686000
Senate Leadership Fund,5723000
Planned Parenthood Federation of America,5388000
National Education Association,5280000
AAF Nation, LLC,5248000
Americans For Prosperity,4890000
the Trump Make America Great Again Committee,4691000
Reform Austin, Inc. ,4460000
PragerU ,4128000
NowThis,4100000
Ted Cruz for Senate,4041000
the ACLU,3908000
Clean Energy for a Healthy Arizona,3877000
4Ocean, LLC,3837000
Sierra Club,3602000
When We All Vote,3544000
Penzeys,3264000
No on Prop 10 – A Flawed Initiative That Will Make The Housing Crisis Worse, a coalition of housing advocates, renters, large and small businesses, taxpayer groups, and veterans. ID# 1406422,3180000
No on Proposition 8: Stop the Dangerous Dialysis Proposition,3123000
Concealed Online,3044000
SMP. (202) 871-9255. Not authorized by any candidate or candidate's committee.   ,3036000
Andrew Gillum, Democrat, for Governor,2886000
NRATV,2859000
Tom Wolf for Governor,2789000
FLORIDIANS FOR TAX FAIRNESS, 2633 CENTENNIAL BOULEVARD #200, TALLAHASSEE, FL 32308,2763000
International Rescue Committee,2734000
NARAL Pro-Choice America,2601000
House Majority PAC and Priorities USA Action. Not authorized by any candidate or candidate's committee.,2549000
ExxonMobil,2510000
Samuel Bagenstos for Justice, 2370 E. Stadium Blvd., No. 310 Ann Arbor, MI  48104,2480000
VICELAND,2442000
Working Families Party,2431000
The Humane Society of the United States,2431000
Donald J. Trump for President, Inc.,2429000
Polis for Colorado,2359000
MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.,2213000
Likewise Media,2116000
Planned Parenthood Action Fund.,2088000
MoveOn.org Political Action, not authorized by any candidate or candidate's committee.,2028000
Humane Society International,1998000
Color Of Change,1950000
NRSC and not authorized by any candidate or candidate’s committee,1833000
No AZ Energy Tax,1821000
Bill Nelson for U.S. Senate,1821000
Harder for Congress,1765000
Daily Wire,1765000
Zephyr for NY,1672000
Michigan Republican Party Not authorized by any candidate or candidates committee. 520 Seymour Ave. Lansing, MI 48933,1665000
DCCC,1642000
Swing Left. Not authorized by any candidate or candidate's committee.,1625000
No on 112,1524000
Coloradans for Fairness,1517000
Cordray/Sutton Committee,1497000
Congressional Leadership Fund,1457000
Marsy’s Law for Oklahoma, LLC, 15 Enterprise, STE 550, Aliso Viejo, CA 92656,1430000
Supporting American Values,1392000
Webinar Technologies,1361000
Finance Watch Dogs,1327000
theSkimm,1326000
Federation for American Immigration Reform,1299000
ClearPath Action, Inc. Not authorized by any candidate or candidate's committee.,1287000
No on Prop 10: Californians for Responsible Housing,1270000
McCaskill for Missouri,1267000
