Dan KALB for State Assembly,5047,10094
Paul Nicklen Photography,3468,6936
Beto O'Rourke,2523,5046
Energy Transfer,1944,3888
Powerpac GA,1850,3700
UChooseCo,1676,3352
Karen Katz For Judge,1221,3053
PETA (People for the Ethical Treatment of Animals),1208,2416
Democratic Socialists of America,1116,2231
AFT - American Federation of Teachers,1086,2173
Donald J. Trump - Keep America Great,1070,2139
Save Our Air Medical Resources,1037,2591
NowThis,1023,2045
Elevate MN,1016,2539
NumbersUSA,943,2357
NowThis Entertainment,941,1881
Curiosity+Heroin,941,1881
Kathy Hochul,929,2321
"Yes on 3, the Energy Choice Initiative",882,1763
L.A. County Registrar-Recorder,876,2189
A Minnesota for All of US,852,2129
Andrew Cuomo,775,1938
Bob Hugin,740,1479
Lower My Bills,738,1845
Lambda Legal,707,1768
"I Love You, America",692,1385
Build With Strength,680,1700
NEA Today,665,1330
UnlockHope,604,1207
Best Friends Animal Society,591,1478
Mic Dispatch,575,1437
Congressman Mo Brooks,550,1099
Stanton for Arizona,546,1364
Philadelphians for a Fair Future,544,1359
Andrew Keenan-Bolger,543,1087
Alexandria Ocasio-Cortez,540,1080
"We Support Buffy Wicks for Assembly: Progressive, Proven Leadership",505,1010
Union of Concerned Scientists,502,1255
Marsy's Law for Oklahoma SQ 794,486,1214
PGE Lawsuit,478,1195
Carry Virginia,475,1186
Students Loan News,475,950
BroadwayHD,469,938
NO on 105,462,1155
Americans for Prosperity Foundation,440,879
BRITE CA,423,845
Go Coast Guard,417,1042
The Center for Community Change Action,413,1033
45Committee,406,812
Rita Lucido for Texas State Senate District 17,405,1012
World Peace Placards,403,1008
Conservation Ohio,403,1007
Our Health California,399,996
MI Senate Republican Campaign Committee,396,989
Mayor Philip Levine,393,983
HeloGreen,393,786
Ohio Newswire,390,976
Federal Voting Assistance Program - FVAP,385,769
Ron Kind,378,944
The Rising Right,376,940
Foundation for Individual Rights in Education,372,744
Our Next America,344,689
GZERO World with Ian Bremmer,342,856
Steve Huffman,340,851
RSCC,334,834
Rommel For State Representative,333,666
Remezcla,333,665
Anne Gonzales,331,663
Parks Project,331,661
SoccerCity SD,329,822
No Prop 8 - Stop the Dangerous Dialysis Prop,328,820
Hollywood Village,325,650
FCTRY,319,638
Middle Class Missouri,317,634
Delta Foundation of Pittsburgh,316,633
No on SoccerCity,316,631
John Cox for Governor 2018,314,786
Sheldon Whitehouse,314,628
"Curtis Hill, Indiana Attorney General",312,780
PrintedKicks,311,622
Matt Haggman for Congress,306,765
World Food Programme,305,610
Omar Fateh for MN House 62A,299,597
Dropkick Memes,295,736
Airbnb,293,587
Lee Saunders,292,584
Andy McGuire,292,584
Comedy Central,289,578
Arkansans for Jobs and Justice,289,578
Can't Trust Cordray,287,718
New Yorkers Together,284,567
Save Tips NY,282,564
NC Homeowners Alliance,274,684
Toren For Colorado,273,545
Michael L. Magasinn for Judge,261,522
Friends of Donna Mercado Kim,260,521
Wildlife Conservation Society,255,509
Ivan J. Bates for Baltimore City State's Attorney,251,502
Alianza for Progress,249,499
Senator Jesse Hamilton,248,496
Visit Seattle,246,1232
Pennsylvania Department of Human Services,243,608
Shamelessly Corrupt Menendez,243,486
Boxed Water Is Better,242,483
The Trump Prophecy Movie,239,598
Pennsylvania Department of Health,237,593
California Policy Center,237,592
Liberty Justice Center,234,469
Andria Thomas,229,458
Paul Curtman,227,454
Rotary International,226,564
No Labels Action,223,558
Stop Mandatory Vaccination,222,445
NC Common Ground,221,552
Financial Juneteenth with Dr. Boyce Watkins,216,541
Judge Steven Martin,216,432
Darren Soto for Congress,212,425
Frank Riggs,211,422
Progressive Caucus,210,524
Alliance for a Better Minnesota,210,420
Kevin Brady for Congress,209,523
Active Measures,206,514
South Carolina Department of Education,205,409
Recall Aaron Persky,204,407
Poor People's Campaign: A National Call for Moral Revival,204,407
Craig O'Dear,201,402
Andy Thorburn,199,399
Black Phoenix Alchemy Lab,198,396
Shady Steve,197,394
Citizens Against Computerized Justice,197,394
No on IM-25,196,392
Fred Hubbell,192,384
"Affordable Housing for All, Yes on Prop D",187,374
Michigan Republican Party,186,466
The Boeing Company,186,465
Give Voters A Voice,186,465
Ed Emmett Campaign,186,372
Business Roundtable,185,369
Power California,182,910
Riverside County Sheriff Stan Sniff,182,365
Uber,178,357
Lina Hidalgo for Harris County Judge,178,355
"Something has to change, and NOW",177,353
Tim Keller,176,440
UPS Rising,176,351
Attorney General Bob Ferguson,175,350
Eastern Bank,175,349
Brandon Ogles for State Representative,174,348
Phil Weiser,173,346
Keith Faber,172,429
Left Out Loud,172,344
Cam Cavasso For Congress,172,343
Dark Store Loopholes,171,427
Walt Maddox,170,340
Comedy Central Central,169,338
Russell Guerard for State House Seat 110,168,336
Share Better,168,335
C-RED PAC,167,334
Lensabl,166,831
Matt Flynn,166,331
Tee Shirt Palace,165,412
Rauner Failed Me,163,408
Paramount Network,162,324
Graig Meyer,162,324
Cote For Maine,162,324
Chicago Alliance Against Racist and Political Repression,162,324
Texas Gun Rights,161,322
Niños de Ahora,159,318
Erie County Democratic Committee,159,318
Yes on SQ788,158,316
Charlie Susano,158,316
Comedy Central Stand-Up,156,312
Friends of the United Farm Workers,154,307
"Raja Krishnamoorthi - Congressman, IL-8",153,306
Oregon House-Dobbins Water Association,152,304
Keep Judge Michael Davis,151,302
ACCE Action,149,746
London Breed 倫敦．布里德,148,297
So Cal Muslims,148,296
Ford Foundation,148,295
Mark Eves for ME,146,292
John Legere,146,291
David Stemerman,146,291
Crooked Media,145,290
Representative Stephanie Garcia Richard,145,289
Patty Murray,144,289
Cheddar,144,287
Voters - Not Politicians,141,282
realtor.com,138,275
Congressman Ami Bera,137,275
Nyscopba PR,137,274
Kevin Yoder,135,270
Wisconsin LGBT Chamber of Commerce,134,672
Pfizer,134,269
Scott Walker Is Letting Our Schools Crumble,133,267
State of Corruption NH,131,327
Paul G. Allen,131,263
Kialo,131,262
Scott Wagner,130,260
Jill Ortman-Fouse for Montgomery County Council,129,258
Kim Reynolds,128,321
Connor Caudill for IU Trustee,128,256
Showtime Documentary Films,127,255
Matt Lesser for State Senate,127,254
Kathaleen Wall for TX,127,254
Nuclear Energy Institute,127,253
Crawford for Scottsdale,127,253
Karen Berger for Judge,126,252
Ted Yoho,126,251
Maine Outdoor Alliance,125,251
Richard Painter,125,249
Doctors Without Borders/ Médecins Sans Frontières (MSF),123,614
Idaho State Department of Education,123,246
Arizona Speaker Series,122,244
No On Prop 10 - Stop the Housing Freeze,121,302
Covenant House International,120,239
3B: Brae's Brown Bags,119,238
Senator Joan Carter Conway,119,237
Truth & Dignity in Municipal Leadership,118,236
