Direct Expose,500000,999999
Stop Soldier Suicide,95137,190273
ACLU,85429,213573
Consumer Freedom,76017,152034
Marco Sold Us Out Cheap,72570,145139
Life is Better After 50,72305,144609
STAND League,62335,124670
Sounds Like Tennessee,57304,114608
Mark Begich,57001,114002
Circa,56951,113901
United for Progress,56023,112046
Kwame Raoul,55600,111199
Memorial Healthcare System,52009,130023
Pennsylvania Department of Health,51749,129371
Sarcasm Society,50000,99999
Tim Walz for Governor,48434,96868
Penzeys Spices,45460,113649
Humane Society International,45002,112505
Taryn Teutsch,43174,107935
New Jersey for a Better Future,41980,104949
Stand Up for Ohio,41377,103442
Show Up To Vote,40967,102416
Ted Cruz,40176,100441
Action Against Hunger USA,38541,96351
Santa Clara County Public Safety Alliance,34890,69780
Rudy Salas for Assembly,34114,68227
Your Obamacare Quote .com,33824,84559
World Vision USA,32760,81901
Joe Gruters,31883,79707
NEA Today,31874,63748
Human Life Action,31857,79642
Blueprint Kansas,31345,78363
Michelle Lujan Grisham,31256,62511
Florida Planned Parenthood PAC,30611,76527
Michigan Democratic Party,29839,74598
Josh McKoon For Secretary of State,29766,59532
Kim Reynolds,29748,74370
Canopy - Tax Practice Efficiency Software,29650,74125
Sandy Hook Promise,29635,59269
Climate One,29497,58994
Chuck Schumer D-NY,29281,73202
4ocean,29221,73053
Curiosity+Heroin,28628,57256
iHeartDogs.com,27785,55569
Teachers for Cary Kennedy,26726,53452
Wisconsin League of Conservation Voters,25837,64593
Elect Karl Dean,25741,64351
Jimmy Patronis,25641,64103
Eric Greitens,25317,63292
Sleeping Joe,24942,62355
MI Senate Republican Campaign Committee,24364,60909
Microsoft Store,24281,60703
Taylor W. Burks,23798,59496
Concerned Veterans for America,23378,58444
Jimmy Martin,23362,58404
OWN: Oprah Winfrey Network,23334,58336
Patty Murray,23197,57993
Goal SD,23100,57750
Committee for Colorado's Shared Heritage,22676,56690
A.J. Brady for District Attorney,22629,56571
John Faso is not for us,22627,45253
Ohio In the Know,22489,56222
John Shaban for Attorney General,22290,55725
Union of Concerned Scientists,21956,54889
The Real Caleb Frostman,21733,54331
Financial Juneteenth with Dr. Boyce Watkins,21654,54135
Steve Marshall,20806,52014
Ammar Campa for Congress,20760,51901
Minnesota Ag-Energy Alliance,20700,51751
Nevada Corruption Report,20665,51662
POET,20598,51496
Florida Strong,20585,51462
Opportunity Solutions Project,20432,40863
Cheapest Health Quotes,20225,40449
Heidi Heitkamp,19928,49820
North Carolina Department of Transportation,19834,39668
Colorado Chronicle,19661,49151
Lou Barletta,19387,38774
Healthy and Productive Michigan,18978,37957
Ritual,18953,37905
Andy McGuire,18743,37486
Ruben Gallego,18681,46703
IVC Filter Lawsuit Information,18657,37313
Dante Acosta,18575,46438
Dark Store Loopholes,18521,46303
Ohioans for a Healthy Economy,18514,46284
Convention of States,18442,46105
Republican Party of Wisconsin,18391,45977
No On Prop 10 - Stop the Housing Freeze,18350,45875
Change PAC,18250,36500
Dave Yost: Putting Big Donors over Ohioans,18159,45398
Veteran Loans Online,17927,44817
Jay Mitchell for Alabama Supreme Court,17822,35644
Latino Victory,17768,44419
The Mind Tracer,17373,34746
Joe Biden,17339,34678
No on 3 - Keep MA Safe,17295,43238
Arizona Wins,16663,41657
Donna Lynne,16590,41474
charity: water,16576,33151
Richard Cordray Failed,16143,32286
Scottholeswi,15583,38957
Oklahomans for Lamb 2018,15387,30773
Family Research Council,15320,38300
Cactus Jack's Campfire,15318,30635
Survivors Advocating For Equity - SAFE,15284,30569
Deidre DeJear,15075,30150
Students Loan News,14951,29902
"Vote for Better Paychecks, Not Dean Heller",14887,29773
John Cox for Governor 2018,14749,36873
Antonio Sabato Jr,14627,29255
First Home PA,14611,36528
Indiana Senate GOP,14577,36442
CWLA,14570,36425
The N.C. Star,14526,29052
We Need Driver’s Choice,14358,35894
Fight Back,14252,35630
Marguerite Quinn for PA Senate,14190,28379
YES on 127: Clean Energy for a Healthy Arizona,14172,28344
Indiana Secretary of State Connie Lawson,14117,28234
Arkansans for Jobs and Justice,14013,28025
Powerpac GA,14010,28019
Monique and Jocelyne Lamoureux,13984,27968
California Taxpayer Protection Committee,13868,34670
National Democratic Training Committee,13827,34568
Michael Avenatti,13784,27567
Californians for Eleni Kounalakis for Lt. Governor,13564,27127
CFGA Wisconsin,13493,33733
Lori For US Congress,13393,26785
Maine Matters,13336,26672
Allison Gilman For Judge,13291,26583
Protect Public Pensions,13204,26408
Bryan Steil,13194,26389
Florida Lottery,13131,32828
"Curtis Hill, Indiana Attorney General",13121,26242
Montana Women Vote,13095,26190
Jeremy H. Oden,13094,26188
Best Friends Animal Society,13029,26057
The Tax Scam,12873,25746
Josh Butner for Congress,12859,25718
Catharine Baker,12821,25642
Home Builders Association of Central Arizona,12794,25587
Stop Mike DeWine,12736,25472
Virginia Consumer Healthcare Alliance,12735,25470
Cornerstone Credit Union League,12649,25297
Strong Wisconsin,12639,25277
The Committee to Keep Judge Rob Johnson,12605,25210
Cheri Bustos,12539,25078
Planned Parenthood Advocates of Ohio,12526,25052
CFGA Montana,12467,24934
West Virginia Patriots for Liberty,12437,24874
KATU News,12428,24855
Bill Hightower for Alabama,12189,24379
Lee Zeldin,12120,30301
Radical Rouda,12115,24230
Shatterproof,12103,24207
Keith Faber,12103,24206
Barbara Comstock,12031,24061
Proud Americans Supply Gear,12025,24051
Stand for Children - Indiana,11833,23666
Pug Life Harness,11744,23488
Kathy Hochul,11609,23217
Cooney for Clerk,11589,23177
Allison Boyd for Probate Judge,11526,23052
Elevate Ohio,11502,28754
Senator Jesse Hamilton,11451,22901
Today's Nation,11435,22869
Queer Eye,11419,28546
Vermont-NEA,11377,22754
David Kustoff,11155,22309
LGBT Right,11071,22143
Marc Vann for State Representative,10909,21817
Mike Turner for Congress,10886,21772
etee,10861,21721
Disability Benefit Network,10859,21718
Trump Store America,10771,21541
Sarah Palin,10700,21401
Consumer Protection Coalition,10585,21171
Erase The Hate,10520,21039
"I Love You, America",10512,26279
The Ohio Environmental Council,10492,26229
Dean Murray for New York,10414,20828
Colleen Hanabusa,10256,25639
Dreamers for Jesse Gabriel,10126,20252
Choose Me Not 3,10095,20190
Vote James Ramos AD 40,10092,20184
Judge Steven Martin,10034,20067
United Way,10026,20051
Brian Frosh,10023,20047
Matiella for Congress,10006,20011
Help for Essure Victims,10000,49999
Chris Hurt for State Representative,9971,19942
Moving Broward,9958,19916
UnitedVoice.com,9905,19809
EQUIP,9880,19760
Andrea Fischer Newman,9865,19731
Elise Stefanik,9691,19381
White Post Wind Project,9650,19299
Consulta de Inmigracion en San Diego,9598,19195
Lea Marquez Peterson for Congress,9589,19177
Americans For Healthcare Freedom,9454,18908
"Twin Hills Health Center, P.C.",9453,18905
Philadelphians for a Fair Future,9365,18729
Our Health California,9311,23276
RAGA Ohio,9298,18596
Center for Biological Diversity,9199,18399
Randy Bryce,9196,18392
AARP Texas,9196,18391
Washington State Republican Party,9182,18363
Build the Veterans Cemetery in the Great Park,9090,18179
Left Action,9070,18141
Danielle Meitiv for County Council,8944,17889
Charlie Baker,8867,17733
Oklahoma Patriot Auto Sales,8857,17713
Save Animals Facing Extinction,8757,17513
ACLU of Florida,8749,17497
No Prop 8 - Stop the Dangerous Dialysis Prop,8734,17468
Delores Johnson for FL State House Dist. 84,8733,17466
OC District Attorney Tony,8718,21796
Jobs for Minnesotans,8670,17340
Corazon Coqui,8606,17213
Dominion Energy South,8553,17106
Ohio Democratic Party,8499,16999
The Howard County Republican Party,8498,16996
Arkansas Overdose Program Don't Run Call 911,8487,21217
Janice Rutherford for Supervisor,8481,16961
Baltimore County Sitting Judges,8438,21096
New Mexicans for Economic Prosperity,8399,16799
Consumers for Sensible Energy,8398,16796
Seattle Waterfront for All,8364,16727
Mike Teasdale for Ventura County Board of Education,8333,16667
Radical Kyrsten,8307,20768
Empower Montgomery,8292,16583
Andy Beshear,8281,16561
Lorina Rummel - District Court Judge,8280,16560
The Family Store,8245,16489
David Young Wrong for Iowa,8229,16457
Greater Wisconsin Committee,8005,16009
Seth Moulton,7975,15950
John Hope Bryant,7934,19834
Wisconsin Right to Life,7905,15809
Women Who Vote,7876,15751
Grunt Style,7813,15627
A Step Ahead Chattanooga,7768,15536
Walden University,7681,15363
Fight NH Addiction,7556,15113
BookTV,7552,15104
Massachusetts Fiscal Alliance,7514,15028
Katie Hill for Congress,7507,15013
Michelle Lapine McCabe 2018,7466,14931
Afscme for Lamont,7376,14752
Harper Books,7341,14683
Missouri AFL-CIO,7312,14623
Kayser Enneking,7293,14585
Humane Society Legislative Fund,7279,14558
Claudia Tenney Wrong for NY,7245,14489
Tucker Dorsey,7227,14453
Will Hurd,7186,14372
Recall Aaron Persky,7177,14354
Tactical Pro Supply,7172,14343
CARE Action,7112,14223
Joan Huffman,7097,14194
USA Patriots for Donald Trump,7061,17653
Airbnb,7061,14121
Living Free,7021,14042
RALI New Hampshire,7019,14038
"Animal Justice League of America, AJLA",7009,14017
"BusinessGhost, Inc.",6995,13990
Brian M. Middleton for District Attorney,6941,13882
Re-elect Sheriff Bill Gore,6935,17337
PAC+,6902,13804
Rossi for Himself,6892,13783
King County Elections,6858,17144
Concerned Women For America LAC,6825,13649
Lambda Legal,6813,13626
Women Vote Texas,6808,13615
Stop UHW Initiative Abuse,6685,13370
Houston Federation of Teachers,6684,13367
Steve Bullock,6659,13318
"Adrian Fontes, Maricopa County Recorder",6646,13293
Voters - Not Politicians,6645,13290
Gesslein & Luttrell for Monmouth County Freeholder,6642,13283
Tomi Lahren,6610,13220
myvoteplan.com,6571,13141
"David Wasinger, CPA, for State Auditor",6567,13133
David Friess for State Representative,6550,13100
Marili Cancio For State Senate,6512,13024
Dean Heller,6499,12998
Beto O'Rourke,6494,12988
It's Time San Diego,6450,12900
Christian Andrews,6446,12891
Rep. Virginia Foxx,6426,12852
Devin Nunes,6422,12844
Adil Baguirov,6405,12810
Georgia Conservation Voters,6399,12797
Bumble,6378,15945
US99 / Chicago's Hottest Country,6351,12701
Seniors Speak Out,6342,12684
ACLU of Michigan,6342,12684
Paul Bradley for State Senate,6335,12670
Fairness Maryland,6323,12645
"Main Street Law Firm, PLLC",6316,12631
National Right To Work,6308,12616
Personal Defense Network,6257,12513
Dennis Paul,6249,12498
Vern Buchanan,6248,12496
Cathy McMorris Rodgers,6241,12481
Vote No Extreme Term Limits,6238,12475
Center for Union Facts,6223,12445
Gregorio Kilili Camacho Sablan,6165,12330
David Perez for Florida Senate,6165,12330
Diane Black,6158,12316
USPS Business,6069,12138
Children's Hospital of Wisconsin,6041,12081
Carson Smith for NC House,6025,12049
Mexico Joe,6005,30024
Newsmax,5975,14938
AMA Patients’ Action Network,5928,11856
Brian Kemp,5900,11800
Downunder Horsemanship,5847,11694
Faith In Minnesota,5830,14575
