IcePop,100000,199999
Climate Litigation Watch,77488,154975
Fahrenheit 11/9,72386,144772
California Policy Center,70705,141409
Comedy Central Stand-Up,51088,102175
health.online,50904,101807
CNSNews.com,48722,121804
RATE Coalition,48234,96467
Marsy's Law for Georgia,47049,94097
Yes On 10,45401,113502
Protect Colorado,43218,86436
NowThis Her,42102,84203
Eastern Bank,38584,96459
Fred Hubbell,36401,72802
The Heritage Foundation,33906,84765
U.S. Infidels,33492,66984
Tailgate,32870,65739
Boston Private,32609,81523
Noteabley,31509,63018
One Nation Design,30215,60430
Dave Joyce,29780,74450
Fight Back,26874,67185
The Trump Prophecy Movie,26728,53455
CRTV,26264,65660
People Over Politics MD,26059,65146
Pennsylvania Progress,25813,64533
Prophecy News Watch,25604,64009
Physicians Grassroots Network,25388,63471
We The People Holsters,24542,61354
Seeker,24349,60872
High Ground Action Fund,24071,60178
Concerned Veterans for America,23591,58976
Newsmax,23492,58730
No Prop 6,23316,46632
Paul Nehlen,22688,45376
True Conservative,22517,45035
Uber,22428,44856
Arizona Secretary of State,22287,44574
Charlie Kirk,21974,43948
NRA - National Rifle Association of America,21707,43415
Kialo,21467,42933
Dunleavy for Alaska,21382,53455
AFP Action,20871,52176
Tyler Diep for Assembly,20718,51795
Defending Main Street,20707,51767
AFP - Iowa,20473,51183
Re-Elect Carey Davis for Mayor 2018,20117,50293
Catherine Templeton for Governor,20096,50239
Equity Forward,19896,49741
Mic Dispatch,19881,49702
French Hill for Arkansas,19179,47947
Dan Bongino,18705,37411
Vote Helen Wallace For Judge,18500,46250
Marsy's Law for Florida,18370,45925
Donna Lynne,18301,36601
CFGA Wisconsin,18205,45512
Daniel Valenzuela for Mayor,18157,45393
No on Prop 10 - Too Many Flaws,18055,45138
Ruben Gallego,17890,35780
Alliance For Maine,17834,35667
Coalition to Protect Patient Safety,17667,44168
Sleeping Joe,17393,43483
Link TV,17175,34349
Judge R.K. Sandill for Texas Supreme Court,17087,42718
Our Flag Our Country,17021,42552
Jerry Costello II for State Representative,16860,33721
"I'll go ahead and keep my guns, Thanks",16676,33352
Lambda Legal,16655,41638
PragerU,16317,32634
Shri Thanedar,16313,40782
Indiana Senate GOP,16231,40578
Ron DeSantis,15850,39624
Joshua Kurt Higginbotham,15835,39587
Discover Charters,15748,31496
Susan Hutchison,15624,31248
Me Too Ohio,15621,39053
Dark Store Loopholes,15619,39048
Collin Peterson,15364,38410
Better Colorado Now,15095,37738
Brigade,15039,37597
No Prop 8 - Stop the Dangerous Dialysis Prop,14962,37405
Ray Gaesser,14891,37227
Ron Estes,14702,36754
For Kids & Country,14680,29359
Pride,14595,29190
Philadelphians for a Fair Future,14465,36163
Blueprint Kansas,14337,28673
NRDC,14302,35755
The Boeing Company,14264,28528
The Humane Farming Association (HFA),14120,35301
Charlie Baker,14087,35216
Mrs. Mission,14031,28062
We Need Driver’s Choice,13840,34601
Missouri AFL-CIO,13729,27458
CPD Action,13492,33729
Mary Throne for Governor,13408,33521
Scott Walker Cost Us Healthcare,13359,33397
End Citizens United,13339,33348
Wisconsin Freedom PAC,13154,26308
Lindsey Williams,12875,32188
The Gunbox,12833,25666
Latino Victory,12710,31774
Between the Scenes,12709,25418
Associated Builders and Contractors of Wisconsin,12574,31434
Joe Durso for Seminole County Commission,12486,24972
Kiana Maria Sears,12484,24968
No on 3 - Keep MA Safe,12214,30535
Meshon Rawls for Alachua County Judge,12172,30429
David Blair,12128,30319
Richard Cordray for Ohio,12113,30283
Judicial Crisis Network,12013,24027
Ed Uehling for Lieutenant Governor Nevada 2018,11938,23876
4ocean,11902,29754
Harris County Republican Party,11897,23795
House Majority PAC,11870,23741
UPROXX,11744,23488
Reclaim New York,11711,23421
Kathy Hochul,11707,29266
Judge Bob Corlew for Congress,11512,23024
Blue Wave 2018,11477,22954
Scott Wagner,11400,22799
Donna Shalala for Congress,11362,22724
Reggie Jones-Sawyer Sr.,11338,28344
For Our Republic,11331,22661
Fight NH Addiction,11233,22465
American Chaos,11127,22253
"Zion Oil and Gas, Inc.",11079,22159
Maryland Together We Rise,11058,27644
State Representative Manny Diaz Jr,10991,21981
Affordable Pharmacy Action Network,10984,27460
Colion Noir,10881,21761
Alliance for Taxpayers,10756,21512
The Real Robyn Vining,10695,21390
Strong Wisconsin,10591,26476
Patriot Journal,10497,20995
Coalition of Ratepayers,10491,26228
Missouri Century Foundation,10415,20831
Truvia,10311,20621
Foundation for a Drug-Free World International,10262,20524
U.S. Representative Will Hurd,10218,20436
Marsy's Law for Pennsylvania,10211,25527
Unite Alaska,10138,20275
VectorVest,10078,20155
FRANCE 24 English,10040,20080
BuzzVideo Advertising En,10000,49999
West Virginia Republican Party,9984,19968
Texas Latino GOP PAC,9947,19893
Jimmy Patronis,9913,19825
Hoboken Terminal and Railyard,9831,19662
John James,9820,19639
Tony Luetkemeyer,9775,19550
Stand Up for Ohio,9707,19413
U.S. LawShield,9676,19352
The Home Depot,9675,24187
Microsoft Store,9655,19310
New York Republican State Committee,9634,19268
Mike Gallagher,9600,19201
Rocky Chavez,9553,19105
YouGov,9530,19060
Daily Vine,9502,19004
Dan Patrick,9455,18909
Commissioner Jack Morman,9410,18821
Kelly Vrooman,9366,18732
Keith Wofford for Attorney General,9318,18637
At What Cost by Bloomberg,9134,18268
California Secretary of State,9041,22602
AMA Patients’ Action Network,8889,17778
Mark Yarbrough,8887,17775
Devin Nunes,8839,17677
National Shooting Sports Foundation | NSSF,8767,17534
Pete Olson for Congress,8719,17438
Senator Jack Johnson,8694,17387
The March for Life,8668,17335
California Republican Party,8660,17321
No Labels Action,8644,17288
Arizona Game & Fish Department,8639,17278
Illinois Working Together,8484,21210
Asa for Governor,8439,16877
Working Michigan,8404,16808
Sidhu for Mayor,8390,16779
CCM CT,8386,16771
PP Pennsylvania Advocates,8385,16771
The Coalition of Airline Pilots Associations,8339,16679
Allie on CRTV,8335,16669
Coloradans for Responsible Energy Development,8301,16603
Sunlight Arizona,8288,16576
Donnie Harrison for Wake County Sheriff,8263,16526
ChangeAustin.org,8224,16447
Chuck Eaton,8214,16429
The Rising Right,8169,16339
John Cox for Governor 2018,8150,16300
Drive23,8105,16210
Cheddar,8085,16169
Paul Mitchell for Congress,8079,16158
The Nature Conservancy,8077,16153
Airbnb,8063,16126
Americans for Prosperity-Kansas,8020,16041
Roy David Walker for Commissioner of Agriculture,8017,16033
Freedom Partners Action Fund,8001,16003
Lee County Sheriff's Office,7978,15956
Civic Builders Inc.,7893,19731
Warrior 12,7826,15653
