We Have Teeth and We Vote,2257,4514
Alaska Health and Social Services,1746,3492
Republicans For Making America Great Again,1503,3758
etee,1373,3433
Newsmax,1288,2575
John Cox for Governor 2018,1201,2402
Democrats,1134,2834
Premium Care For Seniors,1110,2774
FCTRY,945,2362
Senior Healthcare Direct,944,2360
Tom Steyer,942,1884
Progressive Caucus,891,2227
Blue Wave 2018,867,2167
iCrowdNewswire,862,1724
Make the Connection,800,1999
Prophecy News Watch,739,1847
2nd Amendment For Life,707,1766
Cole Harris for Lt. Gov.,691,1727
Seth Moulton,674,1348
San Diego County Democratic Party,609,1523
Keep Chris DeRose - Our Clerk of the Superior Court,601,1501
Cooney for Clerk,591,1477
Conservative News Today,578,1444
Freedom Partners Action Fund,567,1418
Joe Gruters,554,1384
Medicare for All,554,1107
Planned Parenthood,550,1375
Heifer International,533,1066
A.J. Brady for District Attorney,512,1023
Vote for Lisa Sparks,478,1195
Hearing Loss Association,475,951
"California State University, Northridge",466,1166
Supporting American Values,460,1151
realtor.com,460,920
Ammar Campa for Congress,447,894
Commissioner of Public Lands Hilary Franz,446,1114
Jay Sekulow,445,1113
Family Research Council,434,1084
J.B. Handley,429,858
Our Next America,425,1061
Breaking Big,418,836
Recall Aaron Persky,415,1038
Donald J. Trump - Keep America Great,405,1013
Eric Greitens,399,998
American Chaos,394,984
Liberty Watch Magazine,384,961
No On Prop 10 - Stop the Housing Freeze,377,943
Eric Bolling,368,735
Convention of States,365,729
Joe Walsh,363,907
Balance US,350,875
Kevin Yoder,350,700
Matt Flynn,330,826
PP Pennsylvania Advocates,329,822
The Real Mike DeWine,328,820
American AF,326,651
Humane Society International,312,623
We Raise Foundation,308,616
Dr. Robert Jeffress,307,615
Melinda Gates,293,585
Annie Kuster,291,581
St. Martin's Press,289,578
No Prop 8 - Stop the Dangerous Dialysis Prop,288,575
Progress News Network,286,716
Keep Kids Safe,282,706
The Humane Society of the United States,277,692
LemonyTree,274,548
Private Briefing,273,546
You Should Know Florida,269,538
Susan Hutchison,265,530
Yes on 104,263,526
Curiosity+Heroin,256,640
"Manly, Stewart & Finaldi",256,512
Fight NH Addiction,251,626
Donna Shalala for Congress,249,622
Bryan Cranston,248,619
Freedom for All Americans,247,618
Beto O'Rourke,246,491
Tracie West for Alabama Board of Education,245,489
Julio Gonzalez for Congress,241,601
Total Wealth Research,238,595
Dennis Prager,236,472
Chris DePizzo,234,585
The Soldier Network,233,581
Mad World News,232,464
AARP Advocates,229,459
Donald J. Trump - USA,226,565
Seniors Speak Out,225,450
Judicial Crisis Network,222,556
Angus King,219,438
Clear the Air,216,433
RALI Indiana,213,533
Newsmax Health,213,425
Charlie Kirk,209,521
Ron DeSantis,208,416
Guy Furay - GUY4Congress - Vote For Guy,208,416
Domestic Steel,205,511
SumOfUs,204,408
David Belle Isle,191,381
The Daily CO,189,473
UPROXX News,185,369
First Home PA,184,461
Conservative Tribune,184,369
NRA - National Rifle Association of America,184,367
New Yorkers Together,181,453
Rossi for Himself,181,451
George Franklin,180,360
The Greenlining Institute,178,356
Andrea Fischer Newman,177,355
Dan Koh,176,351
Saul Cohen For Kings County Judge,174,348
Pennsylvania Values,174,348
Speak Out Central New York,171,427
American Action News,171,343
Tony Rackauckas,169,338
Voices for Utah Children,169,337
Senator Tim Sheldon,166,333
Rep. Ted Lieu,166,332
Ohio Newswire,166,332
Claire McCaskill,165,329
Blue Shield of California,165,329
Daniel Hebreard,161,321
Travis Grantham for AZ House LD12,160,319
Personal Liberty,157,315
Can We Trust Scott Taylor,157,314
Beth Harwell,156,390
Concealed Carry,155,309
NowThis,153,306
Marsy's Law for North Carolina,153,305
The Fighting for Families Fund,151,376
Tennessee Secretary of State,150,374
Cisneros for Congress,149,373
Mayor Philip Levine,149,299
"Imprimis, a Publication of Hillsdale College",149,298
Dean Young for Alabama,148,296
Make America Great Again - Republican,147,294
Smart Cities Prevail,147,293
California Consumer Privacy Act,147,293
Bernie Sanders,146,293
Arizonans for a Better Tomorrow,146,291
Congressman Markwayne Mullin,145,291
People United for Privacy,144,288
Lindsey Graham,143,286
Scott Schwab for Secretary of State,142,284
Big Cat Rescue,139,347
YouGov,139,279
Independent Voter,139,277
California Policy Center,138,277
SEIU California,138,275
Kelda Roys,135,338
Millionaire Claire,135,271
Yangming,135,270
Media Research Center,135,270
Tom Cullerton for State Senate,134,335
CFGA Wisconsin,134,334
Facts and Logic about the Middle East,134,268
The Collective PAC,134,267
WAPG PAC,132,263
Medi-Share,131,262
American Conservative Union,131,262
Jimmy Patronis,130,260
Alley Cat Allies,129,259
Protect Arizona Taxpayers,129,257
Our Flag Our Country,128,255
Michigan Republican Party,128,255
Andrew Gillum,128,255
Chris J Cate,126,252
Virginia Consumer Healthcare Alliance,125,249
Mike Johnston,124,310
Protect Colorado,123,308
John Ward,122,244
Brian Watson for CO Treasurer,120,240
Latino Victory,119,296
Dan Fisher for Governor,119,238
Claire Doesn't Care,117,292
No on SoccerCity,115,230
Arizona Game & Fish Department,115,230
Votantes Para Un Cambio En La Florida,114,228
Ted Cruz,114,228
Josh Zakim,113,226
Dayna Polehanki Democrat for Michigan State Senate,113,226
American History TV,112,224
Mic Dispatch,112,223
Arizona Speaker Series,111,276
The Nature Conservancy Sustainable Agriculture,110,221
Free to Teach,110,220
Congressman Mo Brooks,110,220
National Association of Home Builders,109,219
Likewise,109,218
Lambda Legal,108,215
Meet the Real Troy Balderson,107,533
Indiana Secretary of State Connie Lawson,107,215
Raja for Congress,106,212
Brian Kemp,106,212
Nelson Faerber for Secretary of State,105,262
Make Healthcare Affordable Coalition,105,211
Elect Gerald Wilkerson For Duval County Judge,105,209
Leah Vukmir,103,517
Lady Parts Justice League,103,207
Joe Neguse for Congress,103,207
Brandon Peters for U.S. Congress,102,203
Government Accountability & Oversight,101,202
