Donald J. Trump,169581000,607576171
Beto O'Rourke,154378000,403103217
4ocean,72503000,165053101
PragerU,66838000,150769072
Planned Parenthood,62534000,163832075
ACLU,61361000,163730818
Concealed Online,55016000,153753795
Solar Energy Today,54646000,149419619
National Republican Congressional Committee,50800000,139554087
Tom Steyer,49348000,126733119
MO Research,49212000,124252582
Sierra Club,45852000,114647003
Planned Parenthood Action,41570000,114192366
NO on 3,41471000,99735868
MoveOn,40449000,114248058
Andrew Cuomo,40281000,94112120
NextGen America,37495000,105621189
Everytown for Gun Safety,37337000,102406252
Judicial Watch,36201000,81701483
American AF,34586000,91070846
The Daily Show,34506000,82308275
United States Constitution,34067000,90103273
Alliance for a Better Minnesota,33652000,87055247
NumbersUSA,31512000,72008576
ExxonMobil,30777000,79979040
Working For Us,30690000,96787715
Florida Knows Best,28408000,94406658
Penzeys Spices,28029000,76961490
Reform Austin,27906000,66692645
Claire McCaskill,27308000,69581691
Elizabeth Warren,27246000,78694176
Americans for Prosperity,26527000,71505925
NRA - National Rifle Association of America,25808000,60829250
Democrats,25785000,83090389
Hoosier Country,24904000,76957650
End Citizens United,24645000,67370032
NEA Today,24006000,57601282
International Rescue Committee,23936000,61557535
It’s Our America,23934000,70235963
JB Pritzker,23542000,58823647
Kamala Harris,22837000,78887136
Swing Left,22304000,65299656
Care2,22193000,58493319
No Prop 8 - Stop the Dangerous Dialysis Prop,22121000,50817598
Ted Cruz,21978000,49851648
Andrew Gillum,21259000,55097912
"I'll go ahead and keep my guns, Thanks",20210000,44939785
NRATV,20162000,46935712
One Nation,19889000,55816479
Stacey Abrams,19776000,55472250
We The People Holsters,19745000,50671132
Heidi Heitkamp,19421000,52215107
Missouri's Voice,19396000,54563490
Ben Shapiro,19191000,46873446
Conservative Gear,19075000,60374663
Nuestra Florida,18240000,48356909
Restoration PAC,18088000,51148609
Bill Nelson,17665000,44532627
Tim Walz for Governor,17649000,43632426
Turning Point USA,17502000,43802095
Ben & Jerry's,17436000,43005235
Kirsten Gillibrand,16774000,42807925
Human Rights Campaign,16733000,50817702
YES on 127: Clean Energy for a Healthy Arizona,16636000,39064663
NowThis Politics,16511000,35704887
Dishonest Dean Heller,16464000,40392280
Humane Society International,16430000,39007699
NRDC,16415000,44284781
Michigan Leadership Committee,15990000,44309817
Sandy Hook Promise,15988000,36764690
Priorities USA Action,15967000,47977343
Jay Gonzalez,15672000,48260620
Shareblue Media,15309000,49075626
Federation for American Immigration Reform,15218000,33370827
Andrew Janz,14983000,42478814
Jared Polis,14811000,45966710
Fahrenheit 11/9,14657000,35008584
Congressional Leadership Fund,14489000,42213949
ClearPath Action Fund,14183000,38429142
Defend Birth Control,14057000,35166384
Richard Cordray,13233000,32244548
FutureinAmerica,13161000,42644689
Civiqs,12903000,33409110
Independent Voter,12897000,37902665
Rauner Failed Me,12778000,28916863
Rick Scott Is Not For Florida,12615000,30543586
The Wilderness Society,12528000,31715340
"Yes on 3, the Energy Choice Initiative",12285000,28549818
NARAL Pro-Choice America,12251000,39057348
Keep Birth Control Affordable,12145000,29141782
Brian Kemp,12089000,29165785
Sand Cloud,12057000,30862777
Martha McSally,12046000,27308653
Phil Bredesen,11843000,38057824
Charlie Kirk,11785000,25615850
Michigan Families for Economic Prosperity,11760000,32242306
Living Free,11704000,33587251
House Majority PAC,11643000,25588884
No Prop 6,11265000,26075897
Orman for Kansas,11207000,26507642
Our Lives Our Vote,11202000,31295229
Judicial Crisis Network,11128000,25046910
UAW International Union,10899000,27977532
Shri Thanedar,10751000,26069746
Keep Them Accountable,10724000,41100969
Winning For Women,10462000,32655857
John Cox for Governor 2018,10416000,22697883
Adam Putnam,10395000,29137003
Boredom Therapy,10316000,26953154
Ron DeSantis,10307000,25107690
Alliance Defending Freedom,10153000,26000167
Stand for the 2nd Amendment,10105000,28193249
Tom Wolf,10088000,26526430
Our Flag Our Country,10027000,30519716
Color Of Change,9988000,26828670
Progress News Network,9981000,23600814
Randy Boyd,9952000,22748825
Demand Justice,9940000,25458197
Proud Right Winger,9931000,30588190
World Wildlife Fund,9890000,24568478
TIDAL,9851000,24408440
League of Conservation Voters,9696000,25227873
"Students, Parents, and Teachers Supporting Marshall Tuck for Superintendent",9532000,23333673
Scott Walker,9340000,22761692
USA for UNHCR,9300000,25898978
Circa,9251000,31831237
Debbie Stabenow,9088000,23128518
Celebrity Voice Changer,9034000,20120765
NC Conservation Network,8988000,20742852
Arizonans 4 Affordable Electricity,8963000,22383998
Color Of Change PAC,8959000,29581736
SoCal Health Care Coalition,8956000,24131566
Convention of States,8956000,21278826
Women For Civility,8932000,26220393
Center for Biological Diversity,8836000,21913616
BRITE CA,8794000,19583901
CARE,8774000,26043753
AFL-CIO,8758000,21795615
The Humane Society of the United States,8733000,20908850
With Honor,8564000,19907812
Be A Hero,8562000,26986193
Progress Michigan,8555000,33900882
Marsy's Law for Florida,8534000,19167928
Mayor Philip Levine,8484000,20853740
Mic,8473000,18791892
Kim Reynolds,8456000,19704932
Jay Sekulow,8428000,19215911
Philadelphians for a Fair Future,8420000,19224906
Yes On 1631,8371000,22755263
Levi's,8320000,17800968
AARP Advocates,8306000,19446904
The Young Turks,8298000,27270086
Senate Leadership Fund,8290000,25764942
Marsy's Law for Oklahoma SQ 794,8248000,18154924
Indivisible Guide,8229000,26317154
Voters - Not Politicians,8215000,20704664
Abdul El-Sayed,8188000,23611781
Alliance for Climate Education,8184000,19918604
Erase The Hate,8123000,18702832
Ocean Conservancy,8106000,31110900
NowThis,8048000,18137921
Yes 4 Proposition 4,8035000,19911709
"Imprimis, a Publication of Hillsdale College",8025000,19795656
MJ for Texas,7991000,21524274
Newsy,7974000,19071855
Better With Age,7968000,24209109
Marsha Blackburn,7955000,19921656
FreedomWorks,7951000,21541136
Progressive Turnout Project,7890000,18566673
Marsy's Law for North Carolina,7872000,17616897
Ned Lamont,7814000,19326638
Greenpeace USA,7810000,27125110
Bob Casey,7779000,18396600
The Joe You Don't Know,7765000,19751494
Finish the Ballot,7731000,22336020
America First Policies,7685000,35185909
Maryland Together We Rise,7667000,17289926
Gretchen Whitmer,7665000,19590750
Independence USA,7649000,28451414
Brut,7625000,17771751
Larry Hogan,7622000,19008779
HILL TV,7609000,26006661
Giving Brush,7593000,20536786
Sean Patrick Maloney,7579000,19910468
45 Hats,7449000,25053000
Jon Tester,7449000,23448028
The Nature Conservancy,7431000,19485512
Americans for Prosperity Foundation,7419000,16255918
Powerpac GA,7416000,17015940
Zephyr Teachout,7412000,22718502
Bruce Rauner,7359000,20841232
Energy Citizens,7353000,21164632
Taxotere Lawsuit Information,7346000,17320802
Amnesty International USA,7292000,23611282
Arizona Democratic Legislative Campaign Committee,7268000,24216307
Coloradans for Fairness,7243000,20411752
John Legere,7179000,16377927
SEIU,7137000,17716726
Human Coalition,7123000,20908224
When We All Vote,7102000,20636344
Jeff Merkley,7076000,20916538
The Nib,7023000,20652109
Michigan Republican Party,7014000,18011894
NRDC Action Fund,6979000,20602757
AFP Action,6962000,18081758
National Democratic Training Committee,6905000,15826898
Sherrod Brown,6879000,16737877
Joe Kennedy III,6864000,19273034
VICELAND,6839000,16787710
Everybody Is For Amendment 2,6828000,17795304
The Western Journal,6809000,20260188
Greg Abbott,6783000,18049619
Save Idaho Horse Racing,6736000,22409753
Jeff Johnson,6689000,17658572
National Democratic Redistricting Committee,6675000,21811736
Jacky Rosen for Nevada,6673000,21594198
Morrisey's Record,6617000,15360877
Bernie Sanders,6548000,18255442
