,95777
"Donald J. Trump for President, Inc.",39574
the Trump Make America Great Again Committee,39388
the Republican National Committee,23216
the Democratic National Committee,19502
Solar Programs In Ca Counties,15572
Kamala Harris for Senate,13212
Concealed Online,10857
Priorities USA Action and SMP. Not authorized by any candidate or candidate's committee.,10578
TZ Insurance Solutions,8793
Armed American Supply,7972
"REGULATED FUNDS BY MICHIGAN PLANNED PARENTHOOD VOTES SUPER PAC, P.O. BOX 15041, LANSING, MI 48901. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE.",7575
Home Financial Helper No Cost Solar Program,7505
Massoumi Web Holdings LLC,7500
California Counties Solar Program,7500
LifeZette Inc.,7499
Dinesh D'Souza,7419
Stand Up America,7058
NV Counties Solar Program,6605
Ocean Conservancy,6541
MoveOn.org Civic Action.,6398
AZ Counties Solar Program,6386
Nevada Counties Solar Program,6286
Priorities USA Action and SMP. (302) 469-3772. (202) 871-9255. Not authorized by any candidate or candidate's committee.,6137
Beto for Texas,6081
the ACLU,5771
Need to Impeach,5590
NARAL Pro-Choice America,5325
the Voter Participation Center,5104
the NRCC and not authorized by any candidate or candidate's committee.,5010
Planned Parenthood Federation of America,4877
Swing Left. Not authorized by any candidate or candidate's committee.,4577
Elizabeth for MA,4551
CRTV,4405
Progress Michigan,4387
The Hill,4380
NextGen Climate Action Committee,4168
Reproaction,4139
DCCC,4132
The National Wildlife Federation,3788
SOLAR ENERGY TODAY,3738
Stacey Abrams for Governor,3617
"Winning For Women, Inc.",3469
Greenpeace USA,3398
Science for Humans and Freedom Institute,3388
News For Democracy,3039
Environmental Defense Fund,3021
"AAF Nation, LLC",2997
The Southern Environmental Law Center ,2967
House Majority PAC and Priorities USA Action. Not authorized by any candidate or candidate's committee.,2852
The Gonzalez Committee,2845
Bredesen for Senate,2843
Alliance for a Better Minnesota Action Fund,2829
Planned Parenthood Action Fund.,2575
The Western Journal,2472
Protect the House,2469
"Donald J. Trump for President, Inc",2462
Kentucky Family Values,2374
"PAID FOR WITH REGULATED FUNDS BY MICHIGAN PLANNED PARENTHOOD VOTES SUPER PAC, P.O. BOX 15041, LANSING, MI 48901. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE.",2262
Conservative Gear,2250
Sinema for Arizona,2245
The Dude's Designs,2234
Tammy Baldwin for Senate,2197
People United for Privacy,2173
#VoteTogether,2171
Congressional Leadership Fund,2143
Everytown for Gun Safety Action Fund. Not authorized by any candidate or candidate’s committee.,2096
the National Democratic Redistricting Committee,2038
PrintedKicks,2035
Sharice for Congress,2014
CARE,1985
"America First Action, Inc.",1967
"the Committee to Save Idaho Horse Racing, Create Jobs, and Fund Public Schools",1956
Polis for Colorado,1948
Indivisible Action,1946
The Climate Reality Project,1924
Priorities USA Action. Not authorized by any candidate or candidate's committee.,1905
WPA Intelligence,1880
the National Network of Abortion Funds,1866
Nevada Priorities.,1856
45 Hats,1847
and Authorized by  Andrew Janz for Congress.,1825
Liuba for Congress ,1807
Solar Programs In AZ Counties,1801
Montanans for Tester,1794
Oceana,1766
ExxonMobil,1759
Everytown for Gun Safety Action Fund,1759
Our Lives Our Vote,1755
TYT Network,1740
Trust Women,1738
