Steve Marshall,1563000,3406957
Judicial Crisis Network,1505000,3509993
Walt Maddox,1115780,3091679
Will Ainsworth,1008000,2580948
Twinkle Andress Cavanaugh,891922,2276522
Troy King for Attorney General,857000,2142966
Jay Mitchell for Alabama Supreme Court,715000,1759994
Mallory Hagan for Congress,578153,2397712
Alabama for Healthy Families,576000,1705943
Southern Environmental Law Center,506362,2044764
Alli for Alabama,486997,1455909
Scott Dawson Republican for Governor,434961,1111781
God Bless Justice Tom Parker,429000,1133987
Kay Ivey,411000,1056994
JeffCo Metro Area Crime Center,408000,927990
Stand with Judge Roy Moore,402000,1080981
Ten Commandments Amendment,389999,1237945
Anderson for Criminal Appeals,389000,1001981
Tabitha Isner for Congress,343603,1047091
Andrew Jones for Alabama Senate,332960,918893
Americans for Prosperity,331169,1037526
Randy Price,324985,869877
Bridge To The Beach,320956,775739
Garlan Gudger Jr.,317994,1087868
Elect Christy Edwards,300000,699998
Re-Elect Mike Hale,266998,1129956
Johnny Mack Morrow For State Senate,264000,936959
Alabama Political Reporter,261000,704990
Lee Auman for U.S. Congress,260953,1158720
Swamp Drainers of Alabama,230000,550993
Chris Elliott for State Senate,223801,789263
Bobby Bright - Republican for Congress,219428,776318
Phillip Pettus State Representative District 1,211964,539905
Gerald Dial for AG & Industries,198954,531749
Caroline Self,195143,825117
Alabama Democratic Victory,184928,600738
Senator Paul Bussman,183000,736980
Satterwhite for Judge,181960,662812
Spiro for District Court Judge,171936,656652
Gary Palmer for Alabama,168000,735976
Support Nick Smith for Walker County Sheriff,165895,677404
"Andrew Sorrell for State House, District 3",162974,564881
Jeremy H. Oden,161522,366946
Lashunda Scales,160000,694976
Dean Young for Alabama,160000,320995
"Sarah Brown  For Our Home Town  Auburn, Alabama",152000,552982
Mike Segrest,151000,649976
Judge Sarah Stewart for Supreme Court,146000,414992
Mike Rogers,140783,495631
Willie Gray for House 102,139810,569040
Auto Alliance,137000,339991
Carl Carter for Alabama Senate 11,134000,462944
