No A La Propuesta 8,500000
Jeff Bleich for Lieutenant Governor 2018,500000
Coalition for Affordable Housing,500000
California Calls,500000
the Committee to Recall Judge Persky,200000
"Yes on Prop 6, Repeal the Gas Tax. Committee major funding from California Republican Party, Walters for Congress and Making Investments Majority Insured PAC, Kevin McCarthy for Congress.",200000
Vidak for Senate 2018,200000
Re-Elect Sheriff Gore 2018,200000
Pharmaceutical Care Management Association,200000
"Paid for by Michael L. Magasinn for Judge 2018, FPPC #1385514",200000
Friends of Joy Silver for Senate 2018,200000
"Enact Universal Healthcare for CA, Inc.",200000
Defend Our Future,200000
Brian Maienschein for Assembly 2018,200000
Baldwin-Kennedy for Assembly 44 in 2018,200000
"Families & Teachers for Antonio Villaraigosa for Governor 2018, sponsored by California Charter Schools Association Advocates. Committee major funding from Reed Hastings, Eli Broad and Michael Bloomberg. Not authorized by a candidate or a committee controlled by a candidate.",198790
"Public Land, Public Benefit, No on Measure E, a coalition of San Diego taxpayers, community planners, local business, and education, park and environmental advocates, opposed to SoccerCity. Supported by Mission Valley property owners. Committee major funding from H.G. Fenton Company and Sudberry Properties.",181451
Pick Justice,163102
the WNBA,100000
Young Kim for Congress,100000
University of California,100000
UnidosUS Action Fund,100000
The Cruz Law Office,100000
The Carpet and Rug Institute,100000
Terry Withrow For County Supervisor,100000
"PowerPACPlus, not authorized by any candidate or candidate's committee",100000
Organization United for Respect,100000
"National City Residents for Fair & Equitable Housing, No On W",100000
Mike Gardner for Supervisor 2018,100000
"John Manly, Manly, Stewart & Finaldi.",100000
John Chiang for Governor 2018,100000
Home Improvement Deal,100000
Future in America,100000
Dr. Richard Pan for Senate 2018 FPPC ID #1374058,100000
Committee to Elect Michael Wilson Indio City Council 2018,100000
Charter Public Schools PAC,100000
California Policy Center,100000
CARE Action Now. Not authorized by any candidate or candidate’s committee.,100000
Baker for Assembly 2018,100000
Anaheim Residents for Neighborhoods and Jobs – Yes on Measures J & K. Committee major funding from Wincome USA and affiliated entities.,100000
AIDS Healthcare Foundation,100000
Doug Applegate for Congress,99981
Protect Coyote Valley,99980
"Huntington Beach Firefighters Association PAC. 18411 Gothard Street, Suite H. Huntington Beach, CA 92648.  Not authorized by a candidate or a committee controlled by a candidate.",99873
Seniors Speak Out,99803
"Paid for by San Franciscans Against Domestic Violence, Opposing Jane Kim for Mayor 2018. Committee major funding from:   Gayle Conway   This advertisement was not authorized by a candidate or committee controlled by a candidate. Financial disclosures are available at sfethics.",99466
the friends of Damrell for Supervisor 2018.,99009
the Physicians Committee for Responsible Medicine,50000
Yes on T and V for a Safer Stronger San Jose.,50000
"Yes 4 Children's Hospitals, Yes on Proposition 4, sponsored by California Children's Hospital Association, committee major funding from Children's Hospital Los Angeles, Valley Children's Hospital, Children's Hospital of Orange County",50000
Weste for City Council 2018 ID# 1406208,50000
Villaraigosa for Governor 2018,50000
Tim McGallian for Concord City Council ,50000
The Mackinac Center for Public Policy,50000
The Humanitarian Programs Department of the Church of Scientology International,50000
The Humane Society of the United States,50000
The Doug LaMalfa Committee,50000
Ted Howze for Congress,50000
Supporters of Ted Howze,50000
"Support Our Anaheim Resort Area PAC. Committee major funding from Disney Worldwide Services, Inc. and affiliated entities.  Not authorized by a candidate or a committee controlled by a candidate.",50000
"SoCal Health Care Coalition, a Project of Sixteen Thirty Fund. Not authorized by any candidate or candidate's committee.",50000
"STOP the Utility Bailout - a coalition of homeowners' insurance companies who are committed to upholding liability laws that protect wildfire survivors, homeowners, communities and businesses and holding utilities accountable for the fires they cause.",50000
SEIU on behalf of iAmerica Action,50000
Placer County Impact Republicans,50000
Phillips for DA 2018,50000
Peace Officers Research Association of California Issues PAC,50000
Paid for by Jason Baker for Supervisor 2018 FPPC #1392797,50000
NextGen Climate Action,50000
National Shooting Sports Foundation,50000
Mauro Archer and Associates,50000
Los Angeles Property Management Group,50000
"Kern County Public Safety Committee supporting Heinle for Supervisor 2018, sponsored by the Kern County Firefighters Union Local 1301.  Not authorized by a candidate or a committee controlled by a candidate.",50000
John Trasviña SF School Board 2018,50000
GOAL: San Diegans for the River Park School Funding Soccer and a Tax-Free Stadium,50000
Familias Unidas De California,50000
Costa Mesa Firefighters Association Local 1465 Political Action Committee,50000
Committe Narvaez For Napa City Council 2018,50000
Christian L. Valiente Committee To Elect For Congress,50000
Chris Blaylock,50000
California Department of Alcoholic Beverage Control,50000
Assemblymen Devon Mathis ,50000
Ammar Campa-Najjar for Congress.,50000
"Office of Rep. Raul Ruiz, M.D.",49992
"Anthony Lewis for Judge of the Los Angeles Superior Court, Office No. 63 2018",49953
Harrington For Sheriff #1397268,49924
Paid for by Jeff Sheehy for Supervisor June 2018. Financial disclosures are available at the San Francisco Ethics Commission website.,49893
No on Prop E – Stop the Prohibition Proposition,49836
"Los Angeles Forward –  Councilmember Mike Bonin’s Ballot Measure Committee 777 S. Figueroa Street, Suite 4050 Los Angeles, CA 90017 ",49499
