Jared Polis,"[8714746, 28483455]"
Coloradans for Fairness,"[6557713, 17208982]"
Coloradans for Responsible Energy Development,"[5718000, 12394933]"
Protect Colorado,"[5629000, 12249960]"
Noble Energy Colorado,"[3250997, 8327869]"
Teachers for Cary Kennedy,"[2930000, 7846794]"
The Daily CO,"[2906000, 7243945]"
South Metro Denver Chamber,"[2150000, 5532936]"
Colorado Values Project,"[2087241, 6324874]"
Brian Watson for CO Treasurer,"[1999000, 6090809]"
Colorado Chronicle,"[1978000, 5262959]"
No On Prop 112,"[1937000, 4227949]"
Jason Crow for Congress,"[1743000, 5583826]"
Americans for Prosperity - Colorado,"[1411879, 5256166]"
UChooseCo,"[1400000, 2999996]"
Donna Lynne,"[1385000, 3209979]"
Senate Majority Fund,"[1327000, 4469742]"
Walker Stapleton,"[1198000, 4355866]"
Discover Charters,"[1183000, 2565985]"
Diane Mitsch Bush for Colorado CD3,"[1131896, 4118569]"
Phil Weiser,"[1077060, 3538907]"
Stand for Children - Colorado,"[1018000, 2547972]"
MO Research,"[974944, 2309827]"
Mike Johnston,"[960000, 2530742]"
Energy Citizens,"[923910, 2040008]"
Our Colorado Values,"[896000, 3955737]"
SEIU Local 105,"[872995, 3210804]"
Dave Young for Colorado State Treasurer,"[727971, 2025675]"
Ed Perlmutter,"[711000, 1569972]"
George Brauchler for Colorado,"[697389, 2212229]"
Colorado Way,"[687998, 2312879]"
Shareblue Media,"[608591, 1984133]"
Center for Western Priorities,"[584644, 1337201]"
End Citizens United,"[582338, 1621242]"
Unite America,"[516624, 2487180]"
ProgressNow Colorado,"[480045, 2364491]"
Flood Control District,"[440267, 1176298]"
Colorado Way of Life,"[431645, 1495235]"
The Wilderness Society,"[430440, 1221884]"
Colorado Organization for Latina Opportunity and Reproductive Rights,"[414000, 1746748]"
Victor Mitchell,"[412763, 1137423]"
Conservation Colorado,"[394000, 1442897]"
ExxonMobil,"[390240, 954028]"
Independent Voter,"[377588, 1293161]"
NARAL Pro-Choice America,"[359154, 940182]"
Coloradans for Fiscal Responsibility,"[350000, 799997]"
Left AF,"[345000, 1259977]"
Coalition of Ratepayers,"[316000, 884989]"
No Labels Action,"[310000, 649996]"
Colorado Democratic Party,"[289064, 1331235]"
Denver Elections,"[288000, 1108952]"
Reaching the Summit: Coloradans for Mike Johnston,"[262975, 1338441]"
NRDC,"[246720, 622223]"
Our Public Lands,"[245000, 1063724]"
Beautiful Colorado,"[240000, 599992]"
Peter Smith Independent for SD 32,"[239909, 670812]"
Michael Dougherty,"[233000, 948924]"
Military Network,"[232534, 572823]"
Power the Future,"[231305, 656518]"
One Colorado,"[229000, 701956]"
Better Colorado Now,"[221000, 626986]"
Job Creators Network,"[220251, 541373]"
Everytown for Gun Safety,"[194099, 799246]"
Let Colorado Vote,"[191143, 480329]"
Lesley Dahlkemper,"[191000, 1112563]"
Our Lives Our Vote,"[191000, 812834]"
Bernard Douthit for State Treasurer,"[165000, 472973]"
POW Action Fund,"[163247, 519223]"
Abolish Slavery Colorado,"[162000, 360994]"
Auto Alliance,"[160000, 501990]"
GUNVOTE,"[151003, 426003]"
Senator Beth Martinez Humenik,"[147000, 409981]"
Ray Scott for Colorado,"[141000, 560956]"
Milo Schwab for Colorado,"[136932, 451417]"
NRCC IE,"[135000, 578945]"
MoveOn,"[134961, 393198]"
Demand Justice,"[134959, 535206]"
NEA Today,"[134137, 402060]"
"Great Schools, Thriving Communities","[133000, 591975]"
Colorado Association of REALTORS,"[130000, 350994]"
Solar Energy Today,"[117333, 386376]"
JeffCo Proud,"[117000, 461932]"
Toren For Colorado,"[117000, 406983]"
Rhea For Republican Renewal,"[116999, 496972]"
Patagonia,"[112333, 501649]"
Colorado Department of Transportation,"[111999, 229992]"
Senate Majority Fund IEC,"[108000, 577806]"
Right To Know Colorado,"[107000, 350961]"
DecideColorado,"[107000, 340989]"
Mike Coffman,"[106972, 279939]"
Bobian for Colorado House,"[104000, 313984]"
Joe Neguse for Congress,"[103762, 445459]"
Levi for Colorado,"[103000, 485985]"
National Shooting Sports Foundation | NSSF,"[100002, 200001]"
Heartland Institute,"[100000, 448950]"
The Brazen Project,"[100000, 199999]"
Unidos US Action Fund,"[100000, 199998]"
Mile High Medicare,"[100000, 199998]"
Human Rights Campaign,"[98724, 328607]"
Keep Abortion Safe,"[98205, 386260]"
AFPF Colorado,"[96000, 538915]"
Lesley for CU Regent,"[95989, 469816]"
Our Flag Our Country,"[95089, 310173]"
Giffords,"[91329, 281417]"
National Wildlife Federation Action Fund,"[91000, 275992]"
