"Protecting Colorado's Environment, Economy, and Energy Independence",500000
"the office of Wayne Willams, Colorado Secretary of State",200000
State Solutions Incorporated.,200000
Republican Governors Association (RGA) Colorado PAC and not authorized by any candidate.,200000
News For Democracy,200000
Likewise,200000
Coloradans for Fiscal Responsibility,200000
The Brazen Project,100000
"MO Research, Inc.",100000
George 2018,100000
Colorado Canyons Association,100000
Coloradans for Responsible Energy Development,100000
Bold Colorado and not authorized by any candidate's committee.,100000
Better Colorado Now IEC. Not paid for or authorized by any candidate or candidate committee,100000
National Education Association,70807
Vet Voice Foundation,50000
UnidosUS Action Fund,50000
"National Shooting Sports Foundation, Inc.",50000
National Shooting Sports Foundation,50000
March For Our Lives,50000
Humane Society Legislative Fund,50000
Colorado Fiscal Institute,50000
Colorado Department of Human Services,50000
COLORADO FORWARD to DECIDE COLORADO,50000
Vote Tipton,49947
the Susie Velasquez for Weld County Clerk and Recorder Campaign,10000
the Office of Congressman Jared Polis,10000
Yes on 73,10000
Xcel Energy,10000
Wildlife Protection Solutions,10000
United to Change our Gun Laws and not authorized by any candidate or candidate’s committee.,10000
Tom Steyer,10000
The Nature Conservancy,10000
The National Wildlife Federation ,10000
The Committee to Elect Jonathan Ambler,10000
The Centennial Institute,10000
The Auto Alliance,10000
Texas Public Policy Foundation ,10000
Susan for Colorado,10000
Stop Buying our Elections,10000
Stapleton for Colorado,10000
Spirit of Colorado,10000
South Metro Denver Chamber of Commerce,10000
Sherrie Peif,10000
Senate Majority Fund,10000
Prosperity Denver,10000
Power The Future,10000
Phil Weiser for Colorado.,10000
Peter Smith | Independent for Colorado D32,10000
Patrick McIntire for Colorado State Senate,10000
Paid for by Americans for Prosperity,10000
Noble Energy,10000
No Labels Action,10000
Mile High Comics,10000
Michael R Castano,10000
Michael Dougherty for District Attorney,10000
Lynne for Colorado,10000
Lofgren for Lochbuie,10000
Lisa Culpepper for Adams County Treasurer 2018,10000
Levi For Colorado,10000
Jeff Toborg for Parker Town Council,10000
Jeff Shrader for JeffCo Sheriff,10000
Jason Crow for Congress,10000
Hispanic Access Foundation,10000
Hawthorne Gardening Co. ,10000
Gary Wockner,10000
Fuel Freedom Foundation,10000
Food & Water Watch,10000
Finerpoints Accounting,10000
Farmers Alliance for Integrated Resources,10000
EveryLibrary | FEIN 46-1534149,10000
El Paso County Democratic Party,10000
"Douglas County Conservatives and not authorized by any candidate or candidate’s committee.  Pat Nohavec, Registered Agent.",10000
Discover Charters,10000
"Denver Area Labor Federation, AFL-CIO",10000
Dave Gill for Treasurer,10000
Dan Thurlow / 7,10000
Colorado Rural Energy Action Council,10000
Colorado Organization for Latina Opportunity and Reproductive Rights,10000
Colorado Liberty PAC,10000
Colorado Campaign for Life,10000
Colorado Association of REALTORS®,10000
Coloradans For Victor Mitchell,10000
City and County of Denver Government,10000
Citizen Action for Safe Energy,10000
Center for American Progress Action Fund,10000
COMMITTEE TO ELECT JOSH ZYGIELBAUM,10000
Buck for Colorado,10000
Bobian fo Colorado House,10000
Bernard Douthit For State Treasurer,10000
Beautiful Colorado LLC,10000
Backcountry Hunters & Anglers,10000
Axios,10000
Airbnb,10000
Abolish Slavery Colorado ,10000
ACLU of Colorado,10000
McCormick for Congress,9996
End Citizens United Nonfederal,8592
Friends of the Earth,8031
"4Ocean, LLC",5882
Instagram,5321
McCaskill for Missouri,5288
"TTG, Inc",5047
Willmeng For Grassroots Power,5000
USADefend Immigration,5000
Truth & Liberty Coalition,5000
Thurston For Mayor,5000
"The Teachers For Kennedy Independent Expenditure Committee, Ashley Stevens Registered Agent. Not Authorized By Any Candidate.",5000
The Tax You Don't Pay Committee,5000
The Public Works Department ,5000
Story for Colorado,5000
Schwab for Colorado,5000
Save Lakewood,5000
