David Stemerman,3759722,9492494
Sue Hatfield for CT Attorney General,2514998,6701774
Ned Lamont,1087000,3166942
Joe Ganim,846973,2755804
Dita Bhargava,806000,2439954
William Tong,804910,1700765
Bob Stefanowski,752999,2397912
Harry Arora,641373,1649610
Mark Boughton,591000,1484963
Stevenson4CT,572000,1715951
Steve Obsitnik,512848,1887081
Joe Markley for Lieutenant Governor,444764,1478444
Linares for Treasurer,375000,929967
Solar Energy Today,222851,953910
Erin Stewart,208999,550981
Guy Smith For Connecticut,200981,689437
Civiqs,192678,641369
Your Energy Connecticut,192000,788893
Oz Griebel,170942,676207
Tim Herbst,167000,669976
Change PAC,163592,599496
Marc D'Amelio for State Senate,159000,721947
Jillian Gilchrest,158000,536904
Tony Guerrera,150000,633837
Matt Lesser for State Senate,146845,420598
Matthew Corey for U.S. Senate,143000,715982
Alex Bergstein for CT State Senate,137000,519988
Chris Mattei,107000,479958
Connecticut Term Limits,105000,211996
"Melissa Ziobron, State Senate Candidate",101000,446985
Dominic Rapini,98274,456287
Kraut for CT.,97992,443871
Jim Himes for Congress,89000,271970
Gerald Bosak,83000,385987
"Martha Marx For CT State Senate, District 20",82509,391468
NEA Today,81213,205567
Marisa Manley for Governor,76000,364991
Elizabeth Esty,68951,326728
DuPont for Congress,67580,221432
Monica Tujak Brill for Connecticut State Senate,62000,146989
Reelect Senator Henri Martin,60000,149998
Glastonbury Democratic Town Committee,56000,264993
ExxonMobil,55461,113294
UAW International Union,52615,111085
CTLCV - Connecticut League of Conservation Voters,51988,263930
Michelle Lapine McCabe 2018,50996,112882
"Riley Law, LLC",49790,99579
Michael Ferguson 138,49335,246669
John Flynn for State Representative,44998,349809
Christine Cohen for State Senate,44000,268851
Leaders for a Stronger Connecticut,43000,187989
Arcadia Power,42890,85784
Fishbein for State Representative,42000,213990
9/11 Cancer Fund,41925,87374
Aili McKeen for State Senate,41000,192987
Alex Tiktinsky,41000,155973
Chapman for Secretary of the State,40846,175225
Pat Wilson Pheanious,40000,199996
Live Nation Concerts,39751,177121
Ruby Corby O'Neill,38170,165845
Stop Clinton from Becoming Connecticut's Dumping Ground,38000,100985
Chris Murphy,37951,238633
Coderre 2018,36000,135993
Scott Frantz for State Senate,35355,157391
4ocean,34971,76977
ASPCA,33207,133017
Abrams for State Senate,32000,146988
Colin Hosten 2018,31000,130971
Andrew Cuomo,30653,73221
Senator Kevin Witkos,30000,149997
Michael McLachlan for State Senate,30000,149997
Center for Safe Internet Pharmacies,30000,149997
Michael Winkler,30000,119996
CBIA,28000,1120982
Sandy Hook Promise,26990,63974
Rob Sampson for Senate,26000,85985
Alderman Steve Giacomi,25889,118438
Diane Pagano for State Representative,23000,86992
"Walsh for State Representative, 2018",22000,110995
State Representative Scott Storms,21000,104997
Jill Barry for Connecticut-31st,21000,104997
Get Connected,21000,104997
Phil Young for State Representative,21000,77993
Tony G for Senate,21000,63987
DoSomething.org,20502,102325
Andrea Truppa for Probate Judge 2018,20225,72119
CT Working Families,20000,99998
Candelora for State Rep,20000,69997
Connecticut Progressives,20000,55991
ACLU,19105,50820
"Hugh McKenney - Candidate For State Representative, East Lyme & Salem",19000,91973
