"Hatfield 2018. Loretta Chory, Treasurer. Approved by Susan Hatfield. ",100000
"Dita for CT Treasurer, Diana Sisler Treasurer. Approved by Dita Bhargava",100000
Michelle Lapine McCabe 2018,50000
"Guy Smith for CT.  Vincent Kiernan, Treasurer, Approved by Guy Smith.",50000
9-11CancerFund.com,39793
National Education Association,38668
Global Citizen,11514
Working Families Campaign Committee ,10000
"Witkos 2018, John Vamos, Treasurer. Approved by Kevin Witkos.",10000
"Winkler 2018, Laurie Bajorek, Treasurer. Approved by Michael Winkler.",10000
"Tim for Connecticut 2018. Thomas J. Daly, Treasurer. Approved by Timothy M. Herbst",10000
The Glastonbury Democratic Town Committee.,10000
"THAD FOR CT TREASURER, J. KENNETH NOWELL TREASURER. APPROVED BY THAD GRAY",10000
Ruby Corby-O'Neill for Congress,10000
"Re-elect Senator Henri Martin, Morgan Murphy, Treasurer. Approved by Henri Martin.",10000
"Pat 2018, Danny Eddy, Treasurer. Approved by Pat Wilson Pheanious.",10000
"Norm 2018, Lon Seidman Treasurer, Approved by Norm Needleman",10000
Ned for CT. Richard Smith Treasurer. Approved by Ned Lamont.,10000
"McLachlan 2018. John Whitcom, Treasurer. Approved by Mike McLachlan.",10000
"Mattei for CT, Michael Pare, Treasurer. Approved by Chris Mattei.",10000
"Laura Devlin for State Representative, Loretta Chory, Treasurer. Approved by Laura Devlin.",10000
"Ganim for Governor. Anthony Paoletto, Treasurer.  Approved by Joe Ganim.",10000
Fishbein for Connecticut,10000
"Erin for CT, Valerie R. Marino, Treasurer. Approved by Erin Stewart.",10000
"DAVID STEMERMAN FOR GOVERNOR, INC. HENRY SCHAFFER, TREASURER. APPROVED BY DAVID STEMERMAN.",10000
Corey for Senate,10000
Connecticut Natural Gas and Southern Connecticut Gas,10000
Connecticut Fund for the Environment/Save the Sound,10000
Civiqs,10000
"Cheeseman for the 37th, Lawrence Fitzgerald, Treasurer. Approved by Holly Cheeseman.",10000
"Chapman for Secretary of the State, J. Kenneth Nowell, Treasurer",10000
"Champagne for the 35th. Jordan Chamberlin, Treasurer. Approved by Dan Champagne.",10000
Carney 2018. John Bykso Treasurer. Approved by Devin Carney.,10000
