Tom Carper for Delaware,1658994,4119951
Kerri Evelyn Harris,522324,1947785
Rob Arlett For US Senate,416914,1542434
Ken Simpler for Delaware,329039,1435680
Kathy McGuiness for Auditor,240000,725973
Auto Alliance,236000,665993
Congresswoman Lisa Blunt Rochester,178944,531778
Patients For Affordable Drugs Action,171832,377737
Renee Taschner for Delaware,170998,659972
Kathy Jennings for Attorney General,125000,303916
Gene Truono for US Senate,110979,434932
AARP Delaware,107000,235991
Solar Energy Today,97081,419293
Chris Johnson for Attorney General,79460,353265
Bob Weiner,73645,258177
Shaun King,73343,340703
Delaware House Democrats,71000,272945
Civiqs,67301,309602
Lisa Blunt Rochester,63000,284961
Stephanie Barry,58953,195860
Association for Accessible Medicines,57057,120139
Demand Justice,54861,121769
Ralph Taylor for Representative 31st District,54000,120994
Paradee For State Senate,48000,198978
Krista Griffith For Delaware,41994,186949
Laura Sturgeon,40427,210086
First State Forward,31000,95973
DoSomething.org,30213,150559
Wilmington Love,28351,141753
WITN22Wilm,28000,97981
James Spadola for State Auditor,27990,100927
Mary Ann's List,25787,134772
Guillermina Gonzalez for Delaware,23646,121955
"Elizabeth ""Tizzy"" Lockman for State Senate",22881,102489
Charles Potter Jr. State Representative 1st District,21000,95977
Schwartz & Schwartz,20000,99998
Delaware United,19000,71982
Tim Mullaney for Attorney General,17000,39995
Vote For Bob Mitchell,16798,54259
Steve McCarron,16000,34996
Stephanie Hansen for Senate,15919,82586
Debra Heffernan for the 6th District,15907,66808
NRA Institute for Legislative Action,15408,62016
VoteTogether,15100,60263
Eugenia Thornton Recorder of Deeds,14000,67977
Darius Brown for State Senate,11960,54783
Vote Dave Baker,11826,62091
America First Policies,11709,23914
Hines For State Senate,10556,33658
Delaware Bail Reform - LESS SAFE at the Taxpayers Expense,10000,51997
Freedom for All Americans,10000,50998
Healthy Delaware,10000,49999
Choose Health Delaware,10000,49999
Abuse Guardian,10000,49999
David Anderson,10000,44984
Erin Wienner State Representative,10000,38990
Relevant Seminars,10000,19998
Mike Smith,9676,40244
Donald J. Trump,8344,48624
Anton Andrew for State Representative,8334,27804
Don Allan for Delaware,7998,48971
I.G. Burton - Sussex County Council,7457,39274
Scott Phillips for Sheriff,7000,34993
Elect Justin King,6988,20971
David Carter for NCC Council,6877,43371
Planned Parenthood,6524,16322
Matt Denn,6000,29994
Kathy Beard,5993,32958
American Bail Coalition,5972,14943
Wilmington Democrats,5968,17972
"JC Smith, Master Craftsman",5699,28493
Beau Biden Foundation for the Protection of Children,5654,28268
Comcast,5196,13025
Delaware House Democratic Campaign Committee,5000,31988
Voter Opinion Survey,5000,9999
Delaware Term Limits,5000,9999
Scott Wagner,4951,10818
Kent County Democratic Committee,4000,25990
Friends Of Jean Dowding,4000,20995
New Democracy,3845,19222
ACLU,3814,8971
Yangming,3751,10693
Julie Brewington - Wicomico County Council At Large,3661,10607
Kevin Christophel for 5th District County Council,3434,8625
Everytown for Gun Safety,3165,6968
"Gloucester Township, New Jersey",3034,6103
Vote411 - Delaware,3000,14997
Andy Harris,2803,7031
4ocean,2776,6990
Karl H. Fockler for State's Attorney,2742,13704
Concealed Online,2632,8428
Heidi Heitkamp,2621,5808
Sandy Hook Promise,2543,6085
Beto O'Rourke,2514,5664
McLhinney's Speakeasy Museum & International Market,2400,12001
American AF,2370,6151
We The People Holsters,2333,5579
National Republican Congressional Committee,2118,5641
"I'll go ahead and keep my guns, Thanks",2050,4560
Cooperative Action Network,2007,10028
Ray Seigfried for Delaware State Representative,2000,11996
The Independent Times,2000,9998
Rep. William Carson,2000,9998
Kind to Kids Foundation,2000,9998
Friends of Wilmington Parks,1986,9929
Rep. Ed Osienski,1968,10837
MoveOn,1957,7362
PragerU,1944,4631
ExxonMobil,1890,4154
Delmarva Board Sport Adventures,1857,6992
Peoples Climate Movement,1789,7421
