John Legere,"[1626000, 3515984]"
Team Muriel DC,"[1316000, 3110965]"
AFL-CIO,"[1222000, 2710989]"
PhRMA,"[736244, 1961832]"
"Respect Workers, Respect Voters","[497997, 1774886]"
Americans for Prosperity,"[412423, 1686715]"
EDF Action,"[370998, 904972]"
Coalition for Future Mobility,"[354423, 1134085]"
Mendelson For Chairman,"[323185, 1305427]"
Association of American Railroads,"[284718, 868383]"
Save Our Air Medical Resources,"[277000, 720992]"
Equity Forward,"[255009, 666007]"
Domestic Steel,"[250000, 499997]"
Mayor Bowser's Maternal & Infant Health Summit,"[239000, 999975]"
Ed Lazere for DC Council Chair,"[233000, 714865]"
National Association of Home Builders,"[219006, 497745]"
45Committee,"[213000, 564995]"
CARE Action,"[212439, 443221]"
Andria Thomas,"[211000, 556995]"
Demand Justice,"[205727, 515819]"
STOPP Coalition,"[200000, 499999]"
Main Street Investors Coalition,"[176139, 589253]"
Karl Racine,"[165000, 764939]"
One Fair Wage DC,"[143994, 550250]"
NTK Network,"[141002, 497996]"
The Beer Institute,"[136000, 473979]"
Beto O'Rourke,"[125122, 278117]"
Here for America,"[124887, 443164]"
David Trone,"[124092, 296049]"
Nuclear Energy Institute,"[107999, 481944]"
Solar Rebate,"[107941, 403710]"
Kim R. Ford for Congress,"[102000, 369982]"
Alaska Gasline Development Corporation,"[100000, 199999]"
Make Integrity Great Again,"[100000, 199998]"
American Conservative Union,"[98965, 272934]"
Color Of Change,"[90000, 299995]"
Save Our Tips,"[84821, 231624]"
Lucy McBath for Congress,"[80605, 161768]"
Lisa Hunter for Ward 6,"[74000, 190991]"
Jill Ortman-Fouse for Montgomery County Council,"[69503, 139005]"
Partnership for Conservation,"[68165, 162991]"
Protect 30,"[68000, 301982]"
It's Time D.C.,"[66000, 316961]"
National Partnership for Women & Families,"[65799, 149463]"
Diane Black: Unstoppable,"[62000, 304977]"
America's Essential Hospitals,"[55000, 126992]"
Everytown for Gun Safety,"[54735, 229883]"
NumbersUSA,"[50070, 101137]"
Citizens for a Secure and Safe America,"[47593, 200323]"
Victor Ramirez for State's Attorney,"[45926, 180035]"
Adam Roosevelt,"[44176, 90787]"
Democrats Moving Forward#RESIST,"[44000, 193938]"
Action for Trade,"[43000, 184992]"
POET,"[42965, 85931]"
John K. Delaney,"[38000, 148968]"
Our Public Lands,"[34000, 683452]"
The LIBRE Initiative,"[34000, 140991]"
AFGE,"[33049, 166235]"
"Zachary Parker, Candidate for DC State Board of Education, Ward 5","[32000, 138976]"
Foundation for Government Accountability,"[31817, 153631]"
Job Creators Network,"[31000, 154996]"
National Wildlife Federation Action Fund,"[30739, 65211]"
Marcus Goodwin For DC Council At-Large Democrat,"[30000, 149997]"
John Catsimatidis,"[30000, 119996]"
Judicial Crisis Network,"[29442, 78248]"
Grow America's Infrastructure Now,"[28996, 79974]"
Peter G. Peterson Foundation,"[26798, 118774]"
NetChoice,"[25516, 129000]"
Our Next America,"[25276, 50551]"
Washington DC Economic Partnership,"[23143, 49013]"
Planned Parenthood,"[23005, 49619]"
Human Rights Campaign,"[21646, 108118]"
U.S. Chamber of Commerce,"[21438, 42876]"
Hillel International,"[21058, 105114]"
Angela D. Alsobrooks,"[20607, 83756]"
Emily Gasoi for Ward 1 State Board of Education,"[20000, 119969]"
SAGE,"[20000, 101996]"
UNITE HERE Local 25,"[20000, 99998]"
Democratic Attorneys General Association,"[19997, 70263]"
Association for Accessible Medicines,"[19171, 90976]"
Providence St. Joseph Health,"[18663, 54893]"
Larry Hogan,"[18316, 36667]"
Rail Customer Coalition,"[18000, 48990]"
Thomas Oh,"[16114, 63953]"
National Institute for Reproductive Health,"[15282, 66304]"
Great America PAC,"[15113, 30294]"
Wine & Spirits Wholesalers of America,"[15000, 59998]"
The Leadership Conference on Civil and Human Rights,"[14085, 55413]"
Muse For County Executive,"[12000, 29996]"
Robin Delivers for You,"[11922, 59605]"
Mayorga Organics,"[11386, 22772]"
All Above All,"[11000, 55997]"
National Clean Energy Week,"[11000, 49983]"
The Federalist Society,"[11000, 24997]"
Quorum,"[10991, 59707]"
Lambda Legal,"[10507, 51097]"
United for Medical Research,"[10281, 54402]"
The Greater Give,"[10000, 49999]"
Tea Party Nation,"[10000, 49999]"
Siddiqueformoco,"[10000, 49999]"
Roman Health,"[10000, 49999]"
EdChoice,"[10000, 49999]"
Better Medicare Alliance,"[10000, 49999]"
Auto Alliance,"[10000, 49999]"
ACEP Advocacy,"[9999, 20613]"
Oceana,"[9489, 21676]"
City of Praise Family Ministries,"[9428, 18856]"
UnidosUS,"[8952, 44761]"
Cathy Myers,"[8868, 38800]"
Cause of Action Institute,"[8337, 41683]"
Patagonia,"[8281, 29983]"
Neal Simon for U.S. Senate,"[8051, 40916]"
MTC Changes Lives,"[8000, 26964]"
Business Forward,"[7669, 33679]"
UAEUSAUnited,"[7579, 15360]"
Representative Shevrin Jones,"[7527, 16732]"
ACLU,"[7483, 24042]"
I Make America,"[7421, 18566]"
Shale Insight - A Shale Coalition Conference,"[7381, 18453]"
Paul Monteiro,"[7279, 36628]"
National Student Legal Defense Network,"[7000, 22994]"
Kamala Harris,"[6721, 44453]"
Connect Americans Now,"[6310, 31549]"
Marc Solomon for School Board,"[6095, 31935]"
Earthjustice,"[6024, 15116]"
