STOPP Coalition,200000
AFL-CIO,200000
TimKen Steel,100000
T-Mobile,100000
Alaska Gasline Development Corporation,100000
National Partnership for Women & Families,53284
Ben & Jerry's,50693
PhRMA,50000
Make Integrity Great Again,50000
Environmental Defense Action Fund,50000
National Association of Home Builders,49706
CARE Action Now. Not authorized by any candidate or candidate’s committee.,38999
"David Trone For Congress, Inc. ",34730
Judicial Crisis Network ,27585
"Supporters of Jill Ortman-Fouse. Vivek Chopra, Treasurer.",27021
"Our Next America, Inc.",25276
POET.,22239
U.S. Chamber of Commerce,19747
"Larry Hogan for Governor, R. Christopher Rosenthal, Treasurer",14540
New Democracy,13958
the Tea Party Nation and is not authorized by any candidate or candidate's committee.,10000
the Foundation for Government Accountability,10000
Wine & Spirits Wholesalers of America,10000
UNITE HERE Local 25,10000
The Greater Give,10000
The Beer Institute,10000
The Auto Alliance,10000
Tea Party Patriots,10000
SiddiqueForMoCo,10000
"Robin Ficker Campaign Fund, Amy Ginther, Treasurer",10000
"Paid for by Reelect Muriel Bowser Our Mayor, PO Box 90668, Washington, DC 20090. Jodi Ovca, Treasurer. A copy of our report is filed with the Director of Campaign Finance of the District of Columbia Board of Elections.",10000
One Fair Wage DC Committee,10000
Karl Racine 2018,10000
Job Creators Network,10000
Hillel International,10000
Hawthorne Gardening Co. ,10000
Equity Forward,10000
"Ebon Papyrus Press, LLC",10000
DC Health ,10000
Color Of Change,10000
Better Medicare Alliance,10000
ACTION For Trade,10000
" Emily for Education, L Trowbridge, Treasurer. 3172 18th St. NW, Washington, DC 20010. A copy of our report is filed with the Director of Campaign Finance of the District of Columbia Board of Elections.",10000
Peter G. Peterson Foundation,9977
Cause of Action Institute,8337
Friends of Victor Ramirez,7382
Marcellus Shale Coalition,7381
Friends of Mila Johns,6015
Third Way,5918
Linda Willard for Delegate,5848
Friends of Mo Seifeldein ,5214
the Theodore Roosevelt Conservation Partnership,5000
UsAgainstAlzheimer's,5000
Small Business & Entrepreneurship Council,5000
Save Our Tip System Initiative 77,5000
"Respect Workers, Respect Voters",5000
"Reelect Muriel Bowser Our Mayor, PO Box 90668, Washington, DC 20090. Jodi Ovca, Treasurer. A copy of our report is filed with the Director of Campaign Finance of the District of Columbia Board of Elections.",5000
Rail Customer Coalition,5000
New Baptist Covenant,5000
National Retail Federation,5000
National Clean Energy Week ,5000
Lisa Hunter for Ward 6,5000
John Catsimatidis,5000
Earthjustice,5000
DoSomething,5000
"By Authority: Friends of C. Anthony Muse, Brandi Calhoun, Treasurer",5000
Americans For Prosperity,5000
Here for America,4988
One Fair Wage DC,4788
Frank Luntz,4654
UnidosUS,4648
Blair for Montgomery,4468
AMERICAN CONSERVATIVE UNION,4417
NetChoice,4205
When We All Vote,4165
Families Against Mandatory Minimums,3979
"Donna for Prince George's, Glenn Ivey Treasurer ",3828
"Shevrin Jones, Democrat for Florida House, District 101",3549
National Shooting Sports Foundation,3356
Finance Committee for Thomas Oh,3216
Hispanic Access Foundation,3188
Friends of Bruce Johnson for State's Attorney,3152
Starr Wright Insurance Agency,3146
CASA in Action,3014
Partnership for Conservation.,2751
Official Music Group LLC,2607
Southern Poverty Law Center,2560
"Friends of Ashwani Jain, Sarah Hunter, Treasurer",2544
Marylanders for Craig Wolf,2501
the Government of the District of Columbia,2464
Center for Community Change,2454
Dhakal for Herndon Council,2394
Shukoor Ahmed,2342
Irene Gonzalez,2294
"Trio Marketing on behalf of clients, agents, contractors, and other contractual partnerships.",2278
Issue One,1982
Friends of Amanda Fiedler; Samuel Long Treasurer,1979
Segal For Senate,1938
Alexandria Renew Enterprises,1904
American Bridge 21st Century PAC,1825
"Friends of Paul Monteiro, Leslie Bridges, Treasurer",1644
"Stewart for Senate, Inc. ",1623
Moms Clean Air Force,1503
Providence St Joseph Health,1489
Flaccavento for Congress,1389
Connect Americans Now.,1371
TAKE BACK CALIFORNIA PAC,1243
UPROXX,1141
Captains for Clean Water,1107
"the School of International Service, American University",1000
the Leadership Conference on Civil and Human Rights ,1000
aroostook acts against hate,1000
Women Under Forty PAC,1000
The Western Journal,1000
The Tenth Congressional District Democratic Committee of Virginia. Not authorized by any other candidate or candidate's committee.,1000
The Religious Action Center of Reform Judaism ,1000
The New Media Firm,1000
The Alliance for Solar Choice,1000
Texas Public Policy Foundation ,1000
Summer for Congress,1000
Save Our Air Medical Resources,1000
Public Affairs Council,1000
Protect Our Care Maine,1000
PAI - Experts in Family Planning ,1000
Officer Noah Aaron Leotta Foundation Inc.,1000
Nuclear Energy Institute,1000
National Student Legal Defense Network,1000
National Farmers Union,1000
Management & Training Corporation,1000
League of Women Voters of the District of Columbia,1000
John Anthony Castro,1000
Jeremiah At Large,1000
Issue One Action,1000
International Association of Sheet Metal Air Rail and Transportation Workers,1000
Indivisible Action,1000
Independent Women's Forum,1000
Fix the Court,1000
"Emily for Education, L Trowbridge, Treasurer. 3172 18th St. NW, Washington, DC 20010. A copy of our report is filed with the Director of Campaign Finance of the District of Columbia Board of Elections.",1000
EFB Advocacy,1000
"Clean Air Clean Energy Washington 4347 Roosevelt Way NE Seattle, WA 98105",1000
Citizens for a Secure & Safe America Educational Committee,1000
Campaign Deputy,1000
America's Essential Hospitals,1000
Alaska Wilderness League,1000
ACLU of the District of Columbia,1000
45Committee,1000
" Jason Andrean for School Board, Dorien Blythers, Treasurer. P.O. Box 73221, Washington, DC 20056  A copy of our report is filed with the Director of Campaign Finance of the District of Columbia Board of Elections",1000
 American Family Voices.,1000
Global Strategy Group,999
The Humane Society of the United States,998
National Solar Rebate,998
Joann,980
People United for Privacy,977
NRATV,975
Democratic Asian Americans of Virginia. Not authorized by any candidate or candidate's committee,964
"Quorum Analytics, Inc.",958
Florida Politics.,929
the Church of Scientology,905
Congressional Black Caucus PAC,866
Blue Wave 2018,836
Mendelson for Chairman 2018,821
Adam Roosevelt ,812
Washington National Cathedral,801
" Brandon Brown for Congress        "" Put SC 4th First """,780
"Resurgent Left, a non-connected PAC. This page and all of its content is paid for by The Resurgent Left and is not authorized by any candidate or candidate's committee. ",667
the Heinrich-Böll-Stiftung North America,643
MedStar Washington Hospital Center,638
Association of Equipment Manufacturers,636
FCTRY,629
Generation 180,623
"By Authority: Friends of Tom Hucker, Dennis Desmond, Treasurer",618
Neal Simon for U.S. Senate,592
American Bridge 21st Century Foundation,574
the Claremont Institute.,570
National Association of Home Builders. Not authorized by any candidate or candidate’s committee.,570
The Committee to Elect Suraj Patel,554
Dissent Pins,532
Boeing,531
Progressive News Network,526
Seventh Generation,524
" Friends of Angela Alsobrooks, Kimberly Seymour, Treasurer",517
Smoky Mountain Values PAC,509
The Brookings Institution,508
