Florida Knows Best,23556646,77330897
Bill Nelson,14561318,36071271
Andrew Gillum,12722696,31388758
Rick Scott Is Not For Florida,12555000,30393588
Working For Us,11459999,37228119
NextGen America,11282165,27309475
MO Research,6166286,15968045
Everybody Is For Amendment 2,6161062,15199094
Ron DeSantis,6036180,13553885
Rick Scott,5253366,12767807
Choose Me Not 3,5013000,11492927
Voters In Charge,4902960,13112499
Republican Party of Florida,4757628,9945200
Floridians for a Fair Shake,4652175,12200463
Second Chances Florida,4342000,10484832
Marsy's Law for Florida,4205000,9359972
Our Lives Our Vote,3473847,9753939
Ben & Jerry's,3431499,8404221
Chris King,3235065,7619003
Matt Haggman for Congress,3169965,9263008
Vote NO on 5,2889000,9432150
SEIU Florida,2776482,6501560
For Our Future FL,2273960,5971507
CalmEffect,2251000,5463913
Denise Grimsley,2130763,6195632
Indivisible Guide,2061882,5799410
Vote NO on 1,1938000,6042252
Solar Energy Today,1766679,4944884
bullsugar.org,1641703,4056454
CFG Action,1617000,4042970
Mayor Philip Levine,1513208,3674069
AARP Advocates,1470000,3099990
The Voter Participation Center,1446453,4558010
You Should Know Florida,1435000,3590904
Alianza for Progress,1350989,3330930
NRDC,1324352,3065758
Andrew Learned for Congress,1278000,4635844
The Center for Community Change Action,1227419,3439066
FloridaStrong,1170658,3066238
State Representative Manny Diaz Jr,1161369,2692188
Alliance for Climate Education,1111000,2474985
Everglades-Trust,1096000,4763875
Ted Yoho,1055426,2580743
Maria Elvira Salazar,1051992,2317926
Jimmy Patronis,982000,2262982
Darren Soto for Congress,962000,2399975
Freedom Council USA,946000,2216989
No Casinos,937000,2631906
Just Vote No On 13,908000,2185981
Dream Defenders Action,809060,2274632
Sean Shaw,808934,2435576
Joe Perkins for Circuit Judge Campaign Committee,765543,2444504
Florida Planned Parenthood PAC,763000,2204967
Brian Mast,759970,1950650
FLIC Votes,756704,1972477
Ray Chiaramonte for Hillsborough County Commission District 7,750998,2463918
Donna Shalala for Congress,747960,2252520
Roy David Walker for Commissioner of Agriculture,742158,1945111
Florida Conservation Voters,737000,1795968
With Honor,727469,1826758
The Years Project,724861,1595399
NRA - National Rifle Association of America,721416,1778260
Carlos Curbelo,720000,1942977
FogHorn,712997,2330684
Judson Sapp,705000,2199909
Jan Schneider,702653,1823155
Captains for Clean Water,679874,1653737
Keith Perry,677979,1651854
Concealed Online,665903,1630746
Knock The Vote,624000,1805957
Florida Federation for Children,618000,1367976
Anna For Florida,604999,2254797
Congressman Darren Soto: Our Progressive Champion,584000,1758897
Bill Yanger For County Judge,576779,1515926
No Labels Action,550000,1449991
Yes For Marion Schools,549000,1588967
NRDC Action Fund,547824,1421890
Sierra Club Florida,515000,1329982
Miami Freedom Park PC,495883,1468623
Color Of Change PAC,476778,1884832
Strong Miami,467885,1160730
Auto Alliance,465000,1059993
Julio Gonzalez for Congress,461526,1062561
Kayser Enneking,461000,1104988
John Dailey For Mayor,451000,1107660
Donald J. Trump,449914,2424311
South Florida For Change,449000,1630958
Janet Cruz,442921,1010280
Jeremy Ring,442000,1407892
Derby Lane,440000,1041988
NumbersUSA,414976,1064923
Vern Buchanan,405923,1025820
Defenders of Wildlife,404218,1051413
Florida Lottery,400000,899996
Votantes Para Un Cambio En La Florida,400000,799994
Jeremy Matlow,397993,1396929
OurStates,395000,1561886
James W. Chandler for Circuit Court Judge,392989,1019928
David Frank for Circuit Judge,382000,1347960
Dustin Daniels for Mayor,380999,1177609
Women Who Vote,379554,1082070
South Florida Taxpayers Alliance,370000,799994
Fighting for Florida,365000,859995
Political Icons,362268,1136814
Never Trumper Mike Waltz,362000,860993
Alvin Brown,361878,1429474
Matt Caldwell,358000,835975
Smart Health Choice,356999,983963
Americans for Prosperity -  Florida,346825,1362294
Keep Judge Michael Davis,340879,792021
Run for Something,337066,892314
"Dori Miller Rivas for Orange County Judge, Group 11",333000,1371898
Eduardo Soto Abogado Inmigracion,332791,850012
Ashley Moody for Attorney General,329928,719844
"Let's Grow, Florida",327000,928853
Rick Minor for County Commission,319980,897873
Defending Main Street,319965,799915
Civiqs,315174,790318
Human Rights Campaign,310645,1051192
American Opportunity PAC,310000,749997
Vote Zalak,306000,1309936
David Holden 2018,300487,703815
Alliance for Safety and Justice,300000,699998
Freedom Partners Action Fund,300000,599997
theSkimm,300000,599996
Miami-Dade County Solid Waste Management,297101,693226
Meshon Rawls for Alachua County Judge,295000,834979
"Perla Tabares Hantman for Miami-Dade School Board, District 4",295000,709992
Gus Bilirakis for Congress,294199,1013320
Explore Offshore,290000,701872
Maria Weekes For Judge,288970,1206883
Lauren Baer for Congress,284770,1236934
Keeping Up With Cava,284094,760237
Matt Gaetz,281932,1069777
All for Transportation,281000,862977
GOP,274000,1100979
Americans for Prosperity,271796,1272691
Stand Up North Florida,271000,604993
John Upchurch for Congress,269959,1275592
Be Ready to Vote,267000,858975
Shari Africk-Olefson for Judge,260992,932934
Florida Democratic Party,257549,804989
Baxter Troutman for Commissioner of Agriculture,257000,670988
Union of Concerned Scientists,247758,580356
Kristy Nuñez for County Court Judge,244997,808930
Equality Florida,243749,769706
Delores Johnson for FL State House Dist. 84,230000,673976
AARP Florida,227940,1041655
Trump Care 2019,225000,609996
David Perez for Florida Senate,225000,509993
Upworthy,214039,538621
LCV Victory Fund,210000,549998
Barbara Cady,209000,551437
MANG,205514,512565
EAA Farmers,202518,682574
Teri for Mayor,202000,835629
U.S. Chamber of Commerce,202000,619984
"Andrew Jeng for Kissimmee City Commission, Seat 2",202000,530988
Collier County Democratic Party,201578,667490
Ben Albritton,201000,853625
Everglades Foundation,201000,504998
John Legend,200000,499999
Bridge Project,200000,499999
45Committee,200000,499999
Majority Forward,199578,498945
Ryan Torrens for Attorney General of Florida,195931,750610
I'm for Grover,195000,739963
Florida Daily,193975,662752
"Vote Nancy Robbinson for School Board Chair - August 28, 2018",190000,629970
Joe Durso for Seminole County Commission,184000,563838
"Bryan A. Lober for Brevard County Commission, District 2",182000,770955
State Representative Bryan Avila,181000,680977
Treasure Coast Conservatives,178271,570451
Two Faced Lauren Book,176000,864981
One Nation,176000,534988
Women for Chris King,175000,429985
Judge Melissa Souto,173000,415992
Sheila Cherfilus-McCormick for Congress,171998,521972
Chad Chronister,170000,549992
ClearPath Action Fund,167660,740904
ExxonMobil,165777,545480
Seniors Speak Out,158297,347209
Committee To Support Greyhounds,158182,707871
Friends of Don Barbee for Circuit Judge,155442,332871
Friends of Danny Glidewell,148288,446976
Al Lawson for Congress,147959,685564
Colleen Burton,147000,664889
Dr. Jeffrey Solomon for Florida House of Representatives #115,145000,400983
"Mike Beltran, Conservative Republican for Florida State House District 57",144000,395983
Progress Florida Education Institute,143000,1010484
Rob Levy for State Senate District 25,141977,590826
Christian Ziegler for County Commission,140369,539398
Donna Pilger Korn,140000,498970
The Southern Alliance for Clean Energy,140000,491977
Melissa Gravitt for Judge,140000,474945
One Collier,140000,400993
Karen Berger for Judge,138000,467973
Gayle Harrell,137764,498365
Show Up 2018,135719,382197
Scott Holtz for Palm Beach Port Commissioner,135000,449988
Miami Climate Alliance,134993,359973
