Stacey Abrams,16507000,44316715
Powerpac GA,4956000,11465958
Brian Kemp,4660274,10303158
Marsy's Law for Georgia,4630000,9900965
Geoff Duncan,3299539,8890804
Democratic Party of Georgia,2452000,6464919
Casey Cagle,2258709,5567930
David Shafer,1958165,5788016
MO Research,1169383,2888745
"Georgia Gun Owners, Inc.",1009000,2433968
David Belle Isle,960000,2149989
Knock The Vote,886000,2682917
Rick Jeffares for Georgia,876000,2038983
Civiqs,820041,1821192
Planned Parenthood Action,764668,2612976
Karen Handel,676000,2113917
Everytown for Lucy McBath,672658,1997000
Color Of Change PAC,602068,1635328
NARAL Pro-Choice Georgia,578000,1486964
Josh McKoon For Secretary of State,501000,1005997
Women For Civility,457640,1324183
Family Policy Alliance of Georgia,425000,1109995
Greenlight the Gulch,419000,1073980
Charlie Bailey,387000,1263830
Southern Environmental Law Center,373211,1798573
Vote Gary Black,364978,985860
Georgia Shift,364912,1205486
BulletROOF,362000,952964
The Nature Conservancy Sustainable Agriculture,344000,906964
MoveOn,323055,1011778
Lucy McBath for Congress,299999,1515100
Auto Alliance,297000,819990
Clay Tippins for Georgia,250000,802985
Georgia Conservation Voters,235495,684460
Concealed Online,234605,650003
Rachel's Action Network,221000,604996
Merritt & Merritt Law Firm,201000,505997
Georgia Commute Options,200000,499999
Human Rights Campaign,196102,881432
Ginny Ehrhart for Georgia,172998,763815
Better With Age,172000,651981
Chuck Eaton,165000,375991
Living Free,161000,504991
National Association of Manufacturers,150000,299998
Lester Miller for Mayor,136000,334993
"PACE, The Partnership for Affordable Clean Energy",129999,499987
GUNVOTE,120036,375068
Explore Offshore,116788,523497
Business Forward,112554,255271
David Kim For Congress,110960,456703
People For the American Way,110533,221062
UAW International Union,110506,251395
National Shooting Sports Foundation | NSSF,110402,252007
Dale Washburn for State House,109000,514924
Francys Johnson for Congress,104953,436427
The Holy Tribune,103833,340155
Duncan Truth,102912,205822
MedicareSupplement.com,102000,945485
The Arc Georgia,102000,535842
Sarah Riggs Amico,101000,386974
Democratic Climate Action,100322,201323
Truth in Paulding,100000,328984
News 95-5 and AM 750 WSB,100000,199998
Lisa Ring for Congress,99016,449878
Geoffrey Cauble For GA,97000,367948
Smythe DuVal,95000,424898
Cindy Zeldin for Georgia,92000,465983
Peterson 4 Henry,92000,440930
Hunter Hill for Governor,91000,364987
Donald J. Trump,90605,654550
Brian Strickland for Georgia,89000,410867
AFL-CIO,89000,282988
March For Our Lives,88836,448424
Indivisible Guide,88485,477131
Georgia School Choice Now,87769,286482
Shelly Hutchinson for HD 107,83907,394364
Chaundra Lewis for Henry,83000,312978
Georgia Alliance for Social Justice,80997,404976
Alex Kaufman,78000,289941
Deborah Gonzalez for GA State House Rep District 117,76000,312899
Self-Reliant Republic,75000,359992
Georgia Farm Bureau,75000,196989
Sophe Cook Pope for Board of Education,73000,257955
Steve Tarvin,73000,244966
Ryan Graham for Georgia Public Service Commission,73000,190987
Cobb EMC Forum,71000,324991
Our Flag Our Country,69104,305191
Progressive Turnout Project,68000,237984
"Access Reproductive Care-Southeast, Inc.",65000,1039220
We Built This,65000,178339
Rob Woodall,63000,266968
Demand Justice,62915,256355
Americans for Prosperity,61898,277984
Michael Williams,61000,145986
