Josh McKoon for Secretary of State,500000
Show Up To Vote,200000
Rachel's Action Network,200000
NRA Political Victory Fund,200000
Flynn Broady for Congress Campaign,200000
Casey Cagle for Governor,199815
the Democratic Party of Georgia. ,100000
"Paid for by Marsy’s Law for Georgia, LLC Henry T Nicholas, Chair",100000
National Association of Manufacturers,100000
Lambda Legal,100000
"Handel for Congress, Inc.",100000
Georgia Conservation Voters Action Fund,100000
WSB Radio,98516
The Faith and Freedom Coalition,50000
Teri for Georgia,50000
National Shooting Sports Foundation,50000
"Marsy’s Law for Georgia, LLC Henry T Nicholas, Chair",50000
Kemp for Governor,50000
Geoff Duncan for Georgia,50000
GEORGIANS FOR BELLE ISLE,50000
Republican Kelly Stewart,49959
Best Friends Animal Society,41347
Loud & Proud,20074
Patriot Journal,19422
PragerU ,15006
Ben Ferguson Show,10642
Media Research Center,10036
the Democratic Party of Georgia. Approved by Stacey Abrams for Governor.,10000
the Committee to Elect Houston Gaines,10000
"iVote Fund, Ellen Kurz, President. Not authorized by any candidate or candidate’s campaign committee.",10000
Woods For Georgia Education,10000
"Wake Up, Atlanta",10000
Unity in the Community,10000
Truth in Paulding,10000
The Nature Conservancy,10000
The Committee To Elect Lisa Ring,10000
The Auto Alliance,10000
Steve Tarvn,10000
Stacey Abrams for Governor,10000
Spalding County Republican Party,10000
Southern Coalition for Social Justice.,10000
Sharon Cooper for State House,10000
Save Our Air Medical Resources,10000
Rosanna M. Szabo,10000
"Rep GA Institute, Inc.",10000
RICK W ALLEN FOR CONGRESS,10000
PowerPAC Georgia,10000
Patagonia ,10000
NARAL Pro-Choice Georgia PAC - independent committee. Not coordinated with any candidate or campaign committee.,10000
Miller for Georgia Inc,10000
Matthew for Georgia,10000
Lake Oconee RallyRaiser for Brian Kemp,10000
Knock The Vote,10000
Justice Equality And Economics ,10000
Job Creators Network,10000
Jim Beck for Georgia,10000
Human Rights Campaign,10000
Higher Heights for America,10000
Greenlight the Gulch,10000
Gerald A. Griggs ,10000
"Georgia Taxpayers United, Inc.",10000
Georgia Gun Owners,10000
Georgia Equality Inc PAC,10000
Georgia Conservation Voters,10000
Georgia Alliance for Social Justice,10000
Gary Bechtel for State Representative,10000
Frank Luntz,10000
Faith & Freedom Coalition,10000
Fair Forest Tax Constitutional Amendment PAC,10000
Elect Jen Slipakoff,10000
Doug Collins for Congress,10000
Doctors Without Borders/Médecins Sans Frontières (MSF),10000
Committee to Elect Matthew Krull,10000
Committee To Elect Steve Smith,10000
CommIttee to Elect El-Mahdi Holly,10000
Cobb EMC Forum,10000
Clay for Georgia,10000
Citizens to Elect Ed Setzler,10000
Cindy for Georgia ,10000
Carolyn for Congress,10000
Better Georgia ,10000
Backcountry Hunters & Anglers,10000
Ayanna N. Card,10000
"American Federation for Children Action Fund – Georgia Independent Committee. Not authorized or approved by any candidate. 1020 19th Street, NW, Suite 675, Washington DC 20036",10000
Alliance for Climate Education,10000
Allen Peake,10000
"FRIENDS OF BARDIN HOOKS, INC.",9998
Committee to Elect Michael Smith,9997
by the Office of Congressman Buddy Carter,9994
GALEO,9926
Pam Tucker for Columbia County Commission Chair,9742
Logically Illiberal,9397
The Right to Bear Memes,9042
Shatterproof,8960
The Palmetto PAC. Not authorized by any candidate or candidate committee. www.palmettopac.org,8764
Blue Ticket Consulting,8306
Law Offices of Vaughan de Kirby A.P.C.,8256
RedBlueDivide operated by Today's Growth Consultant,7430
Republicans for the Rule of Law,6975
Scientology Volunteer Ministers International,6892
Misha Collins,6723
Joe Walsh,6707
Kerry Wood for SC Secretary of State,6585
TBS Network,6039
Americans for Affordable Birth Control,5392
Hilton Head Island-Bluffton Chamber of Commerce,5360
Clean Energy for a Healthy Arizona,5068
the Libertarian Party of Georgia,5000
goBeyondProfit,5000
Westside Future Fund,5000
Tom Gray Campaign,5000
Tim Young,5000
The Committee to Elect Chaundra Lewis,5000
Southern Belle Farm,5000
Sophe Cook Pope for Board of Education,5000
Sid Chapman for GA  State School Superintendent,5000
"Shea Roberts for Georgia, Inc.",5000
Sharon Springs Neighbors ,5000
Protect Our Care,5000
"ProGeorgia, Inc.",5000
"Political Rascals PAC, Inc.",5000
Newton County Democratic Committee,5000
New Baptist Covenant,5000
National Wildlife Federation Action Fund,5000
Murphy Wallace,5000
March For Our Lives,5000
Latino Community Fund (LCF Georgia),5000
Kyle Whitaker for Holly Springs City Council,5000
Knudsen for Board of Education,5000
Jerry Valentine,5000
Jana Rodgers,5000
Indivisible GA Eleven PAC,5000
