Bernard Carvalho Jr.,"[1852999, 4245963]"
Dr. Josh Green for Lieutenant Governor,"[848803, 2540210]"
Kaniela Ing,"[657160, 2223381]"
Team David Ige,"[543000, 1695943]"
Cam Cavasso For Congress,"[504000, 1663859]"
Colleen Hanabusa,"[461023, 1344062]"
Tulsi Gabbard,"[378000, 1074986]"
Vote Kim Coco,"[370489, 994775]"
Ed Case,"[355877, 865706]"
Doug Chin,"[348118, 1662646]"
Friends of Donna Mercado Kim,"[331000, 754993]"
Don S. Guzman for Maui County Mayor,"[278994, 1023900]"
Friends of Derek Kawakami,"[258900, 1112406]"
Airbnb Citizen,"[251975, 674295]"
Terez Amato For Maui - T.Amato,"[227000, 938950]"
Ron Curtis for Hawaii,"[226000, 556991]"
Solar Rebate,"[189000, 796953]"
"State of Hawaii, Office of Elections","[177000, 706977]"
Friends of Lorraine Inouye,"[161000, 666885]"
Will Espero for Lt. Governor,"[148672, 586928]"
Hawaii Republican Action - HIRA,"[145000, 409993]"
Love Maui,"[139000, 502982]"
Solar Energy Today,"[127730, 535495]"
Andria Tupola for Governor 2018,"[112987, 531899]"
"Robert ""Bobby"" Bunda","[109529, 251964]"
Kelly Kitashima for Council,"[103000, 216994]"
Greenpeace USA,"[102403, 209710]"
Don Couch for State House,"[98994, 349934]"
Friends of Tommy Waters,"[74961, 317737]"
Dru Kanuha for State Senate,"[70969, 234775]"
Tyler for City Council,"[66997, 348941]"
Yes for Our Keiki,"[66000, 164996]"
Organization for Minorities of India,"[65000, 160996]"
Jeanné Kapela,"[64000, 261986]"
Vote Koohan Paik-Mander,"[64000, 189976]"
Civiqs,"[62820, 249992]"
Elle Cochran for Mayor,"[57000, 194985]"
Randy Gonce for Hawaii,"[51979, 247882]"
DoSomething.org,"[51084, 225378]"
Brenda Ford For Hawaii Senate District 3,"[51000, 279924]"
Tina for South Maui,"[50481, 223526]"
Brandon Elefante,"[50000, 99999]"
Retirement Workshop 20/20,"[48000, 197988]"
Vote Maya Parish,"[41000, 171968]"
Trevor Ozawa,"[37990, 115971]"
AARP Hawaii,"[35548, 151135]"
SAFE,"[35000, 104980]"
Vote Brendon Kaleiʻāina Lee for OHA Trustee,"[32999, 123977]"
Alicia Maluafiti For 'Ewa,"[31000, 116983]"
Maui 'Ohana Candidates,"[30984, 126904]"
Friends of Scot Matayoshi,"[30000, 149997]"
Friends of James Logue,"[29988, 154920]"
Amy Perruso,"[28000, 96991]"
Jarrett Keohokalole,"[27964, 114849]"
Maui Triplets for Dr. Josh Green,"[27000, 119995]"
Vote Bronsten Kossow,"[26979, 154848]"
Ho'ola Na Pua,"[26000, 116994]"
Mossman4OHA,"[25000, 109997]"
Vote Kauanoe Batangan,"[24000, 120984]"
Hawai'i Center for Food Safety Action Fund,"[24000, 90992]"
Vote David Tarnas,"[23998, 133942]"
Kyle Yamashita,"[22000, 108968]"
HGEA,"[20000, 107990]"
Jeremy Low for Lt. Governor,"[20000, 100997]"
Zack Stoddard,"[20000, 99998]"
Ernie Martin for Congress,"[20000, 99998]"
Rep. Beth Fukumoto,"[18177, 84869]"
VOTE Raina Whiting,"[18000, 63984]"
Trish La Chica for State House District 36,"[16999, 69991]"
Ikaika Hussey for the Honolulu City Council,"[15904, 87482]"
Oahu Short-Term Rental Owners Alliance,"[15000, 59998]"
Chris for Ewa,"[15000, 59998]"
Juno Ann Apalla,"[15000, 52985]"
Vote Makana for OHA,"[15000, 45992]"
Planned Parenthood,"[14452, 35727]"
Tim Richards for Hawaii County Council,"[13000, 67984]"
ConAm For Keiki,"[13000, 49991]"
Pono Hawai'i Initiative,"[13000, 34995]"
VoteTogether,"[11007, 56501]"
Mela Kealoha-Lindsey,"[11000, 56996]"
Maui Rise Up,"[11000, 56996]"
Tiger & Crane,"[10000, 49999]"
Dokoga Tv Japanmania,"[10000, 49999]"
Brian Schatz,"[10000, 49999]"
Hawaii Island Humane Society,"[10000, 19998]"
Office of Hawaiian Affairs,"[9840, 49200]"
Friends for Francine Murray,"[9000, 51984]"
IMUAlliance,"[9000, 30994]"
Co-ops Vote,"[7755, 27528]"
Silkies,"[6258, 13009]"
Community Forums,"[5795, 15588]"
Mic,"[4998, 9996]"
Concealed Online,"[4557, 13385]"
Donald J. Trump,"[4410, 30899]"
PragerU,"[4375, 11014]"
Kamala Harris,"[4278, 17628]"
Truthout,"[4124, 8283]"
Demand Justice,"[4013, 24074]"
Mary D. Wagner for HI State House Dist. 8,"[4000, 21994]"
4ocean,"[3789, 9796]"
Everytown for Gun Safety,"[3708, 8851]"
Sierra Club,"[3667, 9550]"
Elizabeth Warren,"[3359, 8929]"
NEA Today,"[3253, 7753]"
ACLU,"[3158, 9284]"
Carol Fukunaga,"[3000, 24950]"
808Truth2Youth,"[3000, 14997]"
Friends of Eileen Ohara,"[2996, 17971]"
Tom Steyer,"[2687, 7619]"
Ocean Conservancy,"[2614, 13438]"
Giving Brush,"[2493, 6409]"
Amnesty International USA,"[2417, 6214]"
National Republican Congressional Committee,"[2288, 8972]"
Beto O'Rourke,"[2271, 5748]"
Military Officers Association of America (MOAA),"[2258, 4633]"
Humble Household,"[2212, 5530]"
Swing Left,"[2166, 6023]"
United States Constitution,"[2102, 4875]"
Mazie Hirono,"[2000, 16991]"
Justin Hughey,"[2000, 9998]"
Maui Causes,"[1999, 9993]"
Diamond 4 Senate District 21,"[1985, 9927]"
Vote McDermott,"[1959, 9795]"
ClearPath Action Fund,"[1898, 3951]"
NRA - National Rifle Association of America,"[1802, 4609]"
NRDC Action Fund,"[1670, 4229]"
Shell,"[1652, 4130]"
NRDC,"[1636, 5890]"
Heidi Heitkamp,"[1598, 3786]"
The Wilderness Society,"[1487, 3151]"
Council for Native Hawaiian Advancement,"[1450, 5899]"
Winning For Women,"[1347, 3629]"
American AF,"[1285, 3097]"
Alliance Defending Freedom,"[1276, 3252]"
We The People Holsters,"[1237, 3020]"
Andrew Janz,"[1199, 3243]"
The Jim Jefferies Show,"[1173, 2933]"
The People For Bernie Sanders,"[1141, 6726]"
Oceana,"[1123, 8226]"
Boredom Therapy,"[1120, 2512]"
ExxonMobil,"[1087, 2802]"
Sandy Hook Promise,"[1064, 2375]"
Tax March,"[1033, 2365]"
