Save Idaho Horse Racing,5645186,18562598
Marsy's Law for Idaho,3288000,7646963
Idaho United Against Prop 1,739998,1937975
AARP Idaho,186661,666407
Ruben Miranda,136000,350987
Idaho Freedom Foundation,120970,574836
CWI Yes,108000,455973
Janice McGeachin,102000,286983
Idaho Fish & Wildlife Foundation,102000,209997
Idaho State Department of Education,100000,199998
Rebecca For Idaho,87311,341589
ProtectRX,81000,350983
Swisher for Idaho,74000,320967
Solar Rebate,64001,220972
Huntington Learning Center,61000,306991
Idaho DLCC,56097,221472
Idaho Conservation League,54000,217701
Steve Berch for Idaho,52998,225970
Environmental Defense Fund,50680,102552
Mike Saville for Idaho,48000,289902
Cindy for Schools,47000,191990
Idaho Freedom Action,45960,184912
"Work, Not Obamacare PAC",42000,151990
Dan Hanks for Idaho,38430,143770
Midas Gold,37647,129870
Idaho Resident Energy Savings,36535,182203
Citizens for Better Transportation,31000,154996
Auto Alliance,31000,124995
National Wildlife Federation Action Fund,30000,149997
Mat Erpelding for Idaho,28000,134984
Idaho Coalition Against Sexual & Domestic Violence,25000,112994
Idaho Anti-Trafficking Coalition,24932,64854
Donald J. Trump,22121,127321
Mike Kingsley for Idaho House 6B,21438,66557
Reclaim Idaho,19146,82621
Open Primaries,17258,71563
Patagonia,17104,62529
Idaho Education News,17000,89978
Shem Hanks For Idaho,16000,78963
Citizen's Against Poaching,16000,64997
Cory Jane 4 Coeur d'Alene,16000,50991
VoteTogether,15083,61034
Solar Energy Today,15066,45196
D91 Taxpayers,15000,45992
Backcountry Hunters & Anglers,14717,59217
The Wilderness Society,14588,61953
Collum for LT Governor,13996,106667
David Nelson for Idaho,13482,46763
Kalispel Tribe of Indians,13257,67477
Weber for Sheriff,13193,66045
Matthew Sutherland,13123,53335
Bonneville Democrats,13000,50990
Viki Purdy for Idaho,13000,35994
People United for Privacy,12000,393654
Idaho Asset Building Network,12000,67989
Jefferson M. Jenkins,11000,55997
IDeal - Idaho College Savings Program,11000,55997
NRA - National Rifle Association of America,10916,25162
Concealed Online,10514,26911
DoSomething.org,10135,50620
Idaho Immunization Program,10000,56992
Lockwood4Commissioner,10000,51988
Jim Tibbs for Ada County Commissioner,10000,49999
Idaho Press,10000,49999
Gary E. Collins for Idaho,10000,49999
City of Boise,10000,19998
Lisa Brown,9172,29784
Seniors Speak Out,8820,17639
Donald J. Trump - Keep America Great,8665,17329
National Republican Congressional Committee,8264,24883
Indivisible Guide,8031,142073
Liyah Babayan The People First,8000,45986
Bob Blakey for Nez Perce County Commissioner,8000,42775
Branden Durst for Boise Schools,8000,27993
BJ Swanson for Latah County Treasurer,8000,25995
Glick for 8A,7733,25660
The Gables Assisted Living & Memory Care,7003,35014
Lynn Luker for Idaho,7000,19997
"I'll go ahead and keep my guns, Thanks",6316,13713
Americans for Prosperity,6263,27890
MedicareSupplement.com,6000,155868
Re-Elect Dotti For Coroner,6000,40983
Sean Fay for Clerk,6000,33990
Kelly Yvonne Mitchell for Ada County Clerk,6000,31992
UnionApp,6000,14998
Snake River Alliance,5976,30872
Save the Storks,5664,12935
We The People Holsters,5656,12435
Stand for the 2nd Amendment,5442,13125
John Rusche for Idaho,5434,46812
Residence XII,5181,25906
Judicial Watch,5128,10255
American AF,5114,14831
Home Professionals,5000,45974
Greg Anthony Pruett - Public Page,5000,10998
Idaho Second Amendment Alliance,5000,10744
Jordan for Governor,5000,9999
HealthInsurance.net,5000,9999
Planned Parenthood,4622,13750
PragerU,4503,9822
Jay Sekulow,4318,9410
Brad Little for Governor,4000,39974
Senator Fred S. Martin,4000,28987
Alicia Estey for Boise School Trustee,4000,27988
Tovey for Bannock County,4000,22993
Sheepdog Response,3808,19040
United States Constitution,3645,8898
Cold Dead Hands,3604,10147
Beto O'Rourke,3356,7688
Mic Dispatch,3312,6623
Turning Point USA,3294,7464
