"Work, Not Obamacare",100000
Healthy Hospital Healthy Community PAC,23358
the Idaho Press.  A community newspaper serving Southwest Idaho for over 135 years.,10000
"the Committee to Elect Jim Tibbs, Dan Loughrey, Treasurer",10000
The Pharmaceutical Research and Manufacturers of America,10000
"Stronger Idaho PAC, Treasurer Caitlin Lister",10000
Stephen Warren for NMID,10000
"Paul Amador for Idaho, Bill Hemenway Treasurer",10000
National Wildlife Federation Action Fund,10000
Molly Lenty for CWI,10000
"Marsy's Law for Idaho, L.L.C",10000
Kent Goldthorpe for ACHD Commissioner,10000
Kenna Smoot Treasurer,10000
Idaho United Against Prop 1,10000
Idaho Freedom Action,10000
Idaho Coalition Against Sexual and Domestic Violence,10000
Idaho Asset Building Network,10000
"Dry Creek Valley Coalition, Stephanie Rael, Political Treasurer ",10000
"Cristina McNeil for Congress, Susan Eastlake, Treasurer",10000
Conservation Voters for Idaho,10000
"Committee to re-elect Brent Hill, Blayne McArthur Chairman",10000
Collins for Representative,10000
Citizens for Better Transportation,10000
 Idaho REALTORS® PAC,10000
"Midas Gold, Inc.",9899
Shinkle for Assessor,5911
Judicial Watch,5128
the Theodore Roosevelt Conservation Partnership,5000
"the Committee to Save Idaho Horse Racing, Create Jobs, and Fund Public Schools",5000
"the Committee to Elect Steve Berch, Susan Eastlake, Treasurer",5000
Troy for Idaho,5000
The Auto Alliance,5000
"Rob Mason for Idaho, Anna Daley Treasurer",5000
National Veteran Programs,5000
National Solar Rebate,5000
Manwaring for Idaho,5000
Idaho State Department of Education,5000
Idaho Freedom Foundation,5000
Idaho Education Association,5000
"Idaho Democratic Party. LeRoy Hayes, Treasurer.",5000
Idaho Anti-Trafficking Coalition,5000
IDLCC,5000
Greg Pruett,5000
"Citizens Against Poaching, a non-profit 501(c)(3) organization",5000
Cindy Wilson for Idaho Schools,5000
"CWI Yes, Inc.",5000
"BJ Swanson for Latah County Treasurer; Greg Mann, CPA, Campaign Treasurer",5000
AARP Idaho,5000
Donald J. Trump - online store for campaign gear,4813
Treasurer Terri Sue Addis,3642
Save The Storks,3217
Lemony Tree,3182
Grunt Style,2905
Ben Ferguson Show,2845
Backcountry Hunters & Anglers,2631
Better Medicare Alliance,2544
Chad for Idaho,2530
NRA,2333
"Zen Brands International, LLC",2209
Paid for by the Committee to Elect Rob Rembert Judge,2040
GOP Gifts,2016
Better Angels,1772
YouGov,1701
"American Center for Law and Justice, a d/b/a for Christian Advocates Serving Evangelism, Inc.",1515
"MO Research, Inc.",1342
Digital Product Showcase,1330
Military Officers Association of America (MOAA),1276
Tree Top Inc.,1098
Seth Moulton for Congress,1047
the National Democratic Training Committee,1010
"the committee to elect Kendra Kenyon, Diane Westerberg, Treasurer",1000
the Paulette Jordan Campaign,1000
the Idaho Asset Bulding Network,1000
Zollinger for Idaho,1000
W. Scott Howard for Idaho,1000
Viki Purdy for Idaho,1000
U.S. Term Limits,1000
"The One Union (UnionApp, LLC)",1000
The Democratic Coalition,1000
Stevens for Bannock,1000
Steve Miller For Idaho House,1000
"Steve Lockwood for Commissioner, Marilyn Sabella Treasurer",1000
Schmid for Idaho,1000
Russ Fulcher for Idaho,1000
"Robert S Nielsen for Senate, Political Treasurer Jade Nielsen",1000
Republicans For Paulette Jordan,1000
Relevant Seminars,1000
PowerSol USA,1000
"O'Neal for Ada Coroner - Kylie Bermensolo, Treasurer",1000
Nye For Senate ,1000
Muffy for Idaho,1000
