JB Pritzker,18228885,44347645
Rauner Failed Me,12778000,28916863
Bruce Rauner,7194000,20092299
Fight Back,4046000,9354950
Illinois Working Together,3860000,8799968
Treasurer Michael Frerichs,3753979,10195359
Kwame Raoul,2366000,5696954
Rodney Davis,1516000,4017926
Illinois Education Association,1269911,3134500
Illinois Republican Party,1072000,2363972
A Better Illinois,1071000,2617935
Julie Morrison for State Senate,1018979,2287930
Peter Roskam,974000,2653754
Erika Harold,878543,2327025
LCV Victory Fund,862969,2133107
Juliana Stratton,810000,1899985
MO Research,801938,1776285
David McSweeney,757000,1759982
The Forum Page of Illinois,719459,1647277
Monica Bristow,697982,2153892
Sean Casten for Congress,696977,2639665
Congressional Leadership Fund,673897,2433731
Illinois Policy,643000,1836957
Willie Wilson,616971,1397744
IL-14 Get the Facts,610855,2073214
Tom Cullerton for State Senate,593000,1524970
Mike Bost,590737,1880057
Gregg Johnson for State Senate,570978,1590850
Lauren Underwood for Congress,549125,2609122
The Coalition for a Better Illinois 6th,509970,1582861
US99 / Chicago's Hottest Country,474960,1010911
Keep Them Accountable,473979,1792772
Rachelle Aud Crowe for Senate,472682,1456279
Brendan Kelly for Congress,448976,1836794
Fed of American Hospitals,445969,1208889
Gus for the 47th Ward,444000,1629909
Women For Civility,440136,1071924
Dorothy Brown for Mayor,427705,1869338
Laura Ellman For Senate,388981,1188855
Judge Linda Davenport for Circuit Court,386988,1469854
Jim Dodge for IL Treasurer 2018,386000,1046973
Auto Alliance,375000,909994
Thomas For First,370995,914952
AFP Action,368999,1397960
Barrett Davie for Illinois Senate,362813,1110935
Sheriff Brian Asbell,345000,883979
Save Your Home Now,336430,1649072
Republican State Leadership Committee,330673,723354
"Raja Krishnamoorthi - Congressman, IL-8",325999,915903
One Illinois,320000,1481962
Committee to Elect Luke Thomas Cass County Circuit Judge,317921,1080646
Adam Kinzinger,314251,883096
Chicago Teachers Union,312000,659993
Dwight Kay for State Representative,311000,654995
Tyler R. Edmonds,310821,1199228
FreedomWorks,298062,683606
House Majority PAC,297414,604828
Dillon Clark for State Representative,283000,1067897
Solar Energy Today,269246,855731
Illinois Family Institute,268936,1060840
Concealed Online,268568,764660
Janice Schakowsky,268000,569066
Pfizer,266165,720236
Illinois Daily,265000,659996
UAW International Union,262760,719028
