Amy McGrath,3431977,10073512
Marsy's Law for Kentucky,2693183,6131339
House Majority PAC,1700257,3700507
Andy Barr,1620963,4235837
With Honor,1268997,3029969
Mitch McConnell,1093000,3251928
Kentucky Opportunity Coalition,678000,1935961
"Conservative Leadership Alliance, Inc",605000,1529989
RATE Coalition,500000,999999
Greg Fischer for Mayor,459000,1130991
MO Research,364412,861560
Steve Sheldon,360000,1605903
Heritage Action for America,357977,875955
Kentucky Democratic Party,338753,943131
Center For American Progress Action Fund,300999,604993
Americans for Prosperity - Kentucky,269548,600088
The Kentucky Initiative,264970,1152779
Our JCPS,264000,1104877
YVPRC,259351,605503
Republican Party of Kentucky - Official Page,258076,927994
Judge Barber For Kentucky Court Of Appeals,250000,500996
Debra Hembree Lambert for Kentucky Supreme Court,221817,510626
The Holy Tribune,216001,464996
Keep Them Accountable,210007,1009942
Opportunity Solutions Project,197000,519991
Lucy VanMeter,187988,746954
Andy Beshear,180000,449995
Barry Smith for Taylor County Judge Executive,163000,756957
Donald J. Trump,159555,715656
Tom Buford for State Senate,151000,577966
Keep Judge Dan Zalla,149000,581972
Auto Alliance,141000,404994
Linda Gorton For Mayor,137998,703871
Angela Leet for Mayor,134000,370991
Military Network,130993,476956
The Committee to Keep Judge Rob Johnson,130000,319995
Deanna Frazier for State Representative,129506,339501
MedicareSupplement.com,129000,720659
James Glenn Caudill for Sheriff of Leslie County,127000,342982
Kentucky Family Values,126396,1568492
Better With Age,125266,435530
The Commonwealth Policy Center,120997,319951
Elect Robbie Williams for Floyd County Judge Executive,117993,443934
Brett Guthrie,115038,264115
Lambda Legal,110541,275357
Patti Minter for Kentucky,108949,391617
David West for Jessamine County Judge Executive,108000,480979
Foundation for Government Accountability,106206,212408
I Make America,104913,370756
The Rising Right,104054,210133
Dave Suetholz,102071,390286
Kentucky Term Limits,101000,204998
Women For Civility,100042,307198
Organization for Competitive Markets,100000,199999
Live Green Lexington,100000,199998
A Healthy Future,99754,199506
Ronnie Bastin For Mayor of Lexington,96000,397863
Brandon Reed for State Representative,96000,314993
Emily Ferguson for State Representative - 72nd District,92999,289974
David Osborne for State Representative,92884,464407
Annie O'Connell for Judge,90809,289997
Keep Judge Reynolds,90000,389980
Julie Raque Adams,90000,269994
Jared Carpenter,86000,238989
