Grow Louisiana Coalition,1145000,4136670
Americans for Prosperity - Louisiana,967575,2518243
Truth in Politics,661002,1486492
Rebuild Louisiana,607857,1811462
Fairness for Fantasy Sports Louisiana,495969,1266913
Restore the Mississippi River Delta,495007,1406849
Campaign To Elect A.G. Crowe - Secretary of State,479555,1474315
Louisiana Chemical Association,472920,1544615
Lift Louisiana,418000,2073347
Louisiana Association of Educators,411000,1147942
Lee O. Savage For Mayor of Shreveport,399357,1661625
Louisiana Secretary of State Kyle Ardoin,354536,1304630
ExxonMobil,348502,1023421
Bill Cassidy,341000,904993
Louisiana First Republicans,306999,772982
Garret Graves,299964,599923
Stand for Children - Louisiana,284000,760982
Republican Party of Louisiana (LAGOP),273000,616988
Know Your Vote Louisiana,216000,614988
Congressman Mike Johnson,213547,716499
Americans for Prosperity,213369,460256
Renee Fontenot Free Secretary of State,213000,554987
Associated Professional Educators of Louisiana,202000,510996
Caddo Parish Alliance,200000,501997
Steve Scalise,199856,499639
Solar Rebate,180000,756979
Richard Perque,171000,571966
Mike Johnson,170526,405936
Concealed Online,167994,460205
Elect Ellen Daigle Doskey,164000,430985
Ralph Abraham,156676,427314
Central City News,147000,660980
"Elect Jennifer Womble, Judge",144000,394976
Heather Cloud,141995,608947
Auto Alliance,140000,399995
Patient Access for Louisiana,140000,399994
Gumbopac,137868,632336
Elect Chad Nugent - Jefferson Parish School Board District 8,129998,462937
Pelican Institute for Public Policy,129000,675928
Louisiana Progress,117000,240993
Raise The Bar Baton Rouge,116000,523977
Senator Rick Ward,110000,250997
John Nickelson for City Council,109986,535896
Rick Edmonds,103951,463764
Josh Guillory for Congress,103845,454257
Blue Cross and Blue Shield Of Louisiana,100000,199999
Blake Miguez,100000,199999
Tony Perkins,100000,199998
Bruce Hampton For Judge,97750,404653
Jim Taliaferro for Mayor,96000,344936
Committee to Elect Mark C. Morgan,93000,410971
Judge Jimbo Stephens for Court of Appeal,92989,344919
Louisiana Bucket Brigade,91000,274993
Will Rhymes Barham for District Judge,90000,299995
Stand Up for School Bus Safety,90000,269994
Adrian Perkins for Mayor of Shreveport,88000,295964
Big Easy Magazine,84000,243978
Liftable Engagement Services,78036,336183
Citizens Against Lawsuit Abuse,76395,302053
Re-Elect Sandy Denapolis Bosarge for School Board,75000,287953
Chris Hazel for District Judge,75000,209996
Terrebonne Parish President Gordon Dove,74000,234978
Erin for Judge,73000,369976
"Catherine Davidson Mayor Alexandria, La",72997,255944
Charles Elliott for Rapides Parish District Judge,70000,306985
Southern Poverty Law Center,70000,200996
Keith Hanson For District D,68977,262903
Friends of Judge Sharon Marchman Campaign Committee,67991,252569
Louisiana Citizens for Job Creators,67000,305985
Sheriff Joseph Lopinto,63000,300985
Stuart Moss for State Representative,61000,265972
Demand Justice,60228,302292
"Raising Grades, Lifting Futures",60000,271991
Captain Clay Higgins,60000,269993
Louisiana Right to Life,60000,149998
Congressman Clay Higgins,59825,149504
Amanda Calogero for Judge,57000,122993
John Bel Edwards for Louisiana,55000,259994
Smart on Crime Louisiana,55000,110997
Lower Magazine Neighbors,54000,243986
Donald J. Trump,52836,402865
Jessee Carlton Fleenor for Congress 2018,50998,231802
Jesse Schmidt for US Congress La 2nd District,50000,219994
Audubon Aquarium of the Americas,50000,99999
Fed of American Hospitals,49999,236982
Marcus Hunter for District Judge,49570,100138
LaPolitics,48150,96300
Steven Jackson for Mayor,48000,199977
Clay Moïse for School Board,47000,181980
Vote Mimi Methvin,46906,200601
Norman Craig for Police Jury,46903,192498
Energy Transfer,46902,117254
Sumer Cooner for Caddo Parish School Board Member District 8,44999,207941
