Friends of Blake Miguez,100000
"Stand for Children, Inc.",50000
Louisiana Right to Life,50000
Family Research Council,50000
AG Crowe Campaign,50000
Office of Congressman Clay Higgins,49874
Energy Transfer Partners,22958
Business Forward,13999
Levi Strauss & Co.,10828
the committee to elect Kay Michiels for Mayor ,10000
the committee to elect Jim Villard ,10000
the Committee to Elect Monique B. Clement,10000
the Committee to Elect Ellen Daigle Doskey.,10000
Voters Organized To Educate,10000
The Mackinac Center for Public Policy,10000
The Hayride,10000
The Committee to Elect Will R. Barham,10000
The Campaign to Elect Desmond Wallace ,10000
The Bayou Brief,10000
The Auto Alliance,10000
Sumer Cooner Campaign Fund,10000
Senator Rick Ward,10000
"Raising Grades, Lifting Futures",10000
Patient Access for Louisiana,10000
Neil Arsement for Maurice Police Chief,10000
McLendon For Chief,10000
Ledricka Thierry for District Judge,10000
Kavanagh for Mayor,10000
Jr. Shelton for Mayor of Central,10000
Jesse Schmidt,10000
Heather Cloud For Louisiana,10000
Gumbo PAC,10000
Friends of Roger Corcoran ,10000
Erin Wiley Lanoux Campaign Committee,10000
DoSomething,10000
Deb Haaland for Congress.,10000
David Tatman Campaign,10000
David Amrhein re-election Committee,10000
"Community Press, LLC",10000
"Color of Change PAC, not authorized by any candidate or candidate’s committee. ",10000
Charles Elliott for Rapides Parish District Judge,10000
Captain Higgins For Congress,10000
Bill Cassidy for U.S. Senate,10000
Andie Saizan For US Congress,10000
Americans For Prosperity,9994
Kearney For Congress Committee,9988
Sharon Hewitt Campaign,9617
New Orleans Baptist Theological Seminary,9270
Parish of Caddo,9033
Nick Tranchina for Sheriff Committee,8581
Supporting American Values,5173
the Committee to Elect Omar Mason - Judge,5000
the Carlee White Gonzales Campaign Fund,5000
Tiffany Kuhn Campaign Fund,5000
The Committee to Re-Elect Judge Judy Moore Vendetto,5000
The Committee to Elect Chris Hazel ,5000
The Committee to Elect Adrian Perkins for Mayor,5000
Scott Anslum Campaign Fund,5000
Savage for Mayor Campaign,5000
Ray Bourque for Mayor of Broussard,5000
Ralph Abraham ,5000
Police Association of Lafayette Local #905,5000
Mercury Media,5000
Louisiana Taxpayers First,5000
Louisiana Progress,5000
Life Choices of North Central Louisiana,5000
Kim Landry for Judge,5000
Kim Fralick for Central City Council,5000
Jimbo Stephens Campaign Committee.,5000
Jeremy Hidalgo,5000
Jeff Delahoussaye Campaign,5000
"JP Morrell Campaign Fund, Inc.",5000
Iron Liberty Group,5000
Gordon Dove,5000
GE Renewable Energy,5000
Family Research Council Action,5000
Ed Tarpley for Louisiana,5000
Danielle Mills,5000
Dana Cawthon Campaign Fund ,5000
Committee to Elect Richard Perque LLC,5000
Clay Moïse Campaign Fund,5000
"City of Youngsville, LA",5000
