Maine Matters,3336000,9111788
Angus King,2105944,6893495
The Committee for Ranked Choice Voting,2081767,6184610
State Government Leadership Foundation,1680999,3754982
Independent Voter,1614795,3860443
Demand Justice,1416500,3335454
Marsy's Law for Maine,1312997,2787964
Jared Golden for Congress,1271240,3324800
Terry Hayes for Governor,1005996,3801682
Demand More For Maine,779574,1862020
Yes on 1 - Mainers for Home Care,760000,3472180
Cote For Maine,754993,1851942
Alan Caron,678984,2248728
Alliance For Maine,565000,1296979
Sweet For Governor,563995,2150817
Maine Conservation Voters,523996,2192645
Beacon,523000,2305888
Asbestos Nation,500000,1199997
Maine Women Together,498000,1198983
Maine Voter Info,483000,2133931
Maine Outdoor Alliance,482755,1144420
Mark Eves for ME,459893,1149462
Marty Grohman for Congress,454503,1399763
Janet Mills,397407,1450785
Shawn Moody,393640,1220176
Planned Parenthood Action,370078,995366
Maine Republican Party,365549,1529223
With Honor,340813,904505
Maine Deserves Better,250000,599998
Speak Up For Education and Kids,247505,922122
Protect Freedom PAC,235000,559994
NARAL Pro-Choice America,215738,594237
Chellie Pingree,206945,573731
Be A Hero,167869,740981
MO Research,165190,360564
Eric Brakey for U.S. Senate,162615,634058
Likewise,156305,312608
James Dill for Maine State Senate,151000,305996
Maine Voter Resource Guide,150000,301996
Maine Liberty Pac,144000,539985
Matt Stone,143000,503966
Our Next America,136751,273501
Zak Ringelstein,131973,533813
Senator Justin Chenette,130994,590917
Speaker Sara Gideon,127000,319994
Keep Them Accountable,126992,600908
Run Aaron Run,125108,548452
The Nature Conservancy in Maine,121969,249932
Stop The Scam Maine,121000,394989
Self-Reliant Republic,119994,299967
MoveOn,118803,263518
Better With Age,113994,421962
Union of Concerned Scientists,111657,253734
Americans for Prosperity,108465,225941
Mainers for Health Care,105000,524949
Working Maine,105000,317984
ACLU,104715,212329
Stand Up Susan,103577,384127
ExxonMobil,103318,208528
Derek,103000,509905
Civiqs,101010,462306
Tom Steyer,100272,435465
American Lung Association,100000,199999
AARP Maine,97028,309971
Brad Farrin for Senate,82000,410989
The Leadership Conference on Civil and Human Rights,76115,300439
Mainers Against Health Care Cuts,74977,319872
Mark Dion For Governor,72999,319981
People For the American Way,71097,205479
Planned Parenthood Maine Action Fund,71000,205995
Committee to Rebuild Maine's Middle Class,67614,263529
National Shooting Sports Foundation | NSSF,65001,160000
National Wildlife Federation Action Fund,60999,155992
State Senator Dave Miramant,60000,151996
Tax March,58013,217124
Our Flag Our Country,57049,276232
Maine Independents,56000,234992
Crystal Canney for Senate District 27 - Portland,55999,213949
The Daily Signal,55312,260763
Protect Our Care,51000,225992
Rubin G. Segal for Cumberland County Probate Judge,50000,252992
The March for Life,50000,99999
Rachel's Action Network,50000,99999
John Legend,50000,99999
Re-Elect Ben Chipman for State Senate,49000,201988
Maine People's Alliance,45913,169554
Senator Rebecca Millett,42000,136985
Progressive Turnout Project,41043,175083
Noah Arthur Cobb,41000,120977
Independent Women's Voice,40687,84091
Troy Jackson,40000,199996
Linda Sanborn for State Senate,33000,164994
RCV Maine,33000,106990
America First Policies,32995,190911
NAACP Legal Defense Fund,32632,68535
Lucas St. Clair for Congress,31967,147826
Mainers for Accountable Leadership,31955,187445
Shenna Bellows for State Senate,31000,158992
Living Free,30998,154987
Stand Up for Students,30000,149997
Ken Fredette,30000,149997
Jim Wilfong for State Senate,30000,121985
Jeff Timberlake for Maine Senate,29996,149979
Maine Senate Democratic Campaign Committee,29989,137932
Military Network,29353,126698
American Cancer Society Cancer Action Network - ACS CAN,29000,87984
Natural Resources Council of Maine,28000,124994
Maine Coast Heritage Trust,27291,126759
Joey Brunelle for Portland,27000,123973
Craig Olson For Congress,25981,70951
Seth Levy for District Attorney,23924,87242
Aaron From Maine,21581,65984
PCCC - BoldProgressives.org,21317,75888
The Nature Conservancy,21054,77102
National Women's Law Center,21000,104997
Laura Fortman for State Senate,21000,77993
Dan Ankeles for Brunswick Town Council,20000,99998
Moral Movement Maine,20000,70996
Maine Democratic Party,20000,69997
Sierra Club,19804,71401
Alliance for Justice Action Campaign,19000,326727
Maine Center for Economic Policy,19000,88985
Seth Berry for Legislature,19000,84980
Matt Irwin for Aroostook County Sheriff,18000,75994
NRCC IE,18000,44994
Jonathan Sahrbeck For Cumberland County District Attorney,17988,99922
Co-ops Vote,17058,41110
Bev For Maine State Senate,17000,71994
Claxton for Maine Senate,17000,69996
Re-Elect Representative Charlotte Warren,17000,59986
"Representative Harold ""Trey"" Stewart III",17000,40994
Peoples Climate Movement,16297,68309
David Nealley for Bangor City Council,16000,37993
Anne for Maine,16000,34996
MAINE TWO,15998,35974
Patagonia,15512,63693
VoteTogether,15043,60248
Jeremy Mele For State Representative,15000,79980
Kim Rosen for Maine,15000,74994
Maine Small Business Coalition,15000,29997
Frayla Tarpinian for District Attorney,14990,77941
Justin Fecteau,14000,71993
Donald J. Trump,13295,77128
Karen Kusiak for ME Senate,13000,64996
Chloe Maxmin for State Representative in District 88,13000,56984
Senator Amy Volk,12000,59997
The Holy Tribune,11998,59985
Matt Pouliot,11000,46986
National Association for Gun Rights,11000,24997
Bruce Poliquin,10995,56971
Leadership for Maine,10892,54457
Swing Left,10167,53729
DoSomething.org,10093,50423
Sacocitizensforsensiblegovernment,10000,56983
Proactive Strategy & Solutions,10000,50925
Representative Kent Ackley,10000,49999
Rep. Norm Higgins,10000,49999
Legalize Maine,10000,49999
Integrity First PAC,10000,49999
Gordon Contracting,10000,49999
Casella Waste Systems,10000,49999
Americans for Limited Government,10000,49999
Re-elect Representative Donna Bailey,10000,22995
"Bruce White Candidate for Maine House of Representatives, District 109",9997,81953
Indivisible Guide,9059,30259
Elizabeth Warren,9045,21129
Women For Civility,9004,27509
Waterville Mayor Nick Isgro,9000,75924
"Jon Torsch for Portland City Council, District 2",9000,47988
Aroostook Acts Against Hate,9000,46989
Michele Meyer for Maine House,8973,35766
Democratic Coalition Against Trump,8308,30328
Frederick -“Eric”- Samp for House District 14,8000,39992
Eloise Vitelli for State Senate,8000,26994
Thompson For House District 92,7997,118881
UPROXX News,7765,15529
Michael Foley for Westbrook City Council,7000,20996
America First Action,6999,69957
Human Rights Campaign,6794,13899
Free Press Action Fund,6768,35916
Free To Movement,6274,15545
AFP Foundation - New Hampshire,6204,12407
China Maine Democratic Committee,6000,34989
Terri Jane Casavant for Maine State House,6000,14998
Susan Deschambault for Senate District 32,6000,14998
Senator Nate Libby,6000,14998
Maine Audubon,6000,14998
Keep York County Sheriff Bill King - 2018,6000,14998
Ellie Espling for Maine Senate,6000,14998
Benjamin McCollister for House District 116,6000,14998
Dave Durrell for House District 16,5995,32962
Heidi Heitkamp,5751,12952
Everytown for Gun Safety,5665,12626
Nuclear Matters,5603,11945
League of Conservation Voters,5111,10552
Family Policy Alliance,5004,10031
Lachance for Lewiston,5000,44975
Paula Sutton for Maine State Representative,5000,29990
Somerset County Republican Committee of Maine,5000,25994
Jennie Butler for Maine House District 25,5000,14994
Teenbreaks,5000,9999
Portland Regional Chamber of Commerce,5000,9999
Outfox AI,5000,9999
HyperGrass,5000,9999
Cumberland County Maine Republican Committee,5000,9999
EDF Action,4997,10011
Aranson for Probate Judge - Cumberland County,4991,10980
Howstuffworks,4948,9896
Planned Parenthood,4806,28059
4ocean,4654,11365
Beto O'Rourke,4335,10846
PragerU,4245,10857
The Washburn-Norlands Living History Center,4081,8161
Guy Lebida for House,4000,28987
Dawn Castner for State Representative,4000,27988
Michael Brennan for Maine House District 36,4000,26989
Joshua Hiatt for District 126,4000,21994
"Charles ""Will"" Hawkins For Windham Town Council",4000,19996
BOLD PAC,3732,7463
United States Constitution,3653,8929
Anita Burroughs for NH,3428,17182
NRATV,3284,7212
