Maine Deserves Better,200000
EWG Action and Asbestos Disease Awareness Organization,200000
"Paid for by Maine Republican Party, 9 Higgins Street, Augusta, ME 04330 Ben Lombard, Treasurer",100000
PAID FOR AND AUTHORIZED BY SHAWN MOODY FOR GOVERNOR,100000
"Our Next America, Inc.",100000
Cote For Maine,100000
American Lung Association,100000
Likewise,56305
the Candidate.,50000
Rachel's Action Network,50000
March For Life,50000
Grohman for Congress,50000
FREEAMERICA,50000
"With Honor Fund, Inc.",49971
Independent Women's Voice,31915
NAACP Legal Defense Fund,25931
the National Women's Law Center,10000
the Maine People's Alliance,10000
the Foundation for Independent Voter Education,10000
the Committee to Elect Norm Higgins,10000
and authorized by RunAaronRun,10000
and Authorized by the Candidate,10000
The Heritage Foundation ,10000
The Committee for Ranked Choice Voting,10000
"The Chamberlain Project BQC 2018, PO Box 2122, South Portland, ME 04116",10000
Shenna Bellows for State Senate,10000
Shawn Moody for Governor,10000
"Segal for Probate Judge Committee, Peter Manning, Treasurer",10000
Rebuild Maine,10000
Protect Our Care Maine,10000
Protect Our Care,10000
Patagonia ,10000
No On Question One,10000
"Maine Republican Party, 9 Higgins Street, Augusta, ME 04330 Ben Lombard, Treasurer",10000
Maine Independents PAC,10000
Maine Democratic Party,10000
"Kent Ackley, Candid Common Sense Independent for Litchfield, Monmouth, and Wales, - Robin Sukeforth, Treasurer",10000
Ken Fredette for Governor,10000
"Jeff Timberlake - Michelle Brown, Treasurer.",10000
Integrity First PAC,10000
Gideon Leadership PAC ,10000
Farrin for Senate,10000
ERIC BRAKEY FOR U.S. SENATE,10000
Dan Ankeles for Brunswick Town Council,10000
Civiqs,10000
Citizens Who Support Maine's Public Schools,10000
"Casella Waste Systems, Inc.",10000
And Authorized by the Candidate,10000
Amy for Maine,10000
Americans for Limited Government,10000
Alan Caron for Governor,10000
House Majority PAC and Priorities USA Action. Not authorized by any candidate or candidate's committee.,9998
Frayla Tarpinian. ,9993
Mark Eves for ME,9893
NARAL Pro-Choice America,9504
