Maryland Together We Rise,5964640,13690376
People Over Politics MD,2153000,5497926
David Trone,2150762,6267310
Neal Simon for U.S. Senate,1996726,5013966
Thiru for Baltimore,1484000,3966935
Wolf for Attorney General,1193596,3670090
Larry Hogan,1166939,2979110
Brian Frosh,1106996,3261878
Krish for Maryland,1085937,2486660
Unite America,968742,2505875
My Pay My Say,962000,2399976
Alec Ross,925000,2742601
Baltimore County Sitting Judges,498348,996695
George Leventhal for Montgomery County Executive,465000,1413906
Marc Elrich for County Executive,456000,1379938
Al Redmer Jr,426007,1548560
Calvin Ball,390000,1163948
Republican Governors Association (RGA),376215,1110286
Circa,303592,614495
Montgomery County for Nancy Floreen,300986,607937
Victor Ramirez for State's Attorney,284191,700125
Center for Western Priorities,268124,565403
Dr. Nadia for Congress 2018,264434,1012769
Providence St. Joseph Health,244979,505325
Robin Delivers for You,235472,662065
Grigorian for Senate,234368,774692
Kathy Szeliga,220000,756978
Allan Kittleman,217895,846549
Solar Energy Today,210451,895780
National Association of Manufacturers,200000,399998
Nino Mangione,195000,766609
Judicial Crisis Network,184632,377840
American Conservative Union,177772,376513
NRDC,169642,341187
Delegate Christian Miele for State Senate,161997,479973
Johnny Olszewski for Baltimore County Executive,156000,579773
Delegate Kathy Afzali,151091,580402
Hans Riemer,149913,329145
Concealed Online,145244,372632
Our Maryland,141000,405992
Auto Alliance,140000,399995
Steve Schuh,133000,345980
Baker for Governor,127140,459599
Eric Bromwell,125999,475967
Empower Montgomery,120000,269995
Elect Bobby Rucci,116000,433965
David Ellin 2018,114613,410141
Maryland Accountability Project,112624,528091
Elect Sheriff Jae,110000,358983
GoSociafy,110000,249997
Anne Colt Leitess for Anne Arundel County State's Attorney,109000,495959
Andy Harris,108518,247947
Jesse Colvin,107076,249781
Michele Guyton for Delegate,106049,236940
Jeff Waldstreicher,100439,311437
Steuart Pittman for County Executive,100000,439988
Lashar for Congress,98786,329918
Ben Jealous,97320,485480
Gabe4Council,97000,323988
Our Revolution Maryland PAC,94000,475972
Maryland Democratic Party,94000,439986
"Kevin Harris for Montgomery County Council, District 5",92474,250382
No Fossil Fuel Money Pledge,90000,359988
"Marilyn Mosby, Esq.",83826,210547
Segal For Senate,79688,166358
American Lung Association,79642,199104
Friends of Thomas Ashwell,78162,228798
Equity Forward,76652,164688
Colleen Ebacher for Baltimore County Council District 3,76000,311868
Jill Ortman-Fouse for Montgomery County Council,75741,181480
Jesse Peed for Maryland Senate,74747,209267
