"Baltimore County Sitting Judges Slate. Authority: Eileen G. Thompson, Treasurer",498348
Circa,295709
AMERICAN CONSERVATIVE UNION,108893
"Thiru for Baltimore, Tunji Williams Treasurer",100000
National Association of Manufacturers,100000
"Marc Elrich for County Executive, Dale Tibbitts, Treasurer",100000
"Krish for Maryland, Teresa Guzman Treasurer",100000
"Citizens for Brian Frosh, Jerry Gross, Treasurer.",100000
Andy Harris for Congress,98540
American Lung Association,79642
Unite America Congressional Election Fund,50000
"Robin Ficker Campaign Fund, Amy Ginther, Treasurer",50000
GoSociafy,50000
Empower Montgomery,50000
"Authority, Friends of Kathy Afzali, John Cornelius, Treasurer",50000
National Security Action,40409
Ben & Jerry's,36355
POET.,33651
Center for Western Priorities,33363
The Coalition for Medicare Choices,28313
Backcountry Hunters & Anglers,24833
Providence St Joseph Health,23296
Committee to elect Anthony Triplin,21887
Equity Forward,18729
Yes on 10,14564
National Partnership for Women & Families,13585
Judicial Crisis Network ,13512
"the Maryland Democratic Party, Robert J. Kresslein, Treasurer",10000
the Maryland Bar Association,10000
"and Authorized by Maryland Democratic Senate Caucus Committee; Patricia L. Horton, Treasurer",10000
"Wolf PAC. This message has been authorized by Wolf PAC, 6230 Wilshire Blvd Suite 140, Los Angeles, CA 90048, David Koller, Treasurer. This message has not been authorized or approved by any candidate, candidate's committee, or ballot issue committee.",10000
"Will Smith for Maryland, Jonell Malone, Treasurer.",10000
Tom Steyer,10000
The Auto Alliance,10000
"Supporters of Jill Ortman-Fouse. Vivek Chopra, Treasurer.",10000
"Retirement You Workshops by A4 Digital, Inc.",10000
Randy Bounds for Sheriff Campaign - 2018,10000
Purpose,10000
"People Uniting to Elect Mary Washington, Joseph J.  Palumbo, CPA",10000
Patagonia ,10000
National Rural Electric Association,10000
Mike Bowersox for State Delegate 3A,10000
"Marylanders for Rich Madaleno. Linda Eisenstadt, Treasurer.",10000
Maryland Health Care Commission,10000
Liberty Justice Center,10000
Human Rights Campaign,10000
HIAS,10000
"Gabe for Council, Bill Baker, Treasurer",10000
"Friends of Team 46 Slate. Chris Madaio, Treasurer",10000
"Friends of Steuart Pittman, Virginia Clagett Treasurer",10000
"Friends of Sidney Katz, Allen Katz, Treasurer",10000
"Friends of Shelly Hettleman, Jodi Schwartz, Treasurer",10000
Friends of Rushern Baker III,10000
"Friends of Paul Corderman, treasurer Michael Weiss ",10000
Friends of Nilesh Kalyanaraman,10000
"Friends of Natalie Ziegler, John Zirschky, Treasurer",10000
Friends of Marilyn Balcombe; Emily Balcombe Treasurer,10000
