Shri Thanedar,10485753,25508931
Michigan Families for Economic Prosperity,8565212,22958601
Abdul El-Sayed,6086368,16294302
Michigan League of Conservation Voters,5966271,17104126
Voters - Not Politicians,5966000,13998673
Americans for Prosperity,5210526,12285775
The Fighting for Families Fund,4830998,12062813
Gretchen Whitmer,4287560,10584979
Elissa Slotkin for Congress,4089995,10857714
United for Progress,3526415,7952781
John James,3279983,7853876
NextGen America,3127416,9135472
Michigan Republican Party,2946843,7192913
Keep Birth Control Affordable,2798000,6697961
UAW International Union,2743794,6891782
Healthy and Productive Michigan,2144000,4597962
Michigan Immigrant Rights Center,2123000,6104920
Samuel Bagenstos for Justice,2120000,5069858
Fight for $15,2034203,6449152
Sandy Pensler,1932000,5116953
MO Research,1672478,4231490
Bill Schuette,1573696,5109159
Working Michigan,1521000,3504985
Michigan Chamber PAC III,1160000,2852989
America First Action,1080000,4585837
Andrea Fischer Newman,989000,2500978
For Michigan's Future,897000,2192969
End Citizens United,858015,1933089
Garnet Lewis for State Senate,849985,3327805
Michigan Democratic Party,784962,2665770
Everytown for Gun Safety,757338,2679149
Michigan Education Association,730000,1743980
Rob Davidson for Congress,692560,2387762
Oakland County Board of Commissioners,670000,3059846
Michigan Wildlife Council,621454,1569814
Rashida Tlaib For Congress,610000,1761935
Color Of Change PAC,601063,2047379
POWER HOME SOLAR,596748,1290706
Brian Calley,595000,1766938
Americans for Prosperity-Michigan,560996,1889916
Mike Kowall for Congress,551000,1204993
Fayrouz Saad,542996,1676909
Schuette Backs Tax Cuts for the Rich,540000,1269990
Bill Schuette is Bad for Health Care,540000,1269990
Bill Huizenga,531000,1750927
Planned Parenthood,503110,1451211
Compete Michigan PAC,499085,1198166
Jeremy Peruski for US Congress,476000,984990
UP Defense Fund,470575,1016128
MoveOn,465816,1133300
Jack Bergman,451722,1633809
Shady Bill Schuette,447000,1125956
We Have Teeth and We Vote,439511,1155783
Promote the Vote MI,434000,1241965
Citizens Energizing Michigan's Economy,432954,1511729
Tom Leonard,426000,1681831
Rick Snyder,426000,1202953
Living Free,424923,909801
Take Back Our Republic,406989,1039933
Cathy Albro,402000,1213942
Klint Kesto,397000,1169957
Alliance for Michigan Power,389809,2054154
Macomb Families First,383000,842979
Auto Alliance,377000,919991
Human Rights Campaign,374856,1129826
Haley Stevens,361000,960983
Justice Elizabeth T. Clement,359000,1285966
Law Center For Social Security Rights,344842,1072170
Keep Them Accountable,336000,1483893
Better Jobs PAC,325000,826989
Colbeck for Governor,322000,1296929
Solar Energy Today,319091,1008295
Fix MI State,318000,750978
Cahalan for Judge,308983,1262869
Lena Epstein,306000,1262932
Michelle Deatrick,300000,1236867
Michigan Prosperity Project,300000,699998
American Potential,293000,958975
George Franklin,289800,1056645
Tim Walberg,281061,897852
Kevin Daley for State Senate,269991,1089822
Detroit International Bridge Co.,267972,725847
Rachel's Action Network,267000,669994
Bill Schuette Backs Tax Cuts for the Rich,266000,704979
Bill Schuette is Bad for Healthcare,262000,699979
Chris Smith for Michigan,260999,614975
NumbersUSA,250007,600031
Live Nation Concerts,241650,712465
NRDC,231761,790971
Public Citizen,224167,623265
Lana Theis for State Senate,223000,714970
Council for Responsible Nutrition,223000,638942
State Senator Jim Stamas,214000,589986
Michigan Climate Action Network,213000,435992
The Nature Conservancy Sustainable Agriculture,211000,454995
Matt Morgan,210211,930124
Dennis Brewer for Circuit Court Judge,210000,908909
GOP,206013,1005583
Michigan Taxpayers Alliance,206000,514997
Tea Party Nation,200000,500998
Ken Summers for State Representative,199438,730178
Paul Mitchell for Congress,198976,830865
Better With Age,192733,565021
Yes Ready by Five,192000,760952
Drew Shapiro Genesee County Commissioner,191000,808962
Michele Oberholtzer for District 4 State Representative,189990,661903
FIRM Action,186789,465446
Debbie Stabenow,185611,536902
Dayna Polehanki Democrat for Michigan State Senate,182000,704919
Mike Shirkey,178228,628670
Michigan Capitol Confidential,177000,890853
Our Flag Our Country,175971,844816
Kelly Priede for 78th State Rep - Michigan,173428,689814
Women For Civility,172674,446380
Fight Back,172004,487869
Gary Glenn for State Senate,172000,561987
Ian Haight for State Senate,171968,687812
Amanda Brand,171000,539985
"Mary Treder Lang, Candidate for Michigan Secretary of State",170000,386989
Mike Bishop for Congress,169000,770976
Sara Spencer-Noggle for Isabella County Probate Judge,168000,499982
The Mackinac Center for Public Policy,160000,629896
Malissa Bossardet for State Representative,159000,484983
Lisa Sinclair for Macomb County Clerk,158000,624909
Conservative Outsider,156000,316993
Steve Bieda for Macomb County Clerk,154000,515956
The Holy Tribune,152959,464785
Christopher Taylor,152000,435975
NRCC IE,151000,658967
Aditi Bagchi for State Representative-District 38,151000,305996
Curt Benson for Judge,150000,299998
Climate Hawks Vote,150000,299998
Aric Nesbitt,148000,452940
Say Yes to Seniors,142000,566954
Shanelle Jackson,140988,452909
Allegan County Clerk Bob Genetski,140000,655979
MI Senate Republican Campaign Committee,138481,276962
William Barnett for State Rep,138000,409969
Henry Gaudreau,133998,490977
Protect Our Workers' Earned Retirement Coalition,131000,504990
Moving Michigan Forward Fund II,130228,380450
Dana Nessel for Michigan Attorney General,130083,595361
Run with Runestad  for Michigan Senate,129000,505963
County Commissioner David Bowman,127999,624982
Senator Marty Knollenberg,126955,538487
Michigan Talent Investment Agency,125703,314349
Metro Detroiters for Change,124000,406969
Vote Poppy,122000,451978
Conservatives for a Clean Energy Future,121000,305994
Speak Up For Education and Kids,120000,608055
Jon Bumstead,119000,431977
MedicareSupplement.com,116000,904571
Jim Tedder for State Senate,115000,409992
One Nation,112000,319988
Judge Gregg Iddings,111999,509964
Matt Clayson for MSU Trustee,111000,441948
Chris Afendoulis for State Senate,111000,224995
Faithful Conservatives for Michigan,109948,511738
Tom Choske For Representative,106000,461970
Mari Manoogian for State Representative,105982,354906
Fred Miller for Macomb County Clerk / Register of Deeds,104000,436927
GUNVOTE,104000,312985
Progress Michigan,103000,1808497
ReBuild USA,102696,273679
Abraham Aiyash for State Senate,102000,349982
Planned Parenthood Advocates of Michigan,101645,6238355
Matt Friedrichs for State Rep,101000,204997
Shareblue Media,100507,399999
Democratic Climate Action,100096,200546
U.S. Chamber of Commerce,100000,199999
Fix No Fault Now,100000,199999
Military Network,99478,306370
Mike Miller For MSU,99000,302977
Roger Victory For State Senate,96000,405977
Rosemary Bayer for State Senate,95000,417950
State Innovation Exchange,94723,387765
Lee Chatfield,94000,412982
Aghogho Edevbie for State Representative,94000,339751
Buscher for District Judge,92000,400986
Jacob Hilliker for Bay County Road Commission,91000,410983
Joanne Galloway for State Representative,91000,397958
Self-Reliant Republic,90977,456045
David Wolkinson for State Representative,90000,245987
Tom Steyer,88322,452062
Donald J. Trump,87151,613386
Mike Carey 4 State Senate,87000,212979
The Barrett Brigade,85000,235974
Scott Noto For Judge - Kent County Circuit Court,83000,194981
Coalition for Future Mobility,82062,234970
ACLU,81579,229354
Martin Brook,81000,375989
Sellout Santana,80000,250995
Help For Flint,80000,249996
Fred Wooden for Congress,76000,282971
Holly Hughes for State Senate,76000,214995
Andy O'Riley For Michigan's 91st District- Muskegon,75000,195972
Tim Greimel,74000,361249
Alex Hansen for Livingston County Commissioner,73000,315968
Fred Durhal for State Senator,72000,355935
PragerU,71348,156812
Granger,71000,204996
Back the Blue,70000,357985
Lena Epstein is Bad News,70000,199997
Humane Society Legislative Fund,70000,199997
Cooper Nye for Congress,70000,189987
Matt Maddock for Michigan State Representative,69944,308702
Defending Main Street,69702,199080
The Center for Community Change Action,69070,237964
Home Energy Guide,65000,384829
Kimberly Bizon for Congress,65000,285968
Tracie Tomak for District Judge,65000,257974
Angela Witwer for State Representative,65000,176991
Fed of American Hospitals,63000,315990
Drug Injury News,62148,129364
Brett Roberts for State Senate,62000,129995
Terra DeFoe for State Representative,61000,217960
Michigan Realtors,61000,125995
Restoration PAC,60016,278782
Friends of Chris Stewart,59000,209978
Jeff Irwin for State Senate,58308,255460
Michael Villar for Allegan County Prosecutor,57000,245985
Erika Geiss for State Senate,57000,244977
Matt Hall for State Representative,57000,242968
Ken Horn for Michigan State Senate,57000,123992
Fred Upton,56550,206967
Scott Dianda,55647,239208
"Julia Pulver, RN for Michigan Senate District 15",55000,193969
Organization for Competitive Markets,55000,110021
John Proos,54990,248934
Dave Morgan for State Representative  62nd District,54984,144945
Dr. John Bizon for Michigan Senate,54000,243986
Katie Reiter For State Representative,54000,194984
Mallory McMorrow for State Senate,54000,182976
Dr. Ghulam Qadir Democrat For MI Senate,54000,169978
Sam Baydoun For Wayne County Commissioner,54000,119995
Vote VanWoerkom,53000,230963
News Break,53000,117993
DTE Wind Energy,51000,225992
Kelly Collison for State Representative,51000,104998
Defend Our Constitution,50766,223824
Michigan Energy Innovation Business Council,50000,275920
Lynn Afendoulis for State Representative,50000,256971
Katie for the County,50000,216948
Wayne County Treasurer's Office,50000,194979
Michigan Legislative Consultants,50000,100998
Great Lakes Great Jobs,49917,205649
Joe Haveman,49000,199990
Brianna Scott for MSU,49000,199990
Michigan People's Campaign,48000,239979
Elect George Cushingberry Jr.  State Senate District 2,48000,219965
Prevailing Sense,47678,95355
Paquette For 78th State Representative,46029,198269
Michigan for Vaccine Choice,45000,225990
Jeffrey Nolish for State Representative,45000,184949
Matt Marko for State Representative,43000,204983
Steven J Greene for Michigan House District 34,43000,203984
Fix Canton Roads,43000,156989
