Alliance for a Better Minnesota,33107135,84408503
Tim Walz for Governor,11823804,28601921
Jeff Johnson,6067198,15799837
Meet Tim Pawlenty,5851993,16470130
Defend Birth Control,5215123,12723870
Minnesotans for Line 3,5012106,12960433
A Minnesota for All of US,4417987,11964733
Minnesota Values Project,4281146,17851558
Tina Smith,3917823,10220397
Minnesota DFL Party,3529856,9110220
Jerry Trooien for United States Senate,2978000,7425918
Building Better Lives Together,2713000,8134685
Congressional Leadership Fund,2485990,7364703
Planned Parenthood Minnesota Advocate,1953540,5881246
Dean Phillips for Congress,1760643,5882052
Amy Klobuchar,1543000,4500860
House Majority PAC,1400000,3001994
MN Political Report,1345000,3109988
NRCC IE,1226891,3006582
American Straw Poll,1226000,2815989
Wrong for Us,1164998,3217926
Richard Painter,1133295,3229339
Julie Blaha for State Auditor,1089000,2708912
Faith In Minnesota,1043000,3368856
CM Voter Center,992963,2954719
AFL-CIO,872012,2000044
Living Free,871616,2046599
Elevate MN,824000,2157956
Keith Ellison for Attorney General,797838,3381722
"Conservative Leadership Alliance, Inc",783000,2055973
Karin Housley,760925,2210195
Minnesotans for a Smoke-Free Generation,650000,1993952
Pam Myhra for State Auditor,648000,1872885
Independence USA,639000,2799578
Citizens for Justice Chutich,631000,1835963
Minnesota Conservation Federation,605993,1214969
Our Lives Our Vote,595000,1863829
MO Research,580681,1525576
Doug Wardlow for Minnesota Attorney General,576000,1608947
Enbridge Line 3,569083,1354197
Joe Radinovich,563183,1990798
AARP Advocates,550000,1449991
Ilhan Omar for Congress,531998,1794900
Angie Craig,529270,1725493
MoveOn,526872,1163453
AFP Action,487009,1298027
Center of the American Experiment,468000,1392812
ISAIAH,466000,1164994
Keep Them Accountable,458813,1930040
Minnesota Action Network IE,430000,1049994
Minnesota's Hospitals,418000,1864686
Erik Paulsen,410000,949996
Everytown for Gun Safety,408210,1728159
Our Public Lands,389737,1579633
Our Flag Our Country,387699,1232245
Vote For Minnesota Values,384730,1015330
Firefly Engagement,383688,1665440
Sheriff Rich Stanek,383000,864988
Planned Parenthood Action,381305,1366295
Mike Freeman for Hennepin County Attorney,374967,910926
Energy Citizens,372560,1015489
ClearPath Action Fund,368298,1182340
Matt Pelikan for Attorney General,363068,1443323
Minnesota 4 Us,360424,904697
NFIB,345287,789983
FairVote Minnesota,322000,709992
MPR News,313951,982803
Ian Todd for Congress,308000,1041805
Collin Peterson,302587,704295
Blue Cross and Blue Shield of Minnesota,289000,1128920
World Vision USA,287631,673541
Minnesota Votes,255000,1072964
Military Network,249500,678713
Freedom Club,246426,597829
MN AFL-CIO,245000,1150972
Mike Rothman for Attorney General,240660,1038569
Human Rights Campaign,234185,960916
The Voter Participation Center,230603,1099501
AARP MN,229527,632629
We All Do Better,226000,584994
A Better Way Minnesota,221719,803115
Patricia Torres Ray for Congress,214000,875963
