Senator Chris McDaniel,2135483,6108271
Remember Mississippi,1804990,4857836
PAC+,1570000,3700986
Cindy Hyde-Smith,1412987,4115705
Roger Wicker,812000,3199811
Mississippi Victory Fund,724213,1708053
Jay for Mississippi,529780,1457957
Mike Espy,387000,1305970
Delbert Hosemann,272000,1015953
Improve Mississippi PAC,229994,619976
Mississippi Development Authority,220040,620191
Mississippi Republican Party,185964,450807
David Baria for Mississippi,179491,922204
Civiqs,168443,653266
Michael Guest for Congress,141960,656828
Attorney General Jim Hood,138991,358935
Michael Ted Evans for Congress,133351,567536
Judge Mims for Circuit Court,127940,506671
Lee Ann Turner,123000,316991
The Nature Conservancy Sustainable Agriculture,120000,578969
Mississippi Democratic Party,107881,469381
Vote for Dan Jones,105000,401908
Lisa Ann Koon for Chancery Judge,102000,351944
Mississippi Secretary of State,100000,199999
Tate Reeves,96000,464989
Whit Hughes for Congress,89992,385910
Concealed Online,85978,227579
Bigger Pie Forum,79670,251326
Mississippi House Republican Caucus,66977,321934
Gerald “Jerry” Kucia for Judge,66000,315991
"Faith First                      Dan Q Carr, Jr",66000,231973
Lucien Smith,61000,124996
Monique Brown-Barrett for Chancery Judge,56000,166969
Joey Fillingane for Mississippi,55000,109998
Daniel Tucker for Chancery Judge District 1,52000,199982
Mel Coxwell for Chancery Court Judge Rankin County Place 2,48000,194991
Councilman Weston Lindemann,47998,182979
Re-elect Circuit Judge Lamar Pickard,47415,213961
"Judge Willie C. Allen for Lee County Judge, Post 1",47000,234989
Libertarian Party of Mississippi,47000,190991
Carnelia Fondren For Chancery Court Judge,44000,131959
Fed of American Hospitals,42015,210069
Sandy Steckler Re-Election Committee,42000,164988
Joseph Turney 4 Judge,39012,143896
Tomika Harris-Irving for Circuit Court Judge,38000,165928
Elect Renee Berry as Chancery Judge,35000,145990
Commissioner Cecil Brown,33025,81936
Toni Walker Terrett for Circuit Court Judge,32998,176992
Family Research Council,32164,80409
"Matt Allen for Judge, Hinds County Circuit Court",32000,100992
Connect Americans Now,31981,69778
MedicareSupplement.com,31000,452680
Troy Odom for Chancery Judge,31000,127983
Ashlee Cole Trehern for Judge,31000,95984
"Elect Katie Mills for Chancery Judge, Place 2",30566,123734
Rankin County for Chris McDaniel US Senate,29000,149975
Tom Steyer,28665,119392
Donald J. Trump,28590,190519
Reginald Harrion for Judge,28000,125993
Americans for Prosperity - Mississippi,28000,69987
Sheila Smallwood for Chancery Court Judge,27997,92958
Vaughn for Justice Court,27000,104970
YallPolitics,26934,157489
Paula Drungole-Ellis for Chancery Court Judge,25000,109997
Morgan Dunn,25000,109997
Blake Ferretti For State Representative District 30,25000,96990
"Hayes Patrick, Representative for District 77",24000,119994
Stephen Spencer for Lee County Court Judge - Post 2,24000,91991
We're for LBHS,23000,84994
Elect Pat McNamara Circuit Court Judge,22000,85989
Committee to Elect Bailey for Circuit Judge,22000,79995
Richard W. Ryals for Chancery Court Judge,21999,112989
Tiffany Grove for Hinds County Chancery Court Judge #4,21992,109924
MTC Changes Lives,20000,100997
Jones County Chamber of Commerce,20000,99998
Friends of Mike Dickinson,20000,99998
Elect Debra Blackwell,20000,85992
Mayor George Flaggs Jr.,19224,85438
Drug Injury News,18256,36511
Campaign to Elect Dianne Herman Ellis for Chancery Court Judge,17969,78833
"Joel R. Carter, Jr.",17964,44913
"Andrew ""Bubba"" Labas, Alderman - Ward 1",17954,61836
"Elect Christopher R. ""Chris"" Purdum - Representative, District 77",17000,78978
Co-ops Vote,15991,38098
National Republican Congressional Committee,15819,49612
Margaret Alfonso for Chancery Court Judge,15800,63993
Scott Corlew for County Court Judge,15000,61987
Debra M. Giles for Chancery Court Judge,15000,31995
Jeramey Anderson for Congress,14985,68813
IVC Filter Lawsuit Information,14867,29734
"Brad Tennison for Chancery Court Judge, District 1",14661,58621
Ted Cruz,14556,30543
NRA - National Rifle Association of America,13793,29910
Lee County Mississippi Democrats,12474,62365
American Lung Association,12074,30185
Elise Deano for Judge,12000,52984
"Kevin W. Frye - District 1 Supervisor, Lafayette County Mississippi",12000,45991
Keep Judge Joseph Sclafani,12000,29996
Stennis Center for Public Service,11073,52728
VoteTogether,11047,28645
Senator Chad McMahan,11000,54998
Save Our Air Medical Resources,11000,54998
Jackson County for Chris McDaniel,10735,38671
DoSomething.org,10331,51460
"Watson & Norris, PLLC",10000,49999
Therese Apel,10000,49999
Michael Watson,10000,49999
